timestamp,ltz1000-p17-back-in-town
1514448771.530,7071186.0
1514448774.883,7071185.3
1514448778.234,7071187.5
1514448781.587,7071187.5
1514448784.939,7071186.5
1514448788.291,7071186.5
1514448791.643,7071183.2
1514448794.995,7071182.5
1514448798.348,7071183.7
1514448801.699,7071185.0
1514448805.051,7071184.5
1514448808.404,7071184.5
1514448811.756,7071181.8
1514448815.107,7071180.2
1514448818.460,7071180.4
1514448821.812,7071180.2
1514448825.164,7071180.2
1514448828.518,7071181.5
1514448831.869,7071181.2
1514448835.220,7071182.5
1514448838.573,7071182.2
1514448841.925,7071180.7
1514448845.276,7071181.7
1514448848.629,7071182.2
1514448851.981,7071182.5
1514448855.333,7071183.7
1514448858.685,7071181.5
1514448862.037,7071183.5
1514448865.389,7071186.5
1514448868.742,7071184.0
1514448872.093,7071186.3
1514448875.445,7071183.5
1514448878.798,7071181.0
1514448882.149,7071178.2
1514448885.502,7071176.6
1514448888.854,7071172.8
1514448892.206,7071173.6
1514448895.558,7071174.1
1514448898.910,7071174.1
1514448902.263,7071175.6
1514448905.614,7071177.9
1514448908.966,7071181.7
1514448912.319,7071182.0
1514448915.671,7071183.5
1514448919.022,7071184.5
1514448922.375,7071182.7
1514448925.727,7071183.5
1514448929.079,7071182.5
1514448932.431,7071180.2
1514448935.784,7071183.0
1514448939.135,7071186.8
1514448942.488,7071182.9
1514448945.840,7071181.2
1514448949.192,7071180.7
1514448952.543,7071180.2
1514448955.896,7071181.7
1514448959.249,7071182.2
1514448962.600,7071182.0
1514448965.952,7071179.4
1514448969.304,7071179.2
1514448972.657,7071179.2
1514448976.009,7071180.7
1514448979.361,7071180.4
1514448982.822,7071181.0
1514448986.065,7071178.9
1514448989.417,7071180.2
1514448992.770,7071180.4
1514448996.121,7071181.5
1514448999.473,7071179.4
1514449002.826,7071179.7
1514449006.177,7071179.4
1514449009.530,7071180.4
1514449012.881,7071179.7
1514449016.234,7071179.4
1514449019.586,7071179.7
1514449022.939,7071181.0
1514449026.290,7071181.1
1514449029.643,7071180.7
1514449032.994,7071179.9
1514449036.346,7071178.7
1514449039.699,7071179.9
1514449043.051,7071182.0
1514449046.403,7071183.0
1514449049.755,7071182.5
1514449053.107,7071181.2
1514449056.460,7071179.7
1514449059.811,7071182.2
1514449063.163,7071181.7
1514449066.516,7071179.2
1514449069.867,7071175.6
1514449073.220,7071179.4
1514449076.572,7071181.5
1514449079.924,7071181.7
1514449083.276,7071182.0
1514449086.628,7071182.2
1514449089.980,7071130.2
1514449093.333,7071173.9
1514449096.684,7071179.4
1514449100.036,7071175.6
1514449103.389,7071179.2
1514449106.741,7071176.6
1514449110.093,7071180.2
1514449113.445,7071180.2
1514449116.797,7071179.9
1514449120.149,7071178.2
1514449123.502,7071178.7
1514449126.853,7071176.4
1514449130.206,7071175.1
1514449133.558,7071174.6
1514449136.910,7071175.9
1514449140.262,7071176.1
1514449143.614,7071176.4
1514449146.966,7071179.2
1514449150.318,7071178.9
1514449153.671,7071176.6
1514449157.022,7071178.7
1514449160.375,7071176.1
1514449163.727,7071176.4
1514449167.079,7071176.6
1514449170.430,7071177.4
1514449173.783,7071179.2
1514449177.135,7071181.2
1514449180.487,7071179.2
1514449183.840,7071180.7
1514449187.191,7071179.4
1514449190.544,7071178.9
1514449193.896,7071178.9
1514449197.248,7071177.1
1514449200.599,7071178.4
1514449203.952,7071179.7
1514449207.304,7071178.9
1514449210.656,7071177.7
1514449214.009,7071179.9
1514449217.360,7071179.2
1514449220.713,7071178.9
1514449224.064,7071176.6
1514449227.417,7071176.9
1514449230.769,7071177.9
1514449234.121,7071178.7
1514449237.473,7071179.7
1514449240.825,7071179.4
1514449244.177,7071179.2
1514449247.530,7071178.7
1514449250.882,7071176.4
1514449254.234,7071177.4
1514449257.586,7071176.4
1514449260.938,7071174.6
1514449264.290,7071173.3
1514449267.643,7071173.3
1514449270.994,7071174.9
1514449274.346,7071175.6
1514449277.699,7071175.1
1514449281.050,7071176.1
1514449284.403,7071175.9
1514449287.754,7071175.4
1514449291.107,7071175.4
1514449294.459,7071172.6
1514449297.811,7071172.1
1514449301.163,7071171.1
1514449304.516,7071173.3
1514449307.867,7071173.3
1514449311.220,7071172.6
1514449314.572,7071172.8
1514449317.924,7071173.1
1514449321.276,7071174.1
1514449324.628,7071173.5
1514449327.980,7071171.8
1514449331.333,7071175.6
1514449334.684,7071177.9
1514449338.036,7071178.4
1514449341.388,7071174.4
1514449344.741,7071172.8
1514449348.093,7071173.1
1514449351.445,7071172.1
1514449354.797,7071172.3
1514449358.149,7071175.4
1514449361.501,7071174.1
1514449364.853,7071173.1
1514449368.205,7071175.1
1514449371.558,7071174.2
1514449374.910,7071173.6
1514449378.262,7071174.0
1514449381.613,7071175.1
1514449384.966,7071174.1
1514449388.318,7071175.6
1514449391.670,7071171.8
1514449395.023,7071173.9
1514449398.374,7071172.6
1514449401.727,7071173.6
1514449405.078,7071173.3
1514449408.430,7071174.1
1514449411.782,7071173.6
1514449415.135,7071173.3
1514449418.487,7071174.4
1514449421.839,7071174.9
1514449425.191,7071172.8
1514449428.543,7071173.9
1514449431.895,7071174.9
1514449435.248,7071173.9
1514449438.599,7071175.4
1514449441.952,7071173.9
1514449445.303,7071174.4
1514449448.656,7071172.3
1514449452.007,7071174.1
1514449455.360,7071173.6
1514449458.712,7071176.1
1514449462.064,7071172.6
1514449465.416,7071174.9
1514449468.768,7071173.6
1514449472.120,7071174.6
1514449475.472,7071173.3
1514449478.825,7071173.3
1514449482.177,7071172.1
1514449485.529,7071172.8
1514449488.881,7071174.6
1514449492.233,7071173.1
1514449495.585,7071174.1
1514449498.938,7071174.1
1514449502.289,7071176.1
1514449505.641,7071179.4
1514449508.993,7071176.6
1514449512.346,7071176.1
1514449515.698,7071177.1
1514449519.049,7071176.4
1514449522.402,7071178.7
1514449525.755,7071174.6
1514449529.106,7071175.9
1514449532.459,7071174.4
1514449535.810,7071176.6
1514449539.162,7071175.1
1514449542.515,7071172.8
1514449545.867,7071173.1
1514449549.219,7071173.6
1514449552.570,7071171.8
1514449555.923,7071174.9
1514449559.275,7071175.9
1514449562.627,7071175.1
1514449565.980,7071175.9
1514449569.332,7071175.4
1514449572.683,7071174.6
1514449576.036,7071175.4
1514449579.387,7071174.9
1514449582.740,7071174.4
1514449586.092,7071174.1
1514449589.444,7071173.3
1514449592.796,7071175.6
1514449596.148,7071174.6
1514449599.500,7071176.6
1514449602.853,7071177.4
1514449606.205,7071177.4
1514449609.557,7071175.1
1514449612.909,7071175.6
1514449616.261,7071178.2
1514449619.613,7071178.7
1514449622.965,7071181.5
1514449626.317,7071182.7
1514449629.670,7071182.5
1514449633.021,7071183.0
1514449636.373,7071180.4
1514449639.726,7071180.4
1514449643.078,7071176.1
1514449646.430,7071179.9
1514449649.782,7071179.4
1514449653.135,7071181.2
1514449656.487,7071179.9
1514449659.838,7071179.2
1514449663.191,7071180.7
1514449666.543,7071179.4
1514449669.894,7071177.9
1514449673.247,7071176.9
1514449676.599,7071179.7
1514449679.951,7071181.0
1514449683.303,7071180.4
1514449686.655,7071181.5
1514449690.008,7071179.2
1514449693.359,7071177.4
1514449696.712,7071177.1
1514449700.064,7071178.7
1514449703.416,7071179.4
1514449706.768,7071177.7
1514449710.120,7071180.2
1514449713.472,7071181.2
1514449716.824,7071180.4
1514449720.177,7071181.5
1514449723.528,7071181.2
1514449726.880,7071182.5
1514449730.233,7071180.4
1514449733.585,7071180.4
1514449736.937,7071179.9
1514449740.289,7071179.7
1514449743.641,7071180.4
1514449746.993,7071179.9
1514449750.345,7071179.4
1514449753.697,7071178.9
1514449757.050,7071180.4
1514449760.401,7071180.4
1514449763.754,7071179.9
1514449767.105,7071179.9
1514449770.458,7071179.7
1514449773.810,7071181.0
1514449777.162,7071179.7
1514449780.514,7071181.2
1514449783.867,7071181.7
1514449787.218,7071180.4
1514449790.571,7071180.4
1514449793.922,7071179.4
1514449797.275,7071180.7
1514449800.626,7071180.4
1514449803.979,7071180.4
1514449807.331,7071181.2
1514449810.683,7071181.0
1514449814.035,7071179.9
1514449817.388,7071179.4
