timestamp,value
1500155415.700,999399
1500155415.835,999400
1500155415.970,999401
1500155416.105,999387
1500155416.240,999394
1500155416.379,999393
1500155416.515,999412
1500155416.650,999400
1500155416.785,999398
1500155416.920,999399
1500155417.055,999401
1500155417.190,999401
1500155417.326,999395
1500155417.465,999411
1500155417.600,999395
1500155417.735,999411
1500155417.870,999401
1500155418.005,999406
1500155418.141,999402
1500155418.276,999404
1500155418.415,999400
1500155418.550,999404
1500155418.686,999408
1500155418.821,999405
1500155418.956,999407
1500155419.091,999400
1500155419.226,999399
1500155419.361,999389
1500155419.500,999408
1500155419.635,999396
1500155419.770,999401
1500155419.905,999402
1500155420.041,999403
1500155420.176,999408
1500155420.311,999410
1500155420.446,999387
1500155420.585,999404
1500155420.721,999394
1500155420.856,999396
1500155420.991,999409
1500155421.126,999397
1500155421.261,999404
1500155421.397,999402
1500155421.536,999411
1500155421.671,999400
1500155421.806,999396
1500155421.941,999402
1500155422.077,999406
1500155422.212,999407
1500155422.347,999407
1500155422.482,999405
1500155422.621,999410
1500155422.756,999411
1500155422.892,999410
1500155423.027,999387
1500155423.162,999422
1500155423.297,999413
1500155423.432,999407
1500155423.567,999408
1500155423.706,999407
1500155423.843,999394
1500155423.977,999399
1500155424.112,999405
1500155424.247,999407
1500155424.383,999400
1500155424.518,999394
1500155424.657,999414
1500155424.792,999400
1500155424.928,999413
1500155425.063,999404
1500155425.198,999396
1500155425.333,999413
1500155425.468,999397
1500155425.603,999407
1500155425.742,999401
1500155425.878,999408
1500155426.013,999398
1500155426.148,999393
1500155426.283,999409
1500155426.418,999402
1500155426.553,999398
1500155426.689,999405
1500155426.827,999397
1500155426.963,999414
1500155427.098,999398
1500155427.233,999405
1500155427.368,999405
1500155427.504,999416
1500155427.639,999400
1500155427.778,999400
1500155427.913,999399
1500155428.048,999394
1500155428.184,999400
1500155428.319,999399
1500155428.454,999396
1500155428.589,999402
1500155428.724,999400
1500155428.863,999393
1500155428.998,999391
1500155429.134,999402
1500155429.269,999401
1500155429.404,999403
1500155429.539,999418
1500155429.674,999394
1500155429.810,999402
1500155429.949,999401
1500155430.084,999405
1500155430.219,999401
1500155430.354,999404
1500155430.490,999399
1500155430.625,999406
1500155430.760,999405
1500155430.899,999394
1500155431.034,999398
1500155431.169,999408
1500155431.304,999408
1500155431.439,999400
1500155431.575,999396
1500155431.710,999398
1500155431.845,999397
1500155431.984,999397
1500155432.119,999409
1500155432.254,999402
1500155432.390,999401
1500155432.525,999397
1500155432.660,999401
1500155432.795,999409
1500155432.930,999413
1500155433.069,999416
1500155433.205,999408
1500155433.340,999400
1500155433.475,999403
1500155433.610,999388
1500155433.746,999406
1500155433.881,999404
1500155434.020,999388
1500155434.155,999399
1500155434.290,999408
1500155434.425,999398
1500155434.561,999406
1500155434.696,999399
1500155434.831,999406
1500155434.966,999405
1500155435.105,999386
1500155435.241,999404
1500155435.376,999397
1500155435.511,999391
1500155435.646,999401
1500155435.781,999407
1500155435.916,999406
1500155436.052,999396
1500155436.191,999403
1500155436.326,999400
1500155436.461,999401
1500155436.596,999418
1500155436.731,999407
1500155436.867,999394
1500155437.002,999402
1500155437.141,999400
1500155437.276,999393
1500155437.411,999398
1500155437.547,999390
1500155437.682,999407
1500155437.817,999408
1500155437.952,999392
1500155438.087,999411
1500155438.226,999404
1500155438.362,999411
1500155438.497,999415
1500155438.632,999413
1500155438.767,999406
1500155438.902,999386
1500155439.037,999408
1500155439.173,999404
1500155439.312,999407
1500155439.447,999400
1500155439.582,999403
1500155439.717,999416
1500155439.852,999412
1500155439.988,999399
1500155440.123,999418
1500155440.262,999407
1500155440.397,999394
1500155440.532,999399
1500155440.668,999400
1500155440.803,999417
1500155440.938,999411
1500155441.073,999400
1500155441.208,999413
1500155441.347,999400
1500155441.483,999401
1500155441.618,999413
1500155441.753,999412
1500155441.888,999405
1500155442.023,999413
1500155442.158,999392
1500155442.294,999387
1500155442.433,999394
1500155442.568,999404
1500155442.703,999401
1500155442.838,999402
1500155442.974,999405
1500155443.109,999404
1500155443.244,999413
1500155443.383,999407
1500155443.518,999407
1500155443.653,999381
1500155443.788,999405
1500155443.923,999410
1500155444.059,999396
1500155444.194,999407
1500155444.329,999396
1500155444.468,999404
1500155444.603,999415
1500155444.739,999404
1500155444.874,999391
1500155445.009,999400
1500155445.144,999389
1500155445.279,999392
1500155445.415,999406
1500155445.554,999401
1500155445.689,999401
1500155445.824,999404
1500155445.959,999415
1500155446.095,999402
1500155446.229,999407
1500155446.365,999390
1500155446.504,999390
1500155446.639,999399
1500155446.774,999401
1500155446.910,999396
1500155447.045,999395
1500155447.180,999405
1500155447.315,999408
1500155447.450,999397
1500155447.589,999396
1500155447.725,999404
1500155447.860,999413
1500155447.995,999405
1500155448.130,999404
1500155448.265,999399
1500155448.401,999392
1500155448.539,999408
1500155448.675,999410
1500155448.810,999406
1500155448.945,999396
1500155449.080,999405
1500155449.216,999401
1500155449.351,999395
1500155449.486,999407
1500155449.625,999397
1500155449.760,999399
1500155449.895,999406
1500155450.030,999399
1500155450.165,999402
1500155450.301,999412
1500155450.436,999408
1500155450.571,999405
1500155450.710,999400
1500155450.846,999402
1500155450.981,999399
1500155451.116,999413
1500155451.251,999397
1500155451.386,999410
1500155451.521,999404
1500155451.660,999406
1500155451.796,999400
1500155451.931,999400
1500155452.066,999408
1500155452.201,999405
1500155452.337,999410
1500155452.472,999413
1500155452.607,999405
1500155452.746,999408
1500155452.881,999399
1500155453.016,999390
1500155453.152,999406
1500155453.287,999385
1500155453.422,999400
1500155453.557,999401
1500155453.692,999409
1500155453.832,999393
1500155453.967,999409
1500155454.102,999395
1500155454.237,999404
1500155454.372,999406
1500155454.507,999405
1500155454.643,999406
1500155454.781,999403
1500155454.917,999392
1500155455.052,999398
1500155455.187,999405
1500155455.323,999397
1500155455.457,999401
1500155455.592,999381
1500155455.728,999407
1500155455.867,999394
1500155456.002,999394
1500155456.137,999412
1500155456.272,999408
1500155456.407,999399
1500155456.543,999401
1500155456.678,999408
1500155456.813,999400
1500155456.952,999395
1500155457.087,999402
1500155457.223,999402
1500155457.358,999388
1500155457.493,999411
1500155457.628,999388
1500155457.764,999407
1500155457.899,999400
1500155458.038,999396
1500155458.173,999407
1500155458.308,999418
1500155458.444,999400
