timestamp,r,humidity,temp_c
1516427509.48,80003.220,51.076,20.548
1516427513.48,80003.185,51.076,20.580
1516427516.48,80003.228,51.060,20.569
1516427519.48,80003.205,51.068,20.559
1516427523.48,80003.187,51.076,20.580
1516427526.48,80003.205,51.068,20.559
1516427530.48,80003.192,51.060,20.580
1516427533.48,80003.182,51.076,20.602
1516427536.47,80003.205,51.045,20.569
1516427540.48,80003.215,51.053,20.569
1516427543.48,80003.190,51.053,20.580
1516427546.47,80003.220,51.060,20.569
1516427550.47,80003.190,51.060,20.569
1516427553.47,80003.208,51.076,20.537
1516427556.47,80003.202,51.068,20.537
1516427560.47,80003.218,51.106,20.527
1516427563.47,80003.223,51.106,20.527
1516427566.47,80003.185,51.114,20.537
1516427570.47,80003.208,51.106,20.548
1516427573.47,80003.215,51.114,20.516
1516427576.47,80003.233,51.114,20.559
1516427580.47,80003.197,51.129,20.548
1516427583.47,80003.210,51.114,20.527
1516427586.47,80003.238,51.114,20.516
1516427590.47,80003.228,51.121,20.516
1516427593.47,80003.225,51.137,20.505
1516427597.47,80003.243,51.137,20.505
1516427600.46,80003.238,51.137,20.505
1516427603.47,80003.232,51.152,20.505
1516427607.46,80003.258,51.159,20.484
1516427610.46,80003.271,51.152,20.495
1516427613.46,80003.240,51.167,20.495
1516427617.46,80003.215,51.182,20.505
1516427620.46,80003.248,51.205,20.484
1516427623.46,80003.256,51.198,20.484
1516427627.46,80003.243,51.198,20.473
1516427630.46,80003.273,51.228,20.463
1516427633.46,80003.261,51.236,20.495
1516427637.46,80003.238,51.228,20.495
1516427640.46,80003.225,51.228,20.516
1516427643.46,80003.210,51.228,20.516
1516427647.46,80003.213,51.228,20.495
1516427650.46,80003.213,51.213,20.505
1516427654.46,80003.223,51.228,20.505
1516427657.46,80003.223,51.220,20.516
1516427660.45,80003.223,51.220,20.516
1516427664.46,80003.225,51.213,20.505
1516427667.46,80003.210,51.228,20.516
1516427670.45,80003.215,51.198,20.495
1516427674.46,80003.225,51.228,20.484
1516427677.45,80003.220,51.220,20.484
1516427680.45,80003.223,51.213,20.484
1516427684.45,80003.205,51.236,20.463
1516427687.45,80003.200,51.228,20.484
1516427690.45,80003.208,51.251,20.495
1516427694.45,80003.190,51.243,20.495
1516427697.45,80003.172,51.236,20.484
1516427700.45,80003.185,51.259,20.505
1516427704.45,80003.204,51.251,20.495
1516427707.45,80003.228,51.243,20.516
1516427711.45,80003.213,51.243,20.484
1516427714.45,80003.195,51.259,20.495
1516427717.45,80003.175,51.243,20.505
1516427721.44,80003.208,51.251,20.495
1516427724.45,80003.213,51.251,20.484
1516427727.45,80003.200,51.251,20.495
1516427731.44,80003.211,51.243,20.473
1516427734.44,80003.200,51.251,20.484
1516427737.45,80003.182,51.236,20.484
1516427741.44,80003.225,51.236,20.484
1516427744.44,80003.230,51.266,20.452
1516427747.44,80003.205,51.251,20.473
1516427751.44,80003.248,51.259,20.463
1516427754.44,80003.223,51.266,20.473
1516427757.44,80003.220,51.274,20.441
1516427761.44,80003.235,51.281,20.463
1516427764.44,80003.230,51.289,20.452
1516427768.44,80003.238,51.297,20.463
1516427771.44,80003.216,51.297,20.484
1516427774.44,80003.220,51.297,20.484
1516427778.44,80003.218,51.297,20.505
1516427781.44,80003.177,51.281,20.505
1516427784.43,80003.215,51.289,20.516
1516427788.44,80003.194,51.297,20.527
1516427791.43,80003.220,51.274,20.548
1516427794.43,80003.220,51.281,20.548
1516427798.43,80003.205,51.266,20.548
1516427801.43,80003.230,51.251,20.559
1516427804.43,80003.192,51.236,20.559
1516427808.43,80003.215,51.220,20.559
1516427811.43,80003.187,51.236,20.569
1516427814.43,80003.175,51.220,20.559
1516427818.43,80003.197,51.236,20.559
1516427821.43,80003.182,51.236,20.559
1516427825.43,80003.167,51.236,20.569
1516427828.43,80003.172,51.251,20.569
1516427831.43,80003.192,51.236,20.559
1516427835.43,80003.157,51.236,20.580
1516427838.43,80003.172,51.236,20.559
1516427841.43,80003.134,51.236,20.591
1516427845.42,80003.167,51.228,20.580
1516427848.43,80003.175,51.236,20.591
1516427851.43,80003.167,51.205,20.580
1516427855.42,80003.182,51.213,20.580
1516427858.42,80003.167,51.190,20.580
1516427861.42,80003.172,51.205,20.580
1516427865.42,80003.167,51.190,20.580
1516427868.42,80003.177,51.182,20.580
1516427871.42,80003.167,51.190,20.569
1516427875.42,80003.144,51.182,20.591
1516427878.42,80003.187,51.182,20.580
1516427882.42,80003.169,51.175,20.580
