timestamps,resistance,ppm,temp_c,ambient_c,savgol_151_2
1517941404.56,70003.294,-0.59,25.981,20.965,-0.312167050562
1517941405.56,70003.294,-0.59,25.981,20.976,-0.309898688308
1517941406.56,70003.294,-0.59,25.975,20.954,-0.30775460173
1517941407.56,70003.294,-0.59,25.978,20.943,-0.307576580746
1517941408.56,70003.325,-0.15,25.977,20.954,-0.307034229844
1517941409.56,70003.325,-0.15,25.984,20.943,-0.30612432448
1517941410.56,70003.325,-0.15,25.985,20.965,-0.302729628942
1517941411.56,70003.325,-0.15,25.989,20.933,-0.304340001168
1517941412.56,70003.276,-0.85,25.987,20.943,-0.306054081707
1517941413.56,70003.276,-0.85,25.987,20.922,-0.307871173359
1517941414.56,70003.276,-0.85,25.982,20.943,-0.306383926432
1517941415.56,70003.302,-0.48,25.98,20.943,-0.305337309109
1517941416.56,70003.302,-0.48,25.974,20.954,-0.304727486799
1517941417.56,70003.302,-0.48,25.977,20.965,-0.310192461713
1517941418.56,70003.317,-0.26,25.98,20.965,-0.315052355268
1517941419.56,70003.317,-0.26,25.987,20.976,-0.319308736162
1517941420.56,70003.317,-0.26,25.987,20.965,-0.316621139589
1517941421.56,70003.317,-0.26,25.991,20.976,-0.319408601167
1517941422.56,70003.304,-0.45,25.989,20.986,-0.322386703026
1517941423.56,70003.304,-0.45,25.989,20.976,-0.325556055215
1517941424.56,70003.304,-0.45,25.981,20.976,-0.328897528343
1517941425.56,70003.315,-0.29,25.983,20.976,-0.332391993021
1517941426.56,70003.315,-0.29,25.98,20.954,-0.336040059297
1517941427.56,70003.315,-0.29,25.987,20.954,-0.335107669273
1517941428.56,70003.34,0.07,25.987,20.933,-0.333602486908
1517941429.56,70003.34,0.07,25.992,20.965,-0.331521287656
1517941430.56,70003.34,0.07,25.991,20.986,-0.324728916057
1517941431.56,70003.34,0.07,25.991,20.954,-0.319070660221
1517941432.56,70003.311,-0.35,25.987,20.943,-0.313195488427
1517941433.56,70003.311,-0.35,25.986,20.943,-0.307097648785
1517941434.56,70003.311,-0.35,25.981,20.922,-0.308681048134
1517941435.56,70003.326,-0.13,25.985,20.933,-0.310352904574
1517941436.57,70003.326,-0.13,25.985,20.922,-0.312114263902
1517941437.56,70003.326,-0.13,25.989,20.922,-0.312185256164
1517941438.56,70003.342,0.09,25.991,20.922,-0.311964819352
1517941439.56,70003.342,0.09,25.995,20.9,-0.311452604865
1517941440.56,70003.342,0.09,25.993,20.922,-0.31199354394
1517941441.56,70003.342,0.09,25.994,20.922,-0.317695357267
1517941442.57,70003.299,-0.52,25.989,20.911,-0.323374685934
1517941443.57,70003.299,-0.52,25.987,20.9,-0.329037107532
1517941444.57,70003.299,-0.52,25.983,20.911,-0.326449419539
1517941445.56,70003.345,0.14,25.987,20.89,-0.323868485658
1517941446.56,70003.345,0.14,25.987,20.89,-0.321292650044
1517941447.56,70003.345,0.14,25.992,20.9,-0.321264692374
1517941448.56,70003.312,-0.33,25.994,20.89,-0.321161829415
1517941449.57,70003.312,-0.33,25.997,20.879,-0.320984671214
1517941450.57,70003.312,-0.33,25.994,20.9,-0.320733827822
1517941451.57,70003.312,-0.33,25.993,20.868,-0.321781508372
1517941452.57,70003.294,-0.59,25.988,20.858,-0.322718465047
1517941453.57,70003.294,-0.59,25.988,20.879,-0.323546527994
1517941454.57,70003.294,-0.59,25.986,20.868,-0.323810783747
1517941455.57,70003.337,0.02,25.99,20.868,-0.32385102083
1517941456.57,70003.337,0.02,25.99,20.868,-0.323668720789
1517941457.57,70003.337,0.02,25.993,20.847,-0.321155328036
1517941458.57,70003.337,0.02,25.991,20.868,-0.318374472417
1517941459.57,70003.327,-0.12,25.993,20.858,-0.31532580533
1517941460.57,70003.327,-0.12,25.989,20.868,-0.312008978177
1517941461.57,70003.327,-0.12,25.99,20.836,-0.314762939355
1517941462.57,70003.289,-0.66,25.988,20.836,-0.317608756468
1517941463.57,70003.289,-0.66,25.992,20.847,-0.320551484206
1517941464.57,70003.289,-0.66,25.991,20.868,-0.316948866573
1517941465.57,70003.327,-0.12,25.994,20.868,-0.313072554859
1517941466.57,70003.327,-0.12,25.991,20.858,-0.308921939014
1517941467.57,70003.327,-0.12,25.992,20.879,-0.309389123177
1517941468.57,70003.327,-0.12,25.989,20.868,-0.309631112145
1517941469.57,70003.289,-0.66,25.989,20.868,-0.309651566214
1517941470.57,70003.289,-0.66,25.987,20.879,-0.309454145675
1517941471.57,70003.289,-0.66,25.991,20.879,-0.311063036353
1517941472.57,70003.307,-0.41,25.99,20.911,-0.312528914139
1517941473.57,70003.307,-0.41,25.994,20.911,-0.313857182324
1517941474.57,70003.307,-0.41,25.994,20.922,-0.313661905671
1517941475.57,70003.304,-0.45,25.995,20.9,-0.313338605899
1517941476.57,70003.304,-0.45,25.993,20.922,-0.3128914662
1517941477.57,70003.304,-0.45,25.994,20.922,-0.316840966352
1517941478.57,70003.304,-0.45,25.989,20.922,-0.322217919925
1517941479.57,70003.289,-0.66,25.989,20.954,-0.32730252935
1517941480.57,70003.289,-0.66,25.987,20.943,-0.332104642559
1517941481.57,70003.289,-0.66,25.99,20.933,-0.331637353817
1517941482.57,70003.322,-0.19,25.992,20.933,-0.331244883215
1517941483.57,70003.322,-0.19,25.996,20.943,-0.330932546893
1517941484.57,70003.322,-0.19,25.996,20.911,-0.323497567212
1517941485.57,70003.307,-0.41,25.999,20.922,-0.316041802294
1517941486.57,70003.307,-0.41,25.996,20.911,-0.308564293489
1517941487.57,70003.307,-0.41,25.995,20.933,-0.300871899318
1517941488.57,70003.307,-0.41,25.992,20.922,-0.300355815378
1517941489.57,70003.276,-0.85,25.993,20.922,-0.300294610044
1517941490.58,70003.276,-0.85,25.991,20.922,-0.300693250855
1517941491.58,70003.276,-0.85,25.994,20.933,-0.296124315765
1517941492.57,70003.353,0.25,25.995,20.943,-0.291888859549
1517941493.57,70003.353,0.25,25.997,20.954,-0.287987143655
1517941494.57,70003.353,0.25,25.996,20.965,-0.287157416147
1517941495.57,70003.307,-0.41,25.998,20.986,-0.286177660184
1517941496.57,70003.307,-0.41,25.995,20.954,-0.285050751711
1517941497.58,70003.307,-0.41,25.996,20.965,-0.283779566674
1517941498.58,70003.307,-0.41,25.993,20.965,-0.284317734383
1517941499.58,70003.309,-0.38,25.995,20.954,-0.284844049714
1517941500.58,70003.309,-0.38,25.994,20.954,-0.285363044458
1517941501.57,70003.309,-0.38,25.996,20.997,-0.279912396978
1517941502.58,70003.332,-0.05,25.995,20.986,-0.274648990936
1517941503.58,70003.332,-0.05,25.998,20.986,-0.269572041982
1517941504.58,70003.332,-0.05,25.996,20.986,-0.264828258162
1517941505.58,70003.302,-0.48,25.997,20.986,-0.259769645536
1517941506.58,70003.302,-0.48,25.995,21.008,-0.254395768352
1517941507.58,70003.302,-0.48,25.996,20.976,-0.248706190863
1517941508.58,70003.302,-0.48,25.993,20.997,-0.24768530889
1517941509.58,70003.312,-0.33,25.996,21.008,-0.246582418914
1517941510.58,70003.312,-0.33,25.995,20.976,-0.245401355529
1517941511.58,70003.312,-0.33,25.999,20.997,-0.244385563106
1517941512.58,70003.327,-0.12,25.995,20.986,-0.242983784029
1517941513.58,70003.327,-0.12,25.998,20.986,-0.241200201491
1517941514.58,70003.327,-0.12,25.996,20.965,-0.236780231627
1517941515.58,70003.337,0.02,25.998,20.954,-0.231840151501
1517941516.58,70003.337,0.02,25.995,20.976,-0.22638222701
1517941517.58,70003.337,0.02,25.997,20.965,-0.220408724048
1517941518.58,70003.337,0.02,25.996,20.965,-0.219512213615
1517941519.58,70003.307,-0.41,25.996,20.954,-0.218556789888
1517941520.58,70003.307,-0.41,25.952,20.976,-0.217549424855
1517941521.58,70003.307,-0.41,25.929,20.976,-0.207222412499
1517941522.58,70003.32,-0.22,25.863,20.954,-0.196586192502
1517941523.58,70003.32,-0.22,25.832,20.954,-0.185639719064
1517941524.58,70003.32,-0.22,25.77,20.965,-0.178919219939
1517941525.58,70003.32,-0.22,25.749,20.965,-0.172219201028
1517941526.58,70003.327,-0.12,25.688,20.965,-0.165542451124
1517941527.58,70003.327,-0.12,25.669,20.954,-0.158891759024
1517941528.58,70003.327,-0.12,25.623,20.933,-0.155900279664
1517941529.58,70003.332,-0.05,25.591,20.922,-0.153048850101
1517941530.58,70003.332,-0.05,25.574,20.954,-0.150343396526
1517941531.58,70003.332,-0.05,25.533,20.933,-0.14402527694
1517941532.58,70003.327,-0.12,25.503,20.943,-0.137289491733
1517941533.58,70003.327,-0.12,25.494,20.933,-0.13013891685
1517941534.58,70003.327,-0.12,25.47,20.943,-0.123921708067
1517941535.58,70003.327,-0.12,25.428,20.933,-0.118641961429
1517941536.58,70003.33,-0.08,25.415,20.933,-0.112959713242
