timestamp,ltz1000-p17-hammond
1514574686.203,7071444.7
1514574689.554,7071442.9
1514574692.907,7071443.4
1514574696.259,7071444.1
1514574699.611,7071442.1
1514574702.963,7071443.1
1514574706.315,7071442.4
1514574709.668,7071442.6
1514574713.019,7071442.4
1514574716.372,7071442.6
1514574719.723,7071442.9
1514574723.075,7071443.6
1514574726.428,7071442.6
1514574729.780,7071443.9
1514574733.132,7071441.4
1514574736.484,7071441.9
1514574739.837,7071443.6
1514574743.188,7071443.4
1514574746.541,7071445.2
1514574749.892,7071443.1
1514574753.245,7071444.1
1514574756.597,7071443.6
1514574759.949,7071444.4
1514574763.301,7071444.1
1514574766.653,7071445.7
1514574770.006,7071446.0
1514574773.357,7071446.7
1514574776.710,7071444.9
1514574780.061,7071446.9
1514574783.414,7071446.9
1514574786.766,7071447.2
1514574790.118,7071446.2
1514574793.470,7071445.2
1514574796.822,7071446.4
1514574800.174,7071445.4
1514574803.527,7071444.9
1514574806.879,7071443.1
1514574810.231,7071443.4
1514574813.583,7071445.2
1514574816.935,7071444.7
1514574820.287,7071444.4
1514574823.639,7071444.9
1514574826.991,7071444.7
1514574830.344,7071444.9
1514574833.696,7071443.9
1514574837.047,7071442.9
1514574840.400,7071446.7
1514574843.752,7071445.4
1514574847.104,7071445.9
1514574850.457,7071446.2
1514574853.808,7071445.9
1514574857.161,7071446.9
1514574860.512,7071446.2
1514574863.865,7071443.6
1514574867.217,7071441.1
1514574870.569,7071442.6
1514574873.921,7071442.6
1514574877.273,7071442.9
1514574880.625,7071443.4
1514574883.978,7071441.7
1514574887.329,7071442.1
1514574890.682,7071441.4
1514574894.033,7071441.6
1514574897.386,7071441.9
1514574900.738,7071441.9
1514574904.090,7071439.6
1514574907.442,7071440.6
1514574910.795,7071441.4
1514574914.146,7071440.9
1514574917.498,7071443.9
1514574920.851,7071443.6
1514574924.203,7071444.4
1514574927.555,7071443.6
1514574930.907,7071443.1
1514574934.259,7071444.9
1514574937.612,7071444.4
1514574940.963,7071444.4
1514574944.316,7071444.1
1514574947.667,7071445.4
1514574951.020,7071445.7
1514574954.372,7071445.2
1514574957.724,7071446.2
1514574961.076,7071446.2
1514574964.428,7071447.2
1514574967.780,7071446.2
1514574971.133,7071445.4
1514574974.485,7071447.2
1514574977.836,7071447.2
1514574981.189,7071448.5
1514574984.541,7071442.6
1514574987.894,7071444.4
1514574991.245,7071445.7
1514574994.598,7071444.1
1514574997.949,7071445.4
1514575001.302,7071444.4
1514575004.654,7071442.4
1514575008.006,7071443.9
1514575011.358,7071442.1
1514575014.710,7071442.9
1514575018.062,7071444.1
1514575021.415,7071443.1
1514575024.766,7071443.0
1514575028.118,7071443.6
1514575031.470,7071443.6
1514575034.823,7071444.4
1514575038.175,7071444.1
1514575041.527,7071445.2
1514575044.879,7071444.9
1514575048.232,7071444.4
1514575051.583,7071443.9
1514575054.936,7071444.4
1514575058.287,7071444.4
1514575061.640,7071442.6
1514575064.992,7071442.4
1514575068.344,7071442.9
1514575071.696,7071442.6
1514575075.048,7071443.9
1514575078.401,7071442.9
1514575081.752,7071443.1
1514575085.105,7071443.9
1514575088.456,7071446.2
1514575091.809,7071446.2
1514575095.161,7071445.9
1514575098.513,7071446.2
1514575101.865,7071445.2
1514575105.218,7071444.9
1514575108.569,7071444.4
1514575111.922,7071444.7
1514575115.274,7071444.9
1514575118.626,7071444.9
1514575121.978,7071443.4
1514575125.330,7071442.9
1514575128.682,7071443.1
1514575132.034,7071443.6
1514575135.386,7071442.9
1514575138.739,7071443.6
1514575142.091,7071443.4
1514575145.443,7071444.1
1514575148.795,7071443.4
1514575152.146,7071442.9
1514575155.499,7071444.4
1514575158.851,7071444.4
1514575162.203,7071443.6
1514575165.556,7071444.4
1514575168.908,7071444.7
1514575172.259,7071445.7
1514575175.612,7071446.9
1514575178.963,7071446.7
1514575182.316,7071446.4
1514575185.668,7071445.9
1514575189.020,7071446.9
1514575192.372,7071446.4
1514575195.725,7071446.9
1514575199.077,7071446.4
1514575202.429,7071446.4
1514575205.781,7071446.7
1514575209.133,7071445.7
1514575212.486,7071445.9
1514575215.837,7071445.4
1514575219.190,7071444.7
1514575222.541,7071443.9
1514575225.894,7071444.4
1514575229.246,7071445.2
1514575232.598,7071446.2
1514575235.950,7071445.9
1514575239.302,7071446.4
1514575242.654,7071446.9
1514575246.006,7071445.7
1514575249.359,7071447.7
1514575252.710,7071446.7
1514575256.063,7071446.9
1514575259.415,7071448.0
1514575262.767,7071446.9
1514575266.119,7071448.2
1514575269.472,7071446.9
1514575272.823,7071447.7
1514575276.176,7071446.9
1514575279.527,7071446.4
1514575282.880,7071444.7
1514575286.232,7071444.4
1514575289.584,7071446.2
1514575292.936,7071445.7
1514575296.289,7071445.9
1514575299.640,7071445.9
1514575302.993,7071445.2
1514575306.344,7071445.9
1514575309.697,7071446.9
1514575313.049,7071446.9
1514575316.401,7071446.4
1514575319.753,7071446.2
1514575323.105,7071445.4
1514575326.458,7071446.2
1514575329.810,7071445.5
1514575333.162,7071444.7
1514575336.513,7071445.2
1514575339.866,7071444.8
1514575343.218,7071445.4
1514575346.570,7071445.4
