timestamp,ltz1000-p17-powercycle
1514590859.020,7071451.2
1514590862.372,7071452.5
1514590865.724,7071451.2
1514590869.077,7071451.5
1514590872.428,7071449.5
1514590875.781,7071447.4
1514590879.133,7071449.5
1514590882.484,7071451.2
1514590885.837,7071451.0
1514590889.189,7071451.8
1514590892.541,7071451.2
1514590895.893,7071450.7
1514590899.245,7071450.0
1514590902.597,7071450.0
1514590905.949,7071450.5
1514590909.301,7071451.2
1514590912.653,7071450.7
1514590916.006,7071450.5
1514590919.358,7071452.3
1514590922.710,7071450.0
1514590926.062,7071451.2
1514590929.414,7071451.8
1514590932.766,7071451.2
1514590936.118,7071450.7
1514590939.470,7071451.2
1514590942.823,7071450.7
1514590946.174,7071451.0
1514590949.527,7071450.0
1514590952.879,7071449.2
1514590956.231,7071450.5
1514590959.583,7071449.5
1514590962.935,7071449.2
1514590966.287,7071449.5
1514590969.639,7071450.7
1514590972.991,7071449.5
1514590976.343,7071448.7
1514590979.696,7071448.2
1514590983.048,7071448.0
1514590986.400,7071448.5
1514590989.752,7071448.2
1514590993.104,7071449.7
1514590996.457,7071451.0
1514590999.808,7071451.0
1514591003.161,7071450.2
1514591006.512,7071451.2
1514591009.865,7071450.2
1514591013.217,7071450.7
1514591016.569,7071451.0
1514591019.921,7071450.0
1514591023.274,7071451.8
1514591026.625,7071451.5
1514591029.978,7071451.5
1514591033.329,7071450.2
1514591036.682,7071450.7
1514591040.033,7071450.7
1514591043.386,7071450.0
1514591046.738,7071449.7
1514591050.090,7071450.7
1514591053.442,7071449.0
1514591056.794,7071449.2
1514591060.146,7071449.5
1514591063.498,7071447.7
1514591066.851,7071448.0
1514591070.203,7071450.5
1514591073.555,7071448.2
1514591076.907,7071447.7
1514591080.259,7071448.5
1514591083.611,7071448.7
1514591086.964,7071448.5
1514591090.315,7071450.2
1514591093.668,7071449.5
1514591097.019,7071451.2
1514591100.372,7071448.5
1514591103.724,7071449.2
1514591107.076,7071449.2
1514591110.428,7071449.0
1514591113.780,7071448.0
1514591117.132,7071447.4
1514591120.485,7071446.4
1514591123.836,7071447.2
1514591127.189,7071446.7
1514591130.541,7071448.7
1514591133.893,7071449.2
1514591137.245,7071447.4
1514591140.597,7071447.7
1514591143.949,7071449.2
1514591147.302,7071450.2
1514591150.654,7071449.5
1514591154.005,7071448.7
1514591157.358,7071449.2
1514591160.709,7071449.0
1514591164.062,7071450.5
1514591167.414,7071442.6
1514591170.766,7071445.7
1514591174.119,7071448.5
1514591177.470,7071448.7
1514591180.823,7071450.0
1514591184.508,7071448.0
1514591187.527,7071446.7
1514591190.879,7071448.2
1514591194.231,7071448.7
1514591197.583,7071434.3
1514591200.936,7071433.0
1514591204.287,7071435.0
1514591207.640,7071435.5
1514591210.991,7071434.8
1514591214.344,7071435.5
1514591217.696,7071435.8
1514591221.048,7071435.0
1514591224.400,7071448.5
1514591227.752,7071452.0
1514591231.105,7071451.5
1514591234.456,7071451.0
1514591237.809,7071450.6
