timestamp,ltz1000-p17-cotton-rounds
1514635232.609,7071494.1
1514635235.962,7071495.1
1514635239.314,7071495.4
1514635242.666,7071495.6
1514635246.018,7071495.1
1514635249.370,7071495.4
1514635252.722,7071495.1
1514635256.075,7071494.4
1514635259.426,7071495.1
1514635262.779,7071495.4
1514635266.130,7071493.8
1514635269.483,7071495.6
1514635272.835,7071494.4
1514635276.187,7071492.3
1514635279.539,7071493.6
1514635282.891,7071493.3
1514635286.243,7071494.4
1514635289.595,7071494.6
1514635292.947,7071494.6
1514635296.299,7071494.4
1514635299.651,7071494.6
1514635303.004,7071494.9
1514635306.356,7071494.6
1514635309.708,7071495.4
1514635313.060,7071493.3
1514635316.412,7071495.6
1514635319.765,7071494.4
1514635323.116,7071493.6
1514635326.469,7071493.8
1514635329.820,7071494.1
1514635333.173,7071493.6
1514635336.524,7071492.3
1514635339.877,7071494.4
1514635343.228,7071494.1
1514635346.581,7071494.4
1514635349.933,7071496.4
1514635353.285,7071495.6
1514635356.638,7071495.9
1514635359.989,7071497.1
1514635363.342,7071494.4
1514635366.693,7071495.6
1514635370.046,7071495.1
1514635373.397,7071495.4
1514635376.750,7071494.6
1514635380.102,7071494.4
1514635383.454,7071494.4
1514635386.806,7071494.4
1514635390.158,7071495.1
1514635393.510,7071495.1
1514635396.862,7071495.6
1514635400.214,7071495.4
1514635403.567,7071494.9
1514635406.918,7071495.6
1514635410.271,7071494.9
1514635413.623,7071496.6
1514635416.975,7071494.9
1514635420.327,7071495.6
1514635423.679,7071494.9
1514635427.031,7071495.9
1514635430.383,7071496.1
1514635433.735,7071495.6
1514635437.088,7071495.9
1514635440.440,7071495.1
1514635443.792,7071495.6
1514635447.144,7071496.6
1514635450.496,7071496.6
1514635453.848,7071494.9
1514635457.200,7071494.1
1514635460.552,7071496.1
1514635463.904,7071495.6
1514635467.257,7071495.4
1514635470.608,7071494.9
1514635473.961,7071496.1
1514635477.313,7071494.9
1514635480.665,7071495.4
1514635484.017,7071495.6
1514635487.369,7071495.4
1514635490.721,7071495.1
1514635494.073,7071494.6
1514635497.425,7071495.9
1514635500.777,7071494.6
1514635504.130,7071495.4
1514635507.481,7071494.6
1514635510.834,7071494.6
1514635514.186,7071495.4
1514635517.538,7071494.6
1514635520.890,7071495.6
1514635524.242,7071494.9
1514635527.595,7071494.6
1514635530.946,7071494.9
1514635534.299,7071495.9
1514635537.651,7071494.6
1514635541.002,7071495.1
1514635544.355,7071494.6
1514635547.707,7071494.6
1514635551.058,7071495.1
1514635554.411,7071494.9
1514635557.764,7071495.9
1514635561.115,7071494.1
1514635564.467,7071495.4
1514635567.820,7071494.9
1514635571.171,7071494.4
1514635574.524,7071495.1
1514635577.875,7071494.4
1514635581.228,7071494.4
1514635584.580,7071493.8
1514635587.932,7071493.8
1514635591.284,7071494.4
1514635594.637,7071493.1
1514635597.988,7071495.1
1514635601.341,7071495.4
1514635604.692,7071495.9
1514635608.045,7071494.4
1514635611.396,7071494.6
1514635614.749,7071495.5
1514635618.101,7071494.4
1514635621.453,7071495.9
1514635624.805,7071494.6
1514635628.157,7071496.4
1514635631.510,7071495.6
1514635634.861,7071495.1
1514635638.213,7071495.4
1514635641.565,7071493.1
1514635644.918,7071494.6
1514635648.270,7071493.6
1514635651.622,7071494.0
1514635654.974,7071495.1
1514635658.326,7071495.1
1514635661.678,7071494.4
1514635665.031,7071495.1
1514635668.382,7071493.8
1514635671.735,7071494.6
1514635675.086,7071494.4
1514635678.439,7071494.9
1514635681.790,7071494.6
1514635685.143,7071495.1
1514635688.495,7071495.6
1514635691.847,7071494.7
1514635695.200,7071495.1
1514635698.551,7071495.4
1514635701.904,7071495.6
1514635705.255,7071494.9
1514635708.608,7071494.4
1514635711.959,7071495.6
1514635715.312,7071495.1
1514635718.664,7071494.6
1514635722.016,7071495.4
1514635725.368,7071495.4
1514635728.720,7071494.4
1514635732.072,7071495.1
1514635735.425,7071496.1
1514635738.776,7071494.9
1514635742.129,7071495.4
1514635745.480,7071495.4
1514635748.833,7071495.4
1514635752.185,7071496.4
1514635755.537,7071495.1
1514635758.889,7071494.1
1514635762.241,7071495.6
1514635765.593,7071495.9
1514635768.945,7071494.1
1514635772.297,7071494.1
1514635775.649,7071494.6
1514635779.002,7071495.4
1514635782.353,7071495.1
1514635785.706,7071495.1
1514635789.058,7071495.1
1514635792.410,7071494.4
1514635795.762,7071494.4
1514635799.114,7071494.1
1514635802.466,7071493.8
