timestamp,332B
1500617511.681,9999041.4
1500617515.027,9999042.4
1500617518.372,9999041.4
1500617521.718,9999043.4
1500617525.063,9999041.9
1500617528.408,9999042.9
1500617531.754,9999042.4
1500617535.099,9999042.4
1500617538.445,9999042.6
1500617541.790,9999042.6
1500617545.136,9999042.6
1500617548.481,9999042.1
1500617551.826,9999044.6
1500617555.172,9999043.4
1500617558.517,9999042.9
1500617561.863,9999043.1
1500617565.208,9999041.9
1500617568.553,9999042.1
1500617571.899,9999041.9
1500617575.244,9999043.1
1500617578.589,9999041.6
1500617581.935,9999042.6
1500617585.280,9999042.4
1500617588.626,9999040.3
1500617591.971,9999042.4
1500617595.317,9999043.1
1500617598.662,9999041.6
1500617602.007,9999041.6
1500617605.353,9999041.1
1500617608.698,9999041.9
1500617612.044,9999041.4
1500617615.389,9999042.4
1500617618.734,9999041.9
1500617622.080,9999042.9
1500617625.425,9999042.6
1500617628.771,9999044.1
1500617632.116,9999044.1
1500617635.462,9999043.1
1500617638.807,9999042.6
1500617642.152,9999042.1
1500617645.498,9999043.4
1500617648.843,9999042.6
1500617652.189,9999042.1
1500617655.534,9999041.6
1500617658.879,9999043.6
1500617662.225,9999044.1
1500617665.570,9999044.4
1500617668.916,9999043.9
1500617672.261,9999044.6
1500617675.606,9999044.6
1500617678.952,9999046.4
1500617682.297,9999045.4
1500617685.643,9999043.9
1500617688.988,9999045.9
1500617692.334,9999043.6
1500617695.679,9999044.9
1500617699.024,9999043.9
1500617702.370,9999044.4
1500617705.715,9999045.9
1500617709.061,9999046.7
1500617712.406,9999046.2
1500617715.752,9999045.2
1500617719.097,9999045.4
1500617722.442,9999044.9
1500617725.788,9999044.1
1500617729.133,9999044.6
1500617732.479,9999042.6
1500617735.824,9999043.9
1500617739.169,9999044.6
1500617742.515,9999044.1
1500617745.860,9999044.9
1500617749.206,9999043.9
1500617752.551,9999044.6
1500617755.896,9999043.6
1500617759.242,9999042.4
1500617762.587,9999044.9
1500617765.933,9999043.1
1500617769.278,9999043.9
1500617772.624,9999042.9
1500617775.969,9999041.4
1500617779.314,9999042.9
1500617782.660,9999043.1
1500617786.005,9999045.2
1500617789.351,9999043.4
1500617792.696,9999042.1
1500617796.042,9999043.4
1500617799.387,9999042.4
1500617802.732,9999043.4
1500617806.078,9999043.4
1500617809.423,9999043.4
1500617812.769,9999042.6
1500617816.114,9999043.6
1500617819.459,9999043.4
1500617822.805,9999042.4
1500617826.150,9999046.4
1500617829.496,9999044.9
1500617832.841,9999042.6
1500617836.186,9999045.2
1500617839.532,9999044.4
1500617842.877,9999044.4
1500617846.223,9999043.4
1500617849.568,9999044.1
1500617852.913,9999043.9
1500617856.259,9999044.1
1500617859.604,9999044.4
1500617862.950,9999044.4
1500617866.295,9999044.9
1500617869.641,9999044.1
1500617872.986,9999044.9
1500617876.331,9999045.2
1500617879.677,9999045.2
1500617883.022,9999044.1
1500617886.367,9999044.9
1500617889.713,9999043.9
1500617893.058,9999044.9
1500617896.404,9999043.4
1500617899.749,9999043.4
1500617903.095,9999043.4
1500617906.440,9999044.1
1500617909.785,9999044.1
1500617913.131,9999044.4
1500617916.476,9999042.4
1500617919.822,9999043.6
1500617923.167,9999043.4
1500617926.512,9999043.1
1500617929.858,9999042.4
1500617933.203,9999042.1
1500617936.549,9999044.1
1500617939.894,9999043.1
1500617943.240,9999041.4
1500617946.585,9999044.1
1500617949.930,9999044.4
1500617953.276,9999042.6
1500617956.621,9999043.9
1500617959.967,9999043.4
1500617963.312,9999043.9
1500617966.657,9999043.6
1500617970.003,9999044.6
1500617973.348,9999043.9
1500617976.694,9999044.1
1500617980.039,9999043.6
1500617983.385,9999043.4
1500617986.730,9999042.1
1500617990.075,9999043.1
1500617993.421,9999042.1
1500617996.766,9999042.6
1500618000.112,9999043.1
1500618003.457,9999042.9
1500618006.802,9999042.9
1500618010.148,9999042.9
1500618013.493,9999043.4
1500618016.839,9999041.9
1500618020.184,9999041.6
1500618023.529,9999042.4
1500618026.875,9999042.9
1500618030.220,9999042.4
1500618033.566,9999043.1
1500618036.911,9999042.9
1500618040.257,9999042.4
1500618043.602,9999042.4
1500618046.947,9999042.9
1500618050.293,9999043.6
1500618053.638,9999043.9
1500618056.984,9999044.1
1500618060.329,9999043.4
1500618063.674,9999044.1
1500618067.020,9999045.9
1500618070.365,9999044.4
1500618073.711,9999042.9
1500618077.056,9999044.6
1500618080.402,9999044.1
1500618083.747,9999044.1
1500618087.092,9999043.9
1500618090.438,9999042.9
1500618093.783,9999043.1
1500618097.129,9999043.4
1500618100.474,9999043.4
1500618103.820,9999042.6
1500618107.165,9999043.9
1500618110.510,9999044.6
1500618113.856,9999041.6
1500618117.201,9999040.8
1500618120.546,9999040.3
1500618123.892,9999040.3
1500618127.237,9999040.3
1500618130.583,9999042.4
1500618133.928,9999041.1
1500618137.274,9999040.8
1500618140.619,9999041.4
1500618143.965,9999042.4
1500618147.310,9999041.9
1500618150.655,9999042.4
1500618154.001,9999040.3
1500618157.346,9999041.6
1500618160.691,9999040.8
1500618164.037,9999039.8
1500618167.382,9999039.8
1500618170.728,9999040.6
1500618174.073,9999039.8
