si_7021_ambient_c,si7021_internal_c,setpoint,adc,adc_c,error_c,output,io_delta_c
20.750,-46.582,406,405.601,24.9955,-0.0045,174.03,4.2454
20.761,-46.582,406,405.688,24.9965,-0.0035,173.35,4.2356
20.750,-46.582,406,405.967,24.9996,-0.0004,170.58,4.2495
20.782,-46.582,406,405.804,24.9978,-0.0022,172.33,4.2155
20.772,-46.582,406,405.795,24.9977,-0.0023,172.54,4.2261
20.782,-46.582,406,406.023,25.0003,0.0003,170.25,4.2180
20.804,-46.582,406,406.012,25.0001,0.0001,170.35,4.1964
20.782,-46.582,406,406.265,25.0030,0.0030,167.65,4.2207
20.782,-46.582,406,406.250,25.0028,0.0028,167.66,4.2206
20.804,-46.582,406,405.971,24.9997,-0.0003,170.47,4.1960
20.793,-46.582,406,405.919,24.9991,-0.0009,171.03,4.2061
20.793,-46.582,406,405.712,24.9967,-0.0033,173.28,4.2037
20.793,-46.582,406,405.633,24.9958,-0.0042,174.29,4.2028
20.814,-46.582,406,405.988,24.9999,-0.0001,170.75,4.1854
20.836,-46.582,406,405.940,24.9993,-0.0007,171.26,4.1634
20.814,-46.582,406,405.644,24.9960,-0.0040,174.43,4.1815
20.825,-46.582,406,405.790,24.9976,-0.0024,173.10,4.1724
20.825,-46.582,406,405.912,24.9990,-0.0010,171.93,4.1738
20.836,-46.582,406,406.177,25.0020,0.0020,169.18,4.1661
20.836,-46.582,406,406.058,25.0007,0.0007,170.33,4.1648
20.847,-46.582,406,405.973,24.9997,-0.0003,171.19,4.1531
20.847,-46.582,406,406.193,25.0022,0.0022,168.88,4.1556
20.847,-46.582,406,406.294,25.0033,0.0033,167.70,4.1567
20.857,-46.582,406,406.366,25.0042,0.0042,166.76,4.1468
20.847,-46.582,406,406.164,25.0019,0.0019,168.67,4.1553
20.847,-46.582,406,406.327,25.0037,0.0037,166.86,4.1571
20.868,-46.582,406,406.200,25.0023,0.0023,168.00,4.1342
20.868,-46.582,406,406.357,25.0041,0.0041,166.22,4.1360
20.868,-46.582,406,406.465,25.0053,0.0053,164.86,4.1372
20.879,-46.582,406,406.301,25.0034,0.0034,166.31,4.1246
20.879,-46.582,406,406.387,25.0044,0.0044,165.22,4.1256
20.868,-46.582,406,406.248,25.0028,0.0028,166.47,4.1347
20.890,-46.582,406,406.088,25.0010,0.0010,168.01,4.1115
20.900,-46.582,406,405.928,24.9992,-0.0008,169.66,4.0989
20.879,-46.582,406,406.097,25.0011,0.0011,167.91,4.1223
20.900,-46.582,406,406.213,25.0024,0.0024,166.62,4.1022
20.911,-46.582,406,406.203,25.0023,0.0023,166.60,4.0913
20.911,-46.582,406,406.012,25.0001,0.0001,168.50,4.0892
20.900,-46.582,406,406.169,25.0019,0.0019,166.83,4.1017
20.900,-46.582,406,406.255,25.0029,0.0029,165.82,4.1027
20.911,-46.582,406,406.088,25.0010,0.0010,167.43,4.0900
20.922,-46.582,406,405.977,24.9997,-0.0003,168.56,4.0780
20.922,-46.582,406,405.799,24.9977,-0.0023,170.45,4.0760
20.932,-46.582,406,405.958,24.9995,-0.0005,168.89,4.0671
20.932,-46.582,406,405.788,24.9976,-0.0024,170.72,4.0652
20.954,-46.582,406,406.033,25.0004,0.0004,168.25,4.0465
20.932,-46.582,406,405.961,24.9996,-0.0004,168.99,4.0671
20.965,-46.582,406,406.024,25.0003,0.0003,168.36,4.0357
20.965,-46.582,406,406.173,25.0020,0.0020,166.76,4.0374
20.965,-46.582,406,406.140,25.0016,0.0016,167.00,4.0370
20.965,-46.582,406,406.335,25.0038,0.0038,164.85,4.0392
20.965,-46.582,406,406.258,25.0029,0.0029,165.46,4.0383
20.965,-46.582,406,406.441,25.0050,0.0050,163.37,4.0404
20.975,-46.582,406,406.104,25.0012,0.0012,166.68,4.0259
21.007,-46.582,406,406.058,25.0007,0.0007,167.11,3.9932
20.997,-46.582,406,406.017,25.0002,0.0002,167.51,4.0034
20.997,-46.582,406,406.242,25.0027,0.0028,165.11,4.0060
20.997,-46.582,406,406.150,25.0017,0.0017,165.94,4.0049
21.007,-46.582,406,406.284,25.0032,0.0032,164.43,3.9957
21.007,-46.582,406,406.005,25.0001,0.0001,167.22,3.9926
21.018,-46.582,406,406.114,25.0013,0.0013,166.06,3.9831
21.018,-46.582,406,406.204,25.0023,0.0023,165.03,3.9841
