timestamp,ambient_c,ambient_rh,set_c,err_c,duty_cycle
1521588926.78,24.901,53.837,25.000,-0.099,0.000
1521588927.19,24.890,53.853,25.000,-0.110,0.000
1521588927.60,24.901,53.837,25.000,-0.099,0.000
1521588928.01,24.879,53.845,25.000,-0.121,0.000
1521588928.42,24.901,53.837,25.000,-0.099,0.000
1521588928.82,24.879,53.853,25.000,-0.121,0.000
1521588929.23,24.912,53.837,25.000,-0.088,0.000
1521588929.64,24.890,53.860,25.000,-0.110,0.000
1521588930.05,24.912,53.837,25.000,-0.088,0.000
1521588930.46,24.912,53.853,25.000,-0.088,0.000
1521588930.86,24.890,53.845,25.000,-0.110,0.000
1521588931.27,24.879,53.853,25.000,-0.121,0.000
1521588931.68,24.922,53.853,25.000,-0.078,0.000
1521588932.09,24.890,53.860,25.000,-0.110,0.000
1521588932.50,24.901,53.853,25.000,-0.099,0.000
1521588932.90,24.901,53.868,25.000,-0.099,0.000
1521588933.31,24.879,53.868,25.000,-0.121,0.000
1521588933.72,24.890,53.868,25.000,-0.110,0.000
1521588934.13,24.890,53.860,25.000,-0.110,0.000
1521588934.53,24.912,53.860,25.000,-0.088,0.000
1521588934.94,24.890,53.875,25.000,-0.110,0.000
1521588935.35,24.901,53.868,25.000,-0.099,0.000
1521588935.76,24.901,53.868,25.000,-0.099,0.000
1521588936.17,24.912,53.860,25.000,-0.088,0.000
1521588936.58,24.912,53.875,25.000,-0.088,0.000
1521588936.98,24.912,53.875,25.000,-0.088,0.000
1521588937.39,24.922,53.868,25.000,-0.078,0.000
1521588937.80,24.912,53.883,25.000,-0.088,0.000
1521588938.21,24.912,53.868,25.000,-0.088,0.000
1521588938.61,24.890,53.883,25.000,-0.110,0.000
1521588939.02,24.890,53.875,25.000,-0.110,0.000
1521588939.43,24.890,53.883,25.000,-0.110,0.000
1521588939.84,24.890,53.898,25.000,-0.110,0.000
1521588940.25,24.912,53.883,25.000,-0.088,0.000
1521588940.65,24.890,53.883,25.000,-0.110,0.000
1521588941.06,24.901,53.883,25.000,-0.099,0.000
1521588941.47,24.901,53.883,25.000,-0.099,0.000
1521588941.88,24.901,53.883,25.000,-0.099,0.000
1521588942.29,24.912,53.906,25.000,-0.088,0.000
1521588942.69,24.890,53.891,25.000,-0.110,0.000
1521588943.10,24.901,53.891,25.000,-0.099,0.000
1521588943.51,24.901,53.883,25.000,-0.099,0.000
1521588943.92,24.901,53.906,25.000,-0.099,0.000
1521588944.33,24.901,53.906,25.000,-0.099,0.000
1521588944.73,24.890,53.906,25.000,-0.110,0.000
1521588945.14,24.901,53.898,25.000,-0.099,0.000
1521588945.55,24.912,53.891,25.000,-0.088,0.000
1521588945.96,24.912,53.906,25.000,-0.088,0.000
1521588946.36,24.901,53.906,25.000,-0.099,0.000
1521588946.77,24.912,53.906,25.000,-0.088,0.000
1521588947.18,24.912,53.906,25.000,-0.088,0.000
1521588947.59,24.901,53.906,25.000,-0.099,0.000
1521588948.00,24.912,53.906,25.000,-0.088,0.000
1521588948.40,24.922,53.914,25.000,-0.078,0.000
1521588948.81,24.912,53.898,25.000,-0.088,0.000
1521588949.22,24.912,53.906,25.000,-0.088,0.000
1521588949.63,24.912,53.921,25.000,-0.088,0.000
1521588950.04,24.901,53.914,25.000,-0.099,0.000
1521588950.44,24.922,53.921,25.000,-0.078,0.000
1521588950.85,24.901,53.921,25.000,-0.099,0.000
1521588951.26,24.912,53.906,25.000,-0.088,0.000
1521588951.67,24.901,53.921,25.000,-0.099,0.000
1521588952.08,24.912,53.921,25.000,-0.088,0.000
1521588952.48,24.922,53.921,25.000,-0.078,0.000
1521588952.89,24.901,53.921,25.000,-0.099,0.000
1521588953.30,24.901,53.921,25.000,-0.099,0.000
1521588953.71,24.912,53.952,25.000,-0.088,0.000
1521588954.11,24.912,53.921,25.000,-0.088,0.000
1521588954.52,24.912,53.937,25.000,-0.088,0.000
1521588954.93,24.912,53.937,25.000,-0.088,0.000
1521588955.34,24.912,53.937,25.000,-0.088,0.000
1521588955.75,24.912,53.921,25.000,-0.088,0.000
1521588956.16,24.922,53.937,25.000,-0.078,0.000
1521588956.56,24.901,53.929,25.000,-0.099,0.000
1521588956.97,24.922,53.929,25.000,-0.078,0.000
1521588957.38,24.890,53.921,25.000,-0.110,0.000
1521588957.79,24.912,53.921,25.000,-0.088,0.000
1521588958.19,24.890,53.937,25.000,-0.110,0.000
1521588958.60,24.912,53.929,25.000,-0.088,0.000
