si7021_c,si7021_h,set,input,output
23.785,57.156,405,297.023,255.00
23.785,57.156,405,297.541,255.00
23.785,57.148,405,297.701,255.00
23.775,57.148,405,297.693,255.00
23.785,57.133,405,297.828,255.00
23.785,57.133,405,297.740,255.00
23.775,57.164,405,298.102,255.00
23.785,57.133,405,298.027,255.00
23.807,57.133,405,298.514,255.00
23.818,57.148,405,298.389,255.00
23.796,57.133,405,298.955,255.00
23.796,57.110,405,298.881,255.00
23.807,57.118,405,298.680,255.00
23.796,57.118,405,298.469,255.00
23.818,57.118,405,298.994,255.00
23.796,57.110,405,299.119,255.00
23.818,57.126,405,299.504,255.00
23.796,57.126,405,299.512,255.00
23.796,57.110,405,299.404,255.00
23.818,57.095,405,299.729,255.00
23.775,57.080,405,300.207,255.00
23.796,57.095,405,299.654,255.00
23.807,57.110,405,299.996,255.00
23.807,57.087,405,300.420,255.00
23.796,57.118,405,300.172,255.00
23.807,57.080,405,300.602,255.00
23.818,57.080,405,300.654,255.00
23.828,57.080,405,300.449,255.00
23.807,57.095,405,301.068,255.00
23.807,57.080,405,300.902,255.00
23.818,57.065,405,300.762,255.00
23.828,57.065,405,301.217,255.00
23.828,57.065,405,301.459,255.00
23.796,57.065,405,301.277,255.00
23.828,57.049,405,301.037,255.00
23.818,57.065,405,301.840,255.00
23.828,57.057,405,301.760,255.00
23.828,57.065,405,301.945,255.00
23.850,57.057,405,301.902,255.00
23.828,57.057,405,301.562,255.00
23.828,57.049,405,301.777,255.00
