resistance,ppm,temp_c
9984.8562,0.01,24.989
9984.8562,0.01,24.999
9984.8562,0.01,25.005
9984.8562,0.01,25.001
9984.8562,0.01,25.003
9984.8562,0.01,25.014
9984.8562,0.01,24.999
9984.8562,0.01,25.015
9984.8562,0.01,25.0
9984.8562,0.01,25.014
9984.8562,0.01,24.997
9984.8562,0.01,25.007
9984.8562,0.01,25.011
9984.8562,0.01,25.018
9984.8562,0.01,25.005
9984.8554,-0.07,24.995
9984.8554,-0.07,24.99
9984.8554,-0.07,24.999
9984.8554,-0.07,24.981
9984.8554,-0.07,24.993
9984.8554,-0.07,24.989
9984.8554,-0.07,25.007
9984.8554,-0.07,24.999
9984.8554,-0.07,25.007
9984.8554,-0.07,24.99
9984.8554,-0.07,24.969
9984.8554,-0.07,25.003
9984.8554,-0.07,25.004
9984.8562,0.01,25.007
9984.8562,0.01,25.01
9984.8562,0.01,25.004
9984.8562,0.01,25.004
9984.8562,0.01,25.003
9984.8562,0.01,25.014
9984.8562,0.01,25.001
9984.8562,0.01,24.999
9984.8562,0.01,24.993
9984.8562,0.01,25.005
9984.8562,0.01,25.012
9984.8562,0.01,25.005
9984.8562,0.01,24.99
9984.8562,0.01,24.988
9984.8544,-0.17,25.0
9984.8544,-0.17,24.999
9984.8544,-0.17,24.989
9984.8544,-0.17,25.001
9984.8544,-0.17,25.003
9984.8544,-0.17,25.003
9984.8544,-0.17,24.988
9984.8544,-0.17,25.027
9984.8544,-0.17,24.995
9984.8544,-0.17,24.995
9984.8544,-0.17,24.995
9984.8544,-0.17,25.004
9984.8544,-0.17,24.989
9984.8559,-0.02,24.993
9984.8559,-0.02,25.003
9984.8559,-0.02,24.981
9984.8559,-0.02,25.01
9984.8559,-0.02,25.005
9984.8559,-0.02,25.012
9984.8559,-0.02,24.992
9984.8559,-0.02,24.984
9984.8559,-0.02,25.008
9984.8559,-0.02,25.003
9984.8559,-0.02,25.005
9984.8559,-0.02,24.996
9984.8559,-0.02,25.004
9984.8536,-0.25,25.001
9984.8536,-0.25,25.015
9984.8536,-0.25,25.003
9984.8536,-0.25,24.988
9984.8536,-0.25,25.033
9984.8536,-0.25,24.992
9984.8536,-0.25,25.008
9984.8536,-0.25,24.999
9984.8536,-0.25,25.003
9984.8536,-0.25,25.008
9984.8536,-0.25,24.989
9984.8536,-0.25,24.975
9984.8536,-0.25,25.001
9984.8536,-0.25,25.003
9984.8554,-0.07,24.993
9984.8554,-0.07,25.01
9984.8554,-0.07,25.008
9984.8554,-0.07,25.0
9984.8554,-0.07,25.005
9984.8554,-0.07,25.003
9984.8554,-0.07,24.999
9984.8554,-0.07,25.0
9984.8554,-0.07,25.012
9984.8554,-0.07,24.996
9984.8554,-0.07,25.021
9984.8554,-0.07,24.997
9984.8554,-0.07,25.046
9984.8531,-0.30,25.001
9984.8531,-0.30,24.986
9984.8531,-0.30,25.005
9984.8531,-0.30,24.989
9984.8531,-0.30,24.974
9984.8531,-0.30,24.995
9984.8531,-0.30,24.985
9984.8531,-0.30,24.986
9984.8531,-0.30,25.001
9984.8531,-0.30,25.001
9984.8531,-0.30,24.997
9984.8531,-0.30,25.001
9984.8531,-0.30,24.989
9984.8541,-0.20,25.003
9984.8541,-0.20,25.0
9984.8541,-0.20,25.007
9984.8541,-0.20,24.996
9984.8541,-0.20,25.0
9984.8541,-0.20,24.997
9984.8541,-0.20,25.003
9984.8541,-0.20,25.008
9984.8541,-0.20,25.01
9984.8541,-0.20,25.008
9984.8541,-0.20,25.005
9984.8541,-0.20,24.997
9984.8541,-0.20,24.995
9984.8541,-0.20,24.996
9984.8549,-0.12,24.992
9984.8549,-0.12,24.992
9984.8549,-0.12,24.99
