timestamp,lm399,temp_c,humidity
1516252422.77,6.885861,20.356,52.784
1516252426.77,6.885905,20.281,52.701
1516252429.77,6.885894,19.938,52.281
1516252432.77,6.885900,19.585,51.823
1516252436.77,6.885907,19.083,51.205
1516252439.77,6.885863,18.740,50.839
1516252442.77,6.885871,18.398,50.534
1516252446.77,6.885872,18.002,50.313
1516252449.77,6.885870,17.724,50.168
1516252452.77,6.885867,17.457,50.084
1516252456.77,6.885868,17.093,50.076
1516252459.77,6.885868,16.847,50.122
1516252462.77,6.885866,16.580,50.221
1516252466.76,6.885866,16.248,50.412
1516252469.77,6.885866,16.034,50.587
1516252473.76,6.885868,15.724,50.862
1516252476.76,6.885865,15.521,51.106
1516252479.77,6.885866,15.307,51.365
1516252483.76,6.885866,15.050,51.747
1516252486.76,6.885866,14.847,52.060
1516252489.76,6.885866,14.633,52.372
1516252493.76,6.885865,14.376,52.800
1516252496.76,6.885866,14.194,53.143
1516252499.76,6.885867,14.002,53.509
1516252503.76,6.885867,13.788,53.982
1516252506.76,6.885868,13.628,54.349
1516252509.76,6.885867,13.467,54.730
1516252513.76,6.885869,13.275,55.195
1516252516.76,6.885866,13.135,55.615
1516252519.76,6.885866,12.954,55.974
1516252523.76,6.885867,12.772,56.469
1516252526.75,6.885867,12.665,56.843
1516252530.76,6.885867,12.483,57.354
1516252533.76,6.885866,12.344,57.744
1516252536.75,6.885868,12.226,58.102
1516252540.75,6.885867,12.066,58.583
1516252543.75,6.885864,11.948,58.949
1516252546.75,6.885859,11.841,59.292
1516252550.75,6.885850,11.670,59.773
1516252553.75,6.885843,11.584,60.086
1516252556.75,6.885843,11.488,60.429
1516252560.75,6.885842,11.371,60.872
1516252563.75,6.885842,11.253,61.184
1516252566.75,6.885841,11.167,61.513
1516252570.75,6.885843,11.018,61.940
1516252573.75,6.885842,10.975,62.222
1516252576.75,6.885841,10.857,62.520
1516252580.75,6.885843,10.750,62.893
1516252583.75,6.885843,10.675,63.168
1516252587.74,6.885845,10.579,63.534
1516252590.74,6.885844,10.472,63.817
1516252593.75,6.885844,10.408,64.061
1516252597.74,6.885844,10.301,64.419
1516252600.74,6.885846,10.237,64.671
1516252603.74,6.885845,10.162,64.908
1516252607.74,6.885842,10.108,65.228
1516252610.74,6.885842,10.023,65.472
1516252613.74,6.885841,9.980,65.671
1516252617.74,6.885843,9.905,65.960
1516252620.74,6.885844,9.841,66.144
1516252623.74,6.885845,9.787,66.334
1516252627.74,6.885845,9.713,66.578
1516252630.74,6.885845,9.659,66.731
1516252633.74,6.885844,9.606,66.876
1516252637.74,6.885844,9.541,67.105
1516252640.74,6.885842,9.488,67.250
1516252644.74,6.885844,9.435,67.441
1516252647.74,6.885842,9.370,67.570
1516252650.73,6.885840,9.360,67.700
1516252654.74,6.885841,9.285,67.914
1516252657.73,6.885841,9.231,68.036
1516252660.73,6.885842,9.199,68.165
1516252664.73,6.885842,9.146,68.326
1516252667.73,6.885842,9.103,68.448
