timestamp,microvolts,temp_c,"Savitzky-Golay (151,2)"
1545283550.76,7045695.0,20.223,7045697.53848
1545283555.93,7045695.97,20.226,7045697.54486
1545283561.11,7045697.16,20.229,7045697.58099
1545283566.3,7045699.51,20.234,7045697.60803
1545283571.48,7045698.0,20.239,7045697.62426
1545283576.65,7045697.43,20.237,7045697.6174
1545283581.83,7045695.87,20.242,7045697.62403
1545283587.0,7045695.85,20.24,7045697.61669
1545283592.18,7045696.32,20.237,7045697.61938
1545283597.35,7045698.32,20.24,7045697.60902
1545283602.52,7045699.19,20.242,7045697.63792
1545283607.7,7045697.22,20.239,7045697.64663
1545283612.87,7045695.5,20.243,7045697.62309
1545283618.05,7045696.04,20.245,7045697.57129
1545283623.22,7045698.55,20.246,7045697.55954
1545283628.4,7045699.64,20.245,7045697.5458
1545283633.58,7045699.12,20.246,7045697.54312
1545283638.77,7045699.88,20.249,7045697.52824
1545283643.93,7045700.54,20.257,7045697.53971
1545283649.12,7045700.85,20.254,7045697.56597
1545283654.28,7045699.27,20.26,7045697.60779
1545283659.47,7045701.26,20.269,7045697.63639
1545283664.64,7045700.05,20.252,7045697.66909
1545283669.82,7045698.37,20.262,7045697.68022
1545283674.99,7045697.9,20.26,7045697.65587
1545283680.17,7045698.22,20.26,7045697.65289
1545283685.34,7045697.86,20.263,7045697.64536
1545283690.52,7045697.79,20.262,7045697.59654
1545283695.69,7045696.28,20.266,7045697.53804
1545283700.87,7045694.99,20.269,7045697.50171
1545283706.04,7045695.34,20.271,7045697.50721
1545283711.22,7045695.17,20.268,7045697.51611
1545283716.39,7045695.65,20.278,7045697.47439
1545283721.57,7045695.81,20.28,7045697.45812
1545283726.74,7045697.18,20.281,7045697.43812
1545283731.92,7045697.94,20.291,7045697.45702
1545283737.09,7045699.12,20.295,7045697.45426
1545283742.27,7045698.36,20.297,7045697.45086
1545283747.45,7045699.32,20.303,7045697.44847
1545283752.62,7045698.56,20.306,7045697.44009
1545283757.79,7045696.69,20.304,7045697.42198
1545283762.97,7045697.28,20.307,7045697.3751
1545283768.16,7045698.57,20.309,7045697.36544
1545283773.32,7045699.36,20.311,7045697.34357
1545283778.49,7045698.57,20.309,7045697.35622
1545283783.67,7045698.29,20.312,7045697.35393
1545283788.84,7045696.94,20.321,7045697.34913
1545283794.01,7045695.58,20.317,7045697.3541
1545283799.19,7045696.29,20.326,7045697.36066
1545283804.36,7045694.57,20.315,7045697.34482
1545283809.54,7045697.27,20.323,7045697.33838
1545283814.71,7045695.34,20.326,7045697.34065
1545283819.89,7045695.31,20.332,7045697.34956
1545283825.06,7045696.3,20.334,7045697.35745
1545283830.24,7045695.96,20.337,7045697.34035
1545283835.43,7045695.48,20.334,7045697.33664
1545283840.61,7045693.04,20.326,7045697.3355
1545283845.78,7045694.91,20.321,7045697.34357
1545283850.96,7045696.1,20.329,7045697.33607
1545283856.13,7045697.45,20.329,7045697.31918
1545283861.31,7045697.3,20.327,7045697.30928
1545283866.48,7045696.58,20.33,7045697.30607
1545283871.66,7045696.47,20.329,7045697.29496
1545283876.83,7045698.3,20.334,7045697.26855
1545283882.01,7045698.01,20.33,7045697.23939
1545283887.18,7045698.64,20.332,7045697.21596
1545283892.35,7045698.1,20.329,7045697.21853
1545283897.53,7045698.2,20.335,7045697.23813
1545283902.7,7045697.42,20.329,7045697.24821
1545283907.88,7045699.02,20.337,7045697.25349
1545283913.06,7045699.15,20.33,7045697.29052
1545283918.23,7045699.53,20.337,7045697.30049
1545283923.41,7045699.32,20.329,7045697.31134
1545283928.58,7045698.72,20.329,7045697.30157
1545283933.76,7045698.2,20.329,7045697.26104
1545283938.93,7045697.93,20.329,7045697.21857
1545283944.12,7045697.46,20.332,7045697.18361
1545283949.3,7045696.15,20.326,7045697.17815
1545283954.48,7045696.78,20.327,7045697.17398
1545283959.65,7045697.59,20.326,7045697.20738
1545283964.82,7045698.32,20.317,7045697.24262
1545283970.0,7045698.32,20.318,7045697.25773
1545283975.17,7045698.09,20.326,7045697.23889
1545283980.35,7045697.09,20.321,7045697.21778
1545283985.52,7045696.49,20.32,7045697.19369
1545283990.7,7045694.9,20.321,7045697.19335
1545283995.87,7045694.82,20.314,7045697.20345
1545284001.05,7045695.05,20.315,7045697.20765
1545284006.22,7045698.64,20.318,7045697.18768
1545284011.4,7045697.73,20.315,7045697.15531
1545284016.57,7045698.52,20.312,7045697.13317
1545284021.74,7045698.78,20.318,7045697.12414
1545284026.92,7045698.55,20.312,7045697.10974
1545284032.09,7045697.43,20.306,7045697.1099
1545284037.26,7045695.86,20.304,7045697.1141
1545284042.44,7045694.63,20.309,7045697.13582
1545284047.61,7045696.61,20.311,7045697.16796
1545284052.79,7045696.06,20.312,7045697.22523
1545284057.96,7045697.33,20.307,7045697.28115
1545284063.14,7045698.49,20.32,7045697.32979
1545284068.31,7045697.22,20.309,7045697.36648
1545284073.49,7045697.47,20.314,7045697.3936
1545284078.66,7045698.79,20.317,7045697.41134
1545284083.84,7045699.54,20.317,7045697.44867
1545284089.01,7045697.76,20.323,7045697.46934
1545284094.19,7045696.37,20.315,7045697.44461
1545284099.36,7045694.58,20.324,7045697.40711
1545284104.54,7045697.56,20.321,7045697.36475
1545284109.71,7045697.27,20.323,7045697.33819
1545284114.89,7045697.81,20.32,7045697.31775
1545284120.06,7045696.89,20.317,7045697.30052
1545284125.24,7045697.49,20.318,7045697.28818
1545284130.41,7045696.63,20.312,7045697.30673
1545284135.59,7045694.9,20.323,7045697.33607
1545284140.76,7045694.46,20.315,7045697.37713
1545284145.94,7045695.54,20.315,7045697.41123
1545284151.11,7045698.54,20.314,7045697.40963
1545284156.28,7045696.88,20.312,7045697.42025
1545284161.46,7045698.09,20.307,7045697.44494
1545284166.63,7045696.64,20.311,7045697.47367
1545284171.81,7045697.32,20.306,7045697.49221
1545284176.98,7045697.94,20.307,7045697.50235
1545284182.16,7045698.23,20.301,7045697.49298
1545284187.33,7045698.12,20.309,7045697.48759
1545284192.51,7045698.15,20.311,7045697.47852
1545284197.68,7045697.69,20.309,7045697.44588
1545284202.86,7045697.93,20.306,7045697.43784
1545284208.03,7045697.18,20.309,7045697.40972
1545284213.21,7045698.7,20.303,7045697.37664
1545284218.38,7045699.67,20.303,7045697.36422
1545284223.57,7045698.66,20.311,7045697.35456
1545284228.73,7045697.35,20.307,7045697.36065
1545284233.92,7045696.26,20.306,7045697.34222
1545284239.08,7045697.86,20.3,7045697.33495
1545284244.27,7045698.62,20.304,7045697.34842
1545284249.44,7045697.85,20.301,7045697.36238
1545284254.6,7045696.27,20.298,7045697.36949
1545284259.78,7045698.03,20.303,7045697.36368
1545284264.95,7045697.14,20.303,7045697.36518
1545284270.14,7045696.6,20.298,7045697.36993
1545284275.3,7045697.93,20.3,7045697.3554
1545284280.49,7045697.54,20.295,7045697.34957
1545284285.65,7045696.79,20.298,7045697.35045
1545284290.82,7045697.2,20.311,7045697.3643
1545284296.0,7045699.37,20.303,7045697.36042
1545284301.17,7045696.46,20.301,7045697.36875
1545284306.34,7045698.1,20.311,7045697.37177
1545284311.52,7045697.76,20.309,7045697.40084
1545284316.69,7045697.47,20.312,7045697.40428
1545284321.87,7045698.35,20.314,7045697.40862
1545284327.04,7045698.58,20.314,7045697.41077
1545284332.21,7045698.34,20.312,7045697.42071
1545284337.38,7045696.2,20.311,7045697.41874
1545284342.56,7045697.15,20.318,7045697.40553
1545284347.73,7045695.71,20.32,7045697.41663
1545284352.91,7045693.93,20.32,7045697.46809
1545284358.08,7045695.22,20.317,7045697.52174
1545284363.26,7045696.94,20.32,7045697.57429
1545284368.43,7045697.02,20.314,7045697.6239
1545284373.61,7045697.7,20.315,7045697.63906
1545284378.79,7045697.31,20.318,7045697.62854
1545284383.96,7045697.21,20.315,7045697.59508
1545284389.14,7045695.83,20.314,7045697.58816
1545284394.31,7045696.39,20.312,7045697.59901
1545284399.49,7045698.06,20.307,7045697.63273
1545284404.66,7045699.63,20.312,7045697.63381
1545284409.83,7045699.66,20.306,7045697.62971
1545284415.0,7045699.97,20.304,7045697.64612
1545284420.24,7045699.56,20.307,7045697.66154
1545284425.41,7045700.16,20.309,7045697.65674
1545284430.59,7045699.07,20.303,7045697.63218
1545284435.78,7045696.65,20.306,7045697.58403
1545284440.96,7045696.24,20.304,7045697.55232
1545284446.13,7045695.28,20.309,7045697.51111
1545284451.3,7045694.29,20.307,7045697.47823
1545284456.48,7045694.9,20.307,7045697.46247
1545284461.65,7045696.12,20.306,7045697.42889
1545284466.83,7045696.7,20.307,7045697.3828
1545284472.0,7045694.59,20.317,7045697.36008
1545284477.18,7045694.57,20.311,7045697.34495
1545284482.35,7045697.67,20.318,7045697.32777
1545284487.53,7045699.25,20.318,7045697.26879
1545284492.7,7045699.58,20.32,7045697.19306
1545284497.88,7045698.46,20.323,7045697.16372
1545284503.05,7045697.96,20.327,7045697.10795
1545284508.22,7045699.03,20.335,7045697.05834
1545284513.38,7045699.44,20.332,7045696.99133
1545284518.55,7045697.67,20.334,7045696.9366
1545284523.72,7045695.88,20.33,7045696.88891
1545284528.88,7045695.66,20.338,7045696.80955
1545284534.05,7045695.6,20.347,7045696.73507
1545284539.22,7045697.29,20.355,7045696.66377
1545284544.39,7045696.61,20.36,7045696.61998
1545284549.57,7045696.48,20.363,7045696.5517
1545284554.74,7045696.94,20.364,7045696.51235
1545284559.92,7045697.28,20.375,7045696.47095
1545284565.1,7045697.95,20.373,7045696.43667
1545284570.27,7045698.66,20.375,7045696.41836
1545284575.45,7045696.87,20.376,7045696.39597
1545284580.62,7045697.87,20.376,7045696.36975
1545284585.79,7045698.46,20.381,7045696.33082
1545284590.97,7045698.68,20.386,7045696.27857
1545284596.15,7045698.8,20.387,7045696.223
1545284601.32,7045699.25,20.383,7045696.17085
1545284606.5,7045698.15,20.387,7045696.14542
1545284611.67,7045697.48,20.392,7045696.14708
1545284616.85,7045695.24,20.395,7045696.14872
1545284622.02,7045694.91,20.395,7045696.13555
1545284627.21,7045695.28,20.398,7045696.11487
1545284632.38,7045694.08,20.409,7045696.102
