timestamp,LM399-P15-slow6-no-R7-alkaline15V
1500872485.842,6890115.5
1500872489.187,6890114.8
1500872492.533,6890116.5
1500872495.878,6890115.0
1500872499.224,6890118.1
1500872502.569,6890115.3
1500872505.915,6890115.3
1500872509.260,6890116.8
1500872512.605,6890116.0
1500872515.951,6890117.5
1500872519.296,6890115.5
1500872522.641,6890114.8
1500872525.987,6890114.5
1500872529.332,6890114.0
1500872532.678,6890115.3
1500872536.023,6890116.0
1500872539.368,6890116.3
1500872542.714,6890117.3
1500872546.059,6890116.0
1500872549.405,6890117.8
1500872552.750,6890116.3
1500872556.096,6890115.3
1500872559.441,6890116.5
1500872562.786,6890116.8
1500872566.132,6890114.0
1500872569.477,6890117.8
1500872572.822,6890117.8
1500872576.168,6890117.8
1500872579.513,6890117.8
1500872582.859,6890117.3
1500872586.204,6890118.3
1500872589.549,6890119.3
1500872592.895,6890118.1
1500872596.240,6890115.8
1500872599.586,6890114.0
1500872602.931,6890115.8
1500872606.277,6890116.0
1500872609.622,6890116.3
1500872612.967,6890117.5
1500872616.313,6890117.3
1500872619.658,6890116.0
1500872623.003,6890112.2
1500872626.349,6890111.7
1500872629.694,6890112.5
1500872633.040,6890111.7
1500872636.385,6890111.7
1500872639.730,6890111.0
1500872643.076,6890110.7
1500872646.421,6890110.2
1500872649.767,6890112.5
1500872653.112,6890110.2
1500872656.458,6890111.7
1500872659.803,6890112.2
1500872663.148,6890114.5
1500872666.494,6890114.8
1500872669.839,6890114.0
1500872673.184,6890114.8
1500872676.530,6890114.5
1500872679.875,6890114.5
1500872683.221,6890115.0
1500872686.566,6890115.3
1500872689.911,6890114.5
1500872693.257,6890115.8
1500872696.602,6890114.8
1500872699.948,6890115.0
1500872703.293,6890115.0
1500872706.639,6890113.2
1500872709.984,6890114.3
1500872713.329,6890114.3
1500872716.675,6890114.8
1500872720.020,6890114.5
1500872723.365,6890115.0
1500872726.711,6890115.5
1500872730.056,6890115.0
1500872733.401,6890116.3
1500872736.747,6890115.8
1500872740.092,6890114.5
1500872743.438,6890114.3
1500872746.783,6890115.0
1500872750.129,6890114.3
1500872753.474,6890116.3
1500872756.819,6890115.3
1500872760.165,6890116.8
1500872763.510,6890116.0
1500872766.856,6890117.5
1500872770.201,6890117.5
1500872773.546,6890117.3
1500872776.892,6890118.8
1500872780.237,6890118.3
1500872783.583,6890117.0
1500872786.928,6890117.3
1500872790.273,6890117.3
1500872793.619,6890117.0
1500872796.964,6890114.8
1500872800.310,6890116.5
1500872803.655,6890115.5
1500872807.000,6890114.0
1500872810.346,6890116.3
1500872813.691,6890114.3
1500872817.037,6890116.0
1500872820.382,6890116.3
1500872823.727,6890116.3
1500872827.073,6890115.0
1500872830.418,6890115.0
1500872833.764,6890116.5
1500872837.109,6890116.3
1500872840.455,6890115.0
1500872843.800,6890115.3
1500872847.145,6890115.3
1500872850.491,6890116.0
1500872853.836,6890116.3
1500872857.182,6890115.0
1500872860.527,6890115.5
1500872863.872,6890115.3
1500872867.218,6890115.5
1500872870.563,6890116.3
1500872873.908,6890116.8
1500872877.254,6890115.8
1500872880.599,6890112.5
1500872883.944,6890113.2
1500872887.290,6890114.0
1500872890.635,6890113.7
1500872893.981,6890113.5
1500872897.326,6890114.3
1500872900.672,6890114.0
1500872904.017,6890114.0
1500872907.362,6890112.7
1500872910.708,6890113.7
1500872914.053,6890114.5
1500872917.399,6890112.5
1500872920.744,6890114.8
1500872924.089,6890114.0
1500872927.435,6890112.7
1500872930.780,6890113.2
1500872934.126,6890114.5
1500872937.471,6890115.3
1500872940.817,6890115.5
1500872944.162,6890117.3
1500872947.507,6890117.8
1500872950.853,6890117.8
1500872954.198,6890117.3
1500872957.544,6890117.0
1500872960.889,6890118.1
1500872964.234,6890117.0
1500872967.580,6890116.0
1500872970.925,6890116.3
1500872974.270,6890117.8
1500872977.616,6890120.1
1500872980.961,6890122.1
1500872984.307,6890118.1
1500872987.652,6890117.0
