timestamp,svrt-no-tempco
1512920062.846,10000825.0
1512920066.198,10000817.0
1512920069.550,10000845.0
1512920072.903,10000881.0
1512920076.255,10000810.0
1512920079.607,10000817.0
1512920082.958,10000833.0
1512920086.310,10000861.0
1512920089.663,10000841.0
1512920093.015,10000846.0
1512920096.367,10000878.0
1512920099.719,10000818.0
1512920103.071,10000848.0
1512920106.424,10000846.0
1512920109.776,10000843.0
1512920113.127,10000820.0
1512920116.479,10000897.0
1512920119.831,10000869.0
1512920123.184,10000893.0
1512920126.536,10000915.0
1512920129.887,10000910.0
1512920133.240,10000875.0
1512920136.592,10000827.0
1512920139.944,10000815.0
1512920143.296,10000862.0
1512920146.648,10000830.0
1512920150.000,10000869.0
1512920153.352,10000894.0
1512920156.705,10000848.0
1512920160.057,10000865.0
1512920163.408,10000848.0
1512920166.760,10000799.0
1512920170.112,10000814.0
1512920173.465,10000902.0
1512920176.817,10000825.0
1512920180.169,10000822.0
1512920183.520,10000855.0
1512920186.873,10000827.0
1512920190.225,10000818.0
1512920193.577,10000865.0
1512920196.929,10000911.0
1512920200.282,10000900.0
1512920203.634,10000883.0
1512920206.985,10000922.0
1512920210.337,10000938.0
1512920213.689,10000933.0
1512920217.042,10000931.0
1512920220.394,10000970.0
1512920223.746,10000876.0
1512920227.098,10000827.0
1512920230.449,10000818.0
1512920233.802,10000831.0
1512920237.154,10000873.0
1512920240.506,10000883.0
1512920243.858,10000819.0
1512920247.210,10000818.0
1512920250.563,10000913.0
1512920253.914,10000916.0
1512920257.266,10000963.0
1512920260.619,10000920.0
1512920263.971,10000909.0
1512920267.323,10000922.0
1512920270.674,10000934.0
1512920274.027,10000904.0
1512920277.379,10000904.0
1512920280.731,10000889.0
1512920284.083,10000839.0
1512920287.435,10000814.0
1512920290.787,10000792.0
1512920294.139,10000810.0
1512920297.491,10000808.0
1512920300.844,10000808.0
1512920304.196,10000806.0
1512920307.548,10000829.0
1512920310.899,10000957.0
1512920314.251,10000948.0
1512920317.604,10000945.0
1512920320.956,10000903.0
1512920324.308,10000867.0
1512920327.660,10000840.0
1512920331.012,10000874.0
1512920334.365,10000869.0
1512920337.716,10000849.0
1512920341.068,10000866.0
1512920344.420,10000862.0
1512920347.772,10000884.0
1512920351.125,10000912.0
1512920354.477,10000839.0
1512920357.829,10000876.0
1512920361.181,10000881.0
1512920364.532,10000874.0
1512920367.885,10000928.0
1512920371.237,10000885.0
1512920374.589,10000886.0
1512920377.941,10000911.0
1512920381.293,10000908.0
1512920384.646,10000924.0
1512920388.036,10000957.0
1512920391.350,10000826.0
1512920394.702,10000806.0
1512920398.054,10000800.0
1512920401.405,10000786.0
1512920404.757,10000807.0
1512920408.110,10000868.0
1512920411.462,10000900.0
1512920414.814,10000902.0
1512920418.166,10000827.0
1512920421.519,10000893.0
1512920424.870,10000884.0
1512920428.222,10000803.0
1512920431.574,10000813.0
1512920434.926,10000825.0
1512920438.279,10000817.0
1512920441.631,10000882.0
1512920444.982,10000870.0
1512920448.334,10000866.0
1512920451.686,10000804.0
1512920455.039,10000804.0
1512920458.391,10000879.0
1512920461.743,10000815.0
1512920465.095,10000812.0
1512920468.447,10000814.0
1512920471.800,10000826.0
1512920475.151,10000867.0
1512920478.503,10000895.0
1512920481.855,10000818.0
1512920485.207,10000856.0
1512920488.560,10000821.0
1512920491.912,10000918.0
1512920495.264,10000931.0
1512920498.616,10000863.0
1512920501.967,10000841.0
1512920505.320,10000868.0
1512920508.672,10000813.0
1512920512.024,10000803.0
1512920515.376,10000849.0
1512920518.728,10000810.0
1512920522.080,10000917.0
1512920525.433,10000914.0
1512920528.785,10000874.0
1512920532.136,10000868.0
1512920535.488,10000860.0
1512920538.840,10000840.0
1512920542.193,10000844.0
1512920545.545,10000804.0
1512920548.897,10000841.0
1512920552.249,10000868.0
1512920555.601,10000881.0
1512920558.953,10000840.0
1512920562.305,10000837.0
1512920565.657,10000843.0
1512920569.009,10000823.0
1512920572.361,10000824.0
1512920575.714,10000840.0
1512920579.066,10000832.0
1512920582.418,10000830.0
1512920585.769,10000833.0
1512920589.121,10000853.0
1512920592.474,10000903.0
1512920595.826,10000978.0
1512920599.178,10000950.0
1512920602.530,10000855.0
1512920605.882,10000812.0
1512920609.234,10000799.0
1512920612.586,10000838.0
1512920615.938,10000821.0
1512920619.290,10000825.0
1512920622.643,10000834.0
1512920625.995,10000937.0
1512920629.346,10000861.0
1512920632.699,10000862.0
1512920636.051,10000815.0
1512920639.403,10000834.0
1512920642.754,10000834.0
1512920646.107,10000820.0
1512920649.459,10000877.0
1512920652.811,10000859.0
1512920656.163,10000884.0
1512920659.516,10000864.0
1512920662.867,10000850.0
1512920666.219,10000856.0
1512920669.572,10000828.0
1512920672.924,10000816.0
1512920676.276,10000881.0
1512920679.628,10000858.0
1512920682.979,10000835.0
1512920686.332,10000837.0
1512920689.684,10000830.0
1512920693.036,10000833.0
1512920696.388,10000834.0
1512920699.740,10000840.0
1512920703.093,10000952.0
1512920706.444,10000860.0
1512920709.796,10000886.0
1512920713.148,10000939.0
1512920716.500,10000871.0
1512920719.853,10000883.0
1512920723.205,10000919.0
1512920726.556,10000862.0
1512920729.908,10000890.0
1512920733.261,10000845.0
1512920736.613,10000857.0
1512920739.965,10000856.0
1512920743.317,10000904.0
1512920746.669,10000930.0
1512920750.021,10000943.0
1512920753.373,10000888.0
1512920756.726,10000949.0
1512920760.078,10000900.0
1512920763.429,10000887.0
1512920766.781,10000870.0
1512920770.133,10000891.0
1512920773.485,10000915.0
1512920776.838,10000892.0
1512920780.190,10000834.0
1512920783.542,10000844.0
1512920786.894,10000885.0
1512920790.246,10000843.0
1512920793.598,10000886.0
1512920796.950,10000866.0
1512920800.302,10000832.0
1512920803.654,10000846.0
1512920807.007,10000812.0
1512920810.359,10000815.0
1512920813.711,10000844.0
1512920817.062,10000856.0
1512920820.414,10000932.0
1512920823.767,10000849.0
1512920827.119,10000832.0
1512920830.471,10000905.0
1512920833.823,10000840.0
1512920837.175,10000870.0
1512920840.527,10000899.0
1512920843.879,10000899.0
1512920847.231,10000843.0
1512920850.584,10000814.0
1512920853.936,10000820.0
1512920857.288,10000815.0
1512920860.639,10000817.0
1512920863.991,10000814.0
1512920867.344,10000793.0
1512920870.695,10000859.0
1512920874.048,10000826.0
1512920877.400,10000823.0
1512920880.752,10000844.0
1512920884.104,10000829.0
1512920887.457,10000800.0
1512920890.808,10000831.0
1512920894.160,10000915.0
1512920897.512,10000806.0
1512920900.864,10000878.0
1512920904.217,10000850.0
1512920907.569,10000834.0
1512920910.921,10000851.0
1512920914.272,10000852.0
1512920917.624,10000827.0
1512920920.977,10000840.0
1512920924.329,10000880.0
1512920927.681,10000869.0
1512920931.033,10000855.0
1512920934.385,10000847.0
1512920937.737,10000876.0
1512920941.089,10000910.0
1512920944.441,10000866.0
1512920947.793,10000869.0
1512920951.146,10000869.0
1512920954.498,10000828.0
1512920957.850,10000867.0
1512920961.202,10000897.0
1512920964.553,10000925.0
1512920967.905,10000857.0
1512920971.258,10000925.0
1512920974.610,10000900.0
1512920977.962,10000822.0
1512920981.314,10000826.0
1512920984.666,10000801.0
1512920988.060,10000836.0
1512920991.370,10000852.0
1512920994.723,10000826.0
1512920998.075,10000824.0
1512921001.427,10000819.0
1512921004.778,10000814.0
1512921008.131,10000817.0
1512921011.483,10000852.0
1512921014.835,10000823.0
1512921018.187,10000826.0
1512921021.539,10000795.0
1512921024.891,10000819.0
1512921028.244,10000837.0
1512921031.595,10000851.0
1512921034.947,10000844.0
1512921038.299,10000892.0
1512921041.651,10000806.0
1512921045.004,10000829.0
1512921048.356,10000831.0
1512921051.708,10000824.0
1512921055.060,10000826.0
1512921058.412,10000825.0
1512921061.764,10000831.0
1512921065.116,10000812.0
1512921068.468,10000832.0
1512921071.820,10000842.0
1512921075.172,10000876.0
1512921078.525,10000849.0
1512921081.877,10000844.0
1512921085.229,10000810.0
1512921088.580,10000813.0
1512921091.932,10000893.0
1512921095.285,10000889.0
1512921098.637,10000912.0
1512921101.989,10000944.0
1512921105.341,10000925.0
1512921108.693,10000940.0
1512921112.045,10000935.0
1512921115.397,10000889.0
1512921118.749,10000895.0
1512921122.102,10000854.0
1512921125.454,10000874.0
1512921128.805,10000808.0
1512921132.157,10000813.0
1512921135.509,10000800.0
1512921138.862,10000880.0
1512921142.214,10000794.0
1512921145.566,10000794.0
1512921148.918,10000801.0
1512921152.269,10000802.0
1512921155.622,10000800.0
1512921158.974,10000813.0
1512921162.326,10000823.0
1512921165.678,10000880.0
1512921169.030,10000841.0
1512921172.383,10000831.0
1512921175.735,10000874.0
1512921179.086,10000879.0
1512921182.438,10000870.0
1512921185.790,10000825.0
1512921189.143,10000849.0
1512921192.495,10000869.0
1512921195.847,10000855.0
1512921199.199,10000831.0
1512921202.551,10000832.0
1512921205.903,10000843.0
1512921209.255,10000825.0
1512921212.607,10000800.0
1512921215.959,10000803.0
1512921219.311,10000823.0
1512921222.664,10000844.0
1512921226.016,10000834.0
1512921229.368,10000829.0
1512921232.720,10000846.0
1512921236.072,10000863.0
1512921239.424,10000853.0
1512921242.776,10000925.0
1512921246.128,10000853.0
1512921249.480,10000923.0
1512921252.832,10000921.0
1512921256.184,10000861.0
1512921259.536,10000851.0
1512921262.889,10000852.0
1512921266.241,10000841.0
1512921269.592,10000846.0
1512921272.944,10000845.0
1512921276.296,10000890.0
1512921279.649,10000905.0
1512921283.001,10000835.0
1512921286.353,10000828.0
1512921289.705,10000874.0
1512921293.057,10000867.0
1512921296.409,10000836.0
1512921299.761,10000842.0
1512921303.113,10000859.0
1512921306.465,10000854.0
1512921309.818,10000913.0
1512921313.170,10000974.0
1512921316.521,10000977.0
1512921319.873,10000978.0
1512921323.226,10000947.0
1512921326.578,10000946.0
1512921329.930,10000976.0
1512921333.282,10000992.0
1512921336.633,10000939.0
1512921339.986,10000933.0
1512921343.338,10000970.0
1512921346.690,10000952.0
1512921350.043,10000957.0
1512921353.394,10000957.0
1512921356.746,10000931.0
1512921360.098,10000916.0
1512921363.451,10000853.0
1512921366.803,10000875.0
1512921370.154,10000901.0
1512921373.506,10000870.0
1512921376.859,10000898.0
1512921380.211,10000867.0
1512921383.563,10000839.0
1512921386.915,10000827.0
1512921390.266,10000828.0
1512921393.619,10000855.0
1512921396.971,10000858.0
1512921400.323,10000817.0
1512921403.675,10000816.0
1512921407.028,10000835.0
1512921410.380,10000838.0
1512921413.732,10000878.0
1512921417.083,10000899.0
1512921420.435,10000905.0
1512921423.788,10000881.0
1512921427.140,10000903.0
1512921430.492,10000838.0
1512921433.844,10000835.0
1512921437.196,10000813.0
1512921440.549,10000811.0
1512921443.901,10000843.0
1512921447.252,10000861.0
1512921450.604,10000924.0
