setpoint,input,ouput
400.00,396.79,0.00
400.00,396.76,0.00
400.00,396.76,0.00
400.00,396.73,0.00
400.00,396.32,0.00
400.00,396.19,0.00
400.00,395.59,0.00
400.00,395.91,0.00
400.00,396.39,0.00
400.00,395.91,0.00
400.00,395.38,0.00
400.00,395.67,0.00
400.00,395.63,0.00
400.00,395.50,0.00
400.00,395.41,0.00
400.00,395.39,0.00
400.00,395.58,0.00
400.00,395.60,0.00
400.00,395.07,0.00
400.00,394.93,0.00
400.00,395.00,0.00
400.00,394.60,0.00
400.00,395.01,0.00
400.00,394.64,0.00
400.00,394.78,0.00
400.00,395.07,0.00
400.00,394.96,0.00
400.00,394.31,0.00
400.00,393.41,0.00
400.00,394.11,0.00
400.00,394.11,0.00
400.00,393.85,0.00
400.00,393.56,0.00
400.00,393.30,0.00
400.00,393.25,0.00
400.00,393.18,0.00
400.00,393.52,0.00
400.00,393.30,0.00
400.00,393.30,0.00
400.00,393.08,0.00
400.00,392.66,0.00
400.00,392.75,0.00
400.00,392.48,0.00
400.00,392.47,0.00
400.00,392.64,0.00
400.00,392.59,0.00
400.00,392.88,0.00
400.00,392.55,0.00
400.00,392.63,0.00
400.00,392.69,0.00
400.00,392.78,0.00
400.00,393.02,0.00
400.00,392.03,0.00
400.00,391.77,0.00
400.00,392.11,0.00
400.00,391.80,0.00
400.00,391.97,0.00
400.00,391.85,0.00
400.00,391.64,0.00
400.00,391.59,0.00
400.00,391.95,0.00
400.00,392.07,0.00
400.00,391.70,0.00
400.00,391.59,0.00
400.00,391.65,0.00
400.00,391.48,0.00
400.00,391.07,0.00
400.00,391.52,0.00
400.00,391.11,0.00
400.00,390.80,0.00
400.00,391.11,0.00
400.00,390.98,0.00
400.00,390.97,0.00
400.00,390.84,0.00
400.00,390.63,0.00
400.00,391.30,0.00
400.00,391.27,0.00
400.00,390.37,0.00
400.00,390.29,0.00
400.00,390.39,0.00
400.00,390.29,0.00
400.00,390.56,0.00
400.00,389.83,0.00
400.00,390.03,0.00
400.00,390.18,0.00
400.00,390.76,0.00
400.00,390.14,0.00
400.00,389.19,0.00
400.00,389.01,0.00
400.00,389.73,0.00
400.00,389.79,0.00
400.00,389.26,0.00
400.00,389.29,0.00
400.00,389.50,0.00
400.00,389.34,0.00
400.00,389.54,0.00
400.00,389.44,0.00
400.00,389.05,0.00
400.00,388.61,0.00
400.00,388.93,0.00
400.00,388.67,0.00
400.00,388.58,0.00
400.00,388.58,0.00
400.00,389.01,0.00
400.00,389.04,0.00
400.00,388.53,0.00
400.00,388.26,0.00
400.00,388.36,0.00
400.00,388.26,0.00
400.00,388.01,0.00
400.00,388.09,0.00
400.00,387.87,0.00
400.00,387.61,0.00
400.00,387.59,0.00
400.00,387.82,0.00
400.00,387.31,0.00
400.00,388.03,0.00
400.00,387.16,0.00
400.00,387.57,0.00
400.00,387.38,0.00
400.00,387.32,0.00
400.00,387.02,0.00
400.00,386.85,0.00
400.00,387.30,0.00
400.00,386.92,0.00
400.00,386.95,0.00
400.00,386.68,0.00
400.00,386.89,0.00
400.00,387.02,0.00
400.00,386.59,0.00
400.00,386.55,0.00
400.00,386.37,0.00
400.00,386.41,0.00
400.00,386.50,0.00
400.00,386.09,0.00
400.00,385.84,0.00
400.00,386.53,0.00
400.00,386.18,0.00
400.00,386.07,0.00
400.00,385.66,0.00
400.00,386.16,0.00
400.00,385.41,0.00
400.00,385.47,0.00
400.00,385.13,0.00
400.00,385.30,0.00
400.00,385.83,0.00
400.00,385.62,0.00
400.00,385.20,0.00
400.00,385.22,0.00
400.00,385.12,0.00
400.00,384.65,0.00
400.00,385.21,0.00
400.00,384.94,0.00
400.00,384.69,0.00
400.00,385.51,0.00
400.00,385.36,0.00
400.00,384.34,0.00
400.00,384.93,0.00
400.00,384.91,0.00
400.00,385.09,0.00
400.00,384.38,0.00
400.00,384.34,0.00
400.00,384.60,0.00
400.00,384.56,0.00
400.00,384.34,0.00
