si_7021_ambient_c,si7021_internal_c,setpoint,adc,adc_c,error_c,output,io_delta_c
21.469,22.981,228,227.781,22.9634,-0.0025,54.44,1.4947
21.479,22.981,228,227.634,22.9618,-0.0042,55.93,1.4824
21.458,22.970,228,227.728,22.9628,-0.0031,55.01,1.5049
21.436,22.992,228,227.615,22.9615,-0.0044,56.17,1.5250
21.436,22.970,228,227.531,22.9606,-0.0053,57.05,1.5241
21.404,22.970,228,227.545,22.9607,-0.0052,56.94,1.5564
21.415,22.970,228,227.557,22.9609,-0.0050,56.85,1.5458
21.383,22.970,228,227.479,22.9600,-0.0059,57.67,1.5771
21.394,22.970,228,227.372,22.9588,-0.0071,58.79,1.5652
21.383,22.970,228,227.489,22.9601,-0.0058,57.66,1.5772
21.361,22.970,228,227.527,22.9605,-0.0054,57.31,1.5991
21.351,22.970,228,227.750,22.9631,-0.0028,55.10,1.6124
21.340,22.960,228,227.481,22.9600,-0.0059,57.83,1.6200
21.319,22.970,228,227.513,22.9604,-0.0055,57.55,1.6418
21.308,22.960,228,227.511,22.9604,-0.0056,57.60,1.6526
21.308,22.981,228,227.258,22.9575,-0.0084,60.19,1.6497
21.286,22.970,228,227.259,22.9575,-0.0084,60.23,1.6712
21.276,22.970,228,227.214,22.9570,-0.0089,60.75,1.6814
21.276,22.970,228,227.134,22.9561,-0.0098,61.62,1.6804
21.222,22.970,228,227.195,22.9568,-0.0091,61.06,1.7348
21.211,22.970,228,227.161,22.9564,-0.0095,61.46,1.7451
21.211,22.970,228,227.251,22.9574,-0.0085,60.62,1.7461
21.179,22.981,228,227.190,22.9567,-0.0092,61.30,1.7776
21.147,22.981,228,227.256,22.9574,-0.0085,60.69,1.8105
21.136,22.981,228,227.335,22.9583,-0.0076,59.95,1.8221
21.147,22.960,228,227.196,22.9568,-0.0091,61.40,1.8098
21.125,22.970,228,227.210,22.9569,-0.0090,61.31,1.8315
21.125,22.970,228,226.813,22.9524,-0.0135,65.38,1.8269
21.104,22.981,228,226.519,22.9491,-0.0168,68.43,1.8451
21.072,22.960,228,226.749,22.9517,-0.0142,66.22,1.8798
21.061,22.970,228,226.528,22.9492,-0.0167,68.54,1.8881
21.029,22.960,228,226.418,22.9479,-0.0180,69.76,1.9190
21.007,22.970,228,226.521,22.9491,-0.0168,68.84,1.9416
20.997,22.960,228,226.556,22.9495,-0.0164,68.60,1.9527
21.007,22.970,228,226.838,22.9527,-0.0132,65.86,1.9452
21.007,22.970,228,226.712,22.9513,-0.0146,67.22,1.9438
20.997,22.970,228,226.529,22.9492,-0.0167,69.16,1.9524
21.007,22.981,228,226.426,22.9480,-0.0179,70.31,1.9405
20.965,22.970,228,226.442,22.9482,-0.0177,70.27,1.9836
20.965,22.981,228,226.427,22.9480,-0.0179,70.54,1.9834
20.975,22.981,228,226.676,22.9509,-0.0150,68.15,1.9755
20.954,22.970,228,226.723,22.9514,-0.0145,67.77,1.9975
20.954,22.960,228,226.456,22.9484,-0.0175,70.56,1.9945
