timestamp,lm399-cotton-rounds
1514606937.790,6885962.0
1514606941.143,6885960.4
1514606944.495,6885961.5
1514606947.847,6885960.4
1514606951.200,6885961.5
1514606954.551,6885962.5
1514606957.904,6885961.5
1514606961.255,6885961.5
1514606964.608,6885963.7
1514606967.959,6885960.9
1514606971.312,6885961.7
1514606974.665,6885961.7
1514606978.016,6885961.7
1514606981.369,6885961.5
1514606984.720,6885961.2
1514606988.073,6885959.4
1514606991.424,6885960.9
1514606994.777,6885962.2
1514606998.128,6885961.5
1514607001.481,6885959.9
1514607004.834,6885960.7
1514607008.185,6885961.2
1514607011.538,6885960.9
1514607014.889,6885961.5
1514607018.242,6885960.2
1514607021.594,6885962.0
1514607024.946,6885960.9
1514607028.298,6885963.0
1514607031.650,6885961.7
1514607035.002,6885962.0
1514607038.354,6885962.7
1514607041.706,6885961.7
1514607045.059,6885961.2
1514607048.410,6885962.2
1514607051.763,6885961.7
1514607055.114,6885962.0
1514607058.467,6885961.7
1514607061.820,6885963.5
1514607065.171,6885963.0
1514607068.527,6885963.0
1514607071.875,6885962.0
1514607075.228,6885963.0
1514607078.580,6885962.0
1514607081.932,6885963.2
1514607085.284,6885962.5
1514607088.636,6885962.7
1514607091.988,6885963.2
1514607095.341,6885962.5
1514607098.692,6885962.7
1514607102.045,6885962.7
1514607105.397,6885962.2
1514607108.749,6885963.5
1514607112.101,6885963.2
1514607115.453,6885964.2
1514607118.805,6885961.2
1514607122.158,6885963.5
1514607125.509,6885962.2
1514607128.862,6885962.7
1514607132.213,6885963.7
1514607135.566,6885964.0
1514607138.918,6885962.5
1514607142.270,6885963.7
1514607145.622,6885963.5
1514607148.974,6885963.2
1514607152.326,6885962.5
1514607155.679,6885962.1
1514607159.031,6885961.2
1514607162.382,6885960.4
1514607165.735,6885962.5
1514607169.087,6885960.7
1514607172.439,6885961.2
1514607175.791,6885962.5
1514607179.143,6885961.7
1514607182.496,6885961.7
1514607185.847,6885962.0
1514607189.200,6885960.4
1514607192.551,6885962.2
1514607195.904,6885961.2
1514607199.256,6885961.7
1514607202.608,6885963.0
1514607205.960,6885964.0
1514607209.313,6885964.0
1514607212.664,6885964.0
1514607216.017,6885963.2
1514607219.368,6885963.0
1514607222.721,6885963.7
1514607226.073,6885965.5
1514607229.425,6885962.5
1514607232.777,6885963.2
1514607236.130,6885963.2
1514607239.481,6885962.7
1514607242.834,6885961.7
1514607246.186,6885962.5
1514607249.538,6885961.5
1514607252.890,6885960.7
1514607256.242,6885960.9
1514607259.594,6885963.2
1514607262.946,6885962.5
1514607266.299,6885962.5
1514607269.650,6885963.5
1514607273.003,6885962.7
1514607276.355,6885962.5
