setpoint,input,ouput
400.00,190.18,0.00
400.00,189.71,0.00
400.00,189.88,0.00
400.00,190.53,0.00
400.00,189.70,0.00
400.00,190.03,0.00
400.00,189.98,0.00
400.00,190.39,0.00
400.00,189.82,0.00
400.00,189.96,0.00
400.00,189.57,0.00
400.00,189.19,0.00
400.00,189.91,0.00
400.00,189.38,0.00
400.00,190.16,0.00
400.00,189.37,0.00
400.00,188.92,0.00
400.00,189.31,0.00
400.00,189.84,0.00
400.00,189.50,0.00
400.00,189.37,0.00
400.00,189.20,0.00
400.00,189.43,0.00
400.00,189.45,0.00
400.00,189.55,0.00
400.00,189.76,0.00
400.00,189.53,0.00
400.00,190.41,0.00
400.00,190.05,0.00
400.00,190.78,0.00
400.00,190.01,0.00
400.00,189.93,0.00
400.00,190.00,0.00
400.00,189.47,0.00
400.00,190.21,0.00
400.00,190.18,0.00
400.00,190.21,0.00
400.00,189.66,0.00
400.00,189.42,0.00
400.00,189.75,0.00
400.00,189.55,0.00
400.00,189.33,0.00
400.00,189.70,0.00
400.00,190.01,0.00
400.00,189.47,0.00
400.00,189.56,0.00
400.00,190.22,0.00
400.00,190.64,0.00
400.00,190.71,0.00
400.00,190.38,0.00
400.00,190.16,0.00
400.00,190.65,0.00
400.00,190.19,0.00
400.00,190.09,0.00
400.00,190.45,0.00
400.00,191.05,0.00
400.00,190.62,0.00
400.00,190.35,0.00
400.00,190.39,0.00
400.00,190.79,0.00
400.00,190.19,0.00
400.00,190.39,0.00
400.00,189.86,0.00
400.00,190.32,0.00
400.00,189.84,0.00
400.00,189.71,0.00
400.00,190.21,0.00
400.00,190.01,0.00
400.00,190.25,0.00
400.00,190.38,0.00
400.00,190.60,0.00
400.00,190.64,0.00
400.00,189.82,0.00
400.00,190.09,0.00
400.00,190.27,0.00
400.00,190.68,0.00
400.00,190.02,0.00
400.00,190.73,0.00
400.00,190.81,0.00
400.00,189.68,0.00
400.00,190.27,0.00
400.00,190.08,0.00
400.00,190.11,0.00
400.00,189.71,0.00
400.00,190.02,0.00
400.00,189.89,0.00
400.00,190.41,0.00
400.00,190.74,0.00
400.00,189.61,0.00
400.00,189.73,0.00
400.00,189.78,0.00
400.00,190.39,0.00
400.00,190.25,0.00
400.00,190.24,0.00
400.00,190.20,0.00
400.00,190.03,0.00
400.00,190.29,0.00
400.00,189.82,0.00
400.00,190.27,0.00
400.00,190.34,0.00
400.00,190.16,0.00
400.00,190.53,0.00
400.00,189.94,0.00
400.00,190.15,0.00
400.00,190.74,0.00
400.00,190.48,0.00
400.00,190.73,0.00
400.00,190.60,0.00
400.00,189.68,0.00
400.00,190.61,0.00
400.00,190.30,0.00
400.00,190.00,0.00
400.00,189.48,0.00
400.00,189.94,0.00
400.00,190.39,0.00
400.00,189.79,0.00
400.00,190.02,0.00
400.00,190.49,0.00
400.00,190.70,0.00
400.00,190.36,0.00
400.00,190.12,0.00
400.00,190.41,0.00
400.00,190.46,0.00
400.00,190.57,0.00
400.00,190.41,0.00
400.00,190.93,0.00
400.00,190.61,0.00
400.00,190.79,0.00
400.00,190.24,0.00
400.00,191.31,0.00
400.00,190.45,0.00
400.00,190.97,0.00
400.00,190.84,0.00
400.00,190.63,0.00
400.00,191.17,0.00
400.00,190.93,0.00
400.00,190.75,0.00
400.00,190.77,0.00
400.00,190.51,0.00
400.00,190.11,0.00
400.00,190.76,0.00
400.00,190.86,0.00
400.00,190.11,0.00
400.00,190.62,0.00
400.00,190.72,0.00
400.00,191.04,0.00
400.00,190.38,0.00
400.00,190.52,0.00
400.00,190.33,0.00
400.00,189.78,0.00
400.00,189.96,0.00
400.00,190.47,0.00
400.00,190.29,0.00
400.00,190.33,0.00
400.00,190.34,0.00
400.00,190.68,0.00
400.00,191.17,0.00
400.00,190.72,0.00
400.00,190.81,0.00
400.00,190.13,0.00
400.00,190.20,0.00
400.00,190.12,0.00
400.00,190.63,0.00
400.00,190.54,0.00
400.00,189.91,0.00
400.00,190.42,0.00
400.00,190.52,0.00
400.00,189.74,0.00
400.00,189.84,0.00
400.00,190.23,0.00
400.00,190.08,0.00
400.00,189.94,0.00
400.00,190.00,0.00
400.00,190.32,0.00
400.00,190.06,0.00
400.00,190.38,0.00
400.00,190.55,0.00
400.00,190.15,0.00
400.00,190.35,0.00
400.00,190.36,0.00
400.00,190.46,0.00
400.00,190.26,0.00
400.00,190.17,0.00
400.00,189.62,0.00
400.00,190.64,0.00
400.00,190.22,0.00
400.00,190.48,0.00
400.00,190.41,0.00
400.00,190.38,0.00
400.00,190.13,0.00
400.00,191.02,0.00
400.00,190.25,0.00
400.00,190.16,0.00
400.00,190.64,0.00
400.00,190.71,0.00
400.00,190.50,0.00
400.00,190.34,0.00
400.00,190.16,0.00
400.00,190.09,0.00
400.00,189.58,0.00
400.00,190.87,0.00
400.00,191.09,0.00
400.00,191.09,0.00
400.00,189.96,0.00
400.00,190.00,0.00
400.00,190.55,0.00
400.00,190.30,0.00
400.00,190.04,0.00
400.00,190.04,0.00
400.00,190.21,0.00
400.00,190.39,0.00
400.00,191.31,0.00
400.00,190.97,0.00
400.00,190.36,0.00
400.00,190.50,0.00
400.00,190.35,0.00
400.00,190.47,0.00
400.00,190.00,0.00
400.00,190.06,0.00
400.00,190.57,0.00
400.00,190.59,0.00
400.00,190.32,0.00
400.00,191.18,0.00
400.00,190.77,0.00
400.00,190.75,0.00
400.00,190.77,0.00
400.00,190.45,0.00
400.00,190.95,0.00
400.00,191.38,0.00
400.00,190.64,0.00
400.00,191.36,0.00
400.00,190.45,0.00
400.00,190.54,0.00
400.00,190.14,0.00
400.00,190.41,0.00
400.00,190.55,0.00
400.00,190.26,0.00
400.00,190.22,0.00
400.00,190.30,0.00
400.00,190.68,0.00
400.00,190.48,0.00
400.00,191.04,0.00
400.00,190.39,0.00
400.00,190.95,0.00
400.00,191.00,0.00
400.00,190.20,0.00
400.00,191.36,0.00
400.00,190.89,0.00
400.00,191.30,0.00
400.00,190.52,0.00
400.00,190.81,0.00
400.00,190.81,0.00
400.00,190.70,0.00
400.00,190.80,0.00
400.00,190.39,0.00
400.00,190.49,0.00
400.00,190.86,0.00
400.00,190.42,0.00
400.00,190.49,0.00
400.00,190.57,0.00
400.00,190.93,0.00
400.00,191.06,0.00
400.00,190.71,0.00
400.00,190.38,0.00
400.00,190.03,0.00
400.00,190.67,0.00
400.00,190.27,0.00
400.00,190.05,0.00
400.00,190.36,0.00
400.00,191.20,0.00
400.00,191.37,0.00
400.00,190.52,0.00
400.00,190.72,0.00
400.00,190.72,0.00
