timestamp,34401a_thermistor,si_7021_ambient_c,si7021_internal_c,setpoint,adc,adc_c,error_c,output,io_delta_c,hp_error_c,hp_mcp_delta
1517209873.09,24.99690298,21.351,-46.582,406,405.888,24.9987,-0.0013,165.96,3.6480,-0.00309702,-0.00179702
1517209876.45,24.9987894931,21.361,-46.582,406,405.826,24.9980,-0.0020,166.74,3.6366,-0.0012105069,0.000789493099997
1517209879.8,25.0005000876,21.351,-46.582,406,405.806,24.9978,-0.0022,167.06,3.6471,0.000500087599999,0.0027000876
1517209883.16,25.0021105892,21.372,-46.582,406,405.877,24.9986,-0.0014,166.42,3.6264,0.0021105892,0.0035105892
1517209886.51,25.0034857717,21.372,-46.582,406,405.929,24.9992,-0.0008,165.95,3.6270,0.0034857717,0.0042857717
1517209889.85,25.0039398954,21.351,-46.582,406,406.176,25.0020,0.0020,163.36,3.6513,0.0039398954,0.0019398954
1517209893.22,25.003325049,21.351,-46.582,406,405.736,24.9970,-0.0030,167.93,3.6463,0.003325049,0.006325049
1517209896.57,25.00219198,21.361,-46.582,406,405.907,24.9989,-0.0011,166.27,3.6375,0.00219198,0.00329198
1517209899.91,25.0011442722,21.372,-46.582,406,405.693,24.9965,-0.0035,168.60,3.6244,0.0011442722,0.0046442722
1517209903.27,25.000358471,21.351,-46.582,406,405.828,24.9980,-0.0020,167.35,3.6473,0.000358470999998,0.002358471
1517209906.61,24.9998890287,21.361,-46.582,406,406.139,25.0016,0.0016,164.24,3.6402,-0.0001109713,-0.0017109713
1517209909.98,24.9997370716,21.351,-46.582,406,406.001,25.0000,0.0000,165.62,3.6493,-0.000262928400002,-0.000262928400002
1517209913.33,24.9997200598,21.372,-46.582,406,405.830,24.9981,-0.0019,167.44,3.6259,-0.000279940199999,0.0016200598
1517209916.68,24.9996467255,21.351,-46.582,406,406.158,25.0018,0.0018,164.06,3.6511,-0.0003532745,-0.0021532745
1517209920.03,24.999846499,21.351,-46.582,406,406.139,25.0016,0.0016,164.16,3.6509,-0.000153501,-0.001753501
1517209923.38,25.0001996134,21.372,-46.582,406,405.993,24.9999,-0.0001,165.63,3.6278,0.0001996134,0.000299613399999
1517209926.74,25.0003409989,21.351,-46.582,406,405.764,24.9973,-0.0027,168.06,3.6466,0.0003409989,0.0030409989
1517209930.09,25.0007046978,21.372,-46.582,406,405.838,24.9982,-0.0018,167.41,3.6260,0.0007046978,0.0025046978
1517209933.43,25.0016063878,21.372,-46.582,406,406.065,25.0007,0.0007,165.11,3.6286,0.0016063878,0.000906387800001
1517209936.8,25.0029491147,21.372,-46.582,406,406.077,25.0009,0.0009,164.95,3.6287,0.0029491147,0.0020491147
1517209940.14,25.0047074461,21.383,-46.582,406,406.246,25.0028,0.0028,163.11,3.6199,0.0047074461,0.0019074461
1517209943.5,25.0063555526,21.383,-46.582,406,406.095,25.0011,0.0011,164.56,3.6182,0.0063555526,0.0052555526
1517209946.86,25.007075824,21.394,-46.582,406,406.111,25.0013,0.0013,164.34,3.6077,0.007075824,0.005775824
1517209950.19,25.0072547462,21.394,-46.582,406,406.063,25.0007,0.0007,164.78,3.6071,0.0072547462,0.0065547462
1517209953.55,25.006901503,21.394,-46.582,406,405.990,24.9999,-0.0001,165.52,3.6063,0.006901503,0.007001503
1517209956.9,25.0057801826,21.383,-46.582,406,406.214,25.0024,0.0024,163.15,3.6196,0.0057801826,0.0033801826
1517209960.26,25.0045513121,21.394,-46.582,406,406.347,25.0039,0.0039,161.60,3.6103,0.0045513121,0.000651312099997
