time_s,int_temp_c,int_temp_f,int_humid,ext_temp_c,ext_temp_f,ext_humid,ravg_int_temp_c,amps,pwm,pid_i
220,30.1455,86.26186,42.6145,24.1716,75.50888,55.3632,30.145477,0.1000,9,0.00000
221,30.1455,86.26186,42.5992,24.1823,75.52819,55.3861,30.141456,0.1000,9,0.00000
222,30.1347,86.24256,42.5916,24.1609,75.48957,55.3708,30.140113,0.1000,9,0.00000
223,30.1240,86.22325,42.5916,24.1823,75.52819,55.3861,30.136091,0.1000,9,0.00000
224,30.1455,86.26186,42.5840,24.1823,75.52819,55.3937,30.137435,0.1000,9,0.00000
225,30.1347,86.24256,42.5916,24.1609,75.48957,55.3937,30.136093,0.1000,9,0.00000
226,30.1240,86.22325,42.5916,24.1609,75.48957,55.3785,30.136093,0.1000,9,0.00000
227,30.1240,86.22325,42.5764,24.1823,75.52819,55.4014,30.134752,0.1000,9,0.00000
228,30.1240,86.22325,42.5764,24.1609,75.48957,55.3861,30.132070,0.1000,9,0.00000
229,30.1240,86.22325,42.5764,24.1823,75.52819,55.4090,30.129392,0.1000,9,0.00000
230,30.1240,86.22325,42.5764,24.1609,75.48957,55.4090,30.128051,0.1000,9,0.00000
231,30.1240,86.22325,42.5611,24.1823,75.52819,55.4014,30.128049,0.1000,9,0.00000
232,30.1240,86.22325,42.5458,24.1716,75.50888,55.3861,30.125368,0.1000,9,0.00000
233,30.1133,86.20395,42.5611,24.1501,75.47026,55.3785,30.122688,0.1000,9,0.00000
234,30.1026,86.18464,42.5382,24.1609,75.48957,55.4014,30.120006,0.1000,9,0.00000
235,30.1240,86.22325,42.5458,24.1609,75.48957,55.3785,30.120006,0.1000,9,0.00000
236,30.1133,86.20395,42.5382,24.1609,75.48957,55.3861,30.118663,0.1000,9,0.00000
237,30.0918,86.16533,42.5458,24.1501,75.47026,55.3785,30.114643,0.1000,9,0.00000
238,30.1026,86.18464,42.5382,24.1609,75.48957,55.3861,30.111961,0.1000,9,0.00000
239,30.1133,86.20395,42.5306,24.1501,75.47026,55.3937,30.110622,0.1000,9,0.00000
240,30.0918,86.16533,42.5306,24.1716,75.50888,55.3937,30.106597,0.1000,9,0.00000
241,30.0918,86.16533,42.5306,24.1501,75.47026,55.4090,30.103916,0.1000,9,0.00000
242,30.0811,86.14604,42.5153,24.1609,75.48957,55.4014,30.101238,0.1000,9,0.00000
243,30.0704,86.12673,42.5306,24.1501,75.47026,55.3937,30.094535,0.1000,9,0.00000
244,30.0704,86.12673,42.5001,24.1609,75.48957,55.3937,30.089172,0.1000,9,0.00000
245,30.0811,86.14604,42.5077,24.1716,75.50888,55.3937,30.087833,0.1000,9,0.00000
246,30.0918,86.16533,42.5001,24.1609,75.48957,55.3861,30.086494,0.1000,9,0.00000
247,30.0704,86.12673,42.5153,24.1501,75.47026,55.4090,30.081127,0.1000,9,0.00000
248,30.0811,86.14604,42.5153,24.1609,75.48957,55.4090,30.079788,0.1000,9,0.00000
249,30.0704,86.12673,42.5001,24.1501,75.47026,55.4243,30.077108,0.1000,9,0.00000
250,30.0704,86.12673,42.5153,24.1394,75.45098,55.4090,30.075765,0.1000,9,0.00000
251,30.0704,86.12673,42.4848,24.1501,75.47026,55.4166,30.075765,0.1000,9,0.00000
252,30.0597,86.10742,42.4848,24.1609,75.48957,55.4090,30.074426,0.1000,9,0.00000
253,30.0382,86.06882,42.5001,24.1501,75.47026,55.4243,30.069061,0.1000,9,0.00000
254,30.0489,86.08811,42.4848,24.1501,75.47026,55.4090,30.063699,0.1000,9,0.00000
255,30.0489,86.08811,42.4772,24.1501,75.47026,55.4090,30.061017,0.1000,9,0.00000
256,30.0489,86.08811,42.4772,24.1394,75.45098,55.4243,30.056995,0.1000,9,0.00000
257,30.0275,86.04951,42.4772,24.1609,75.48957,55.4090,30.051633,0.1000,9,0.00000
258,30.0382,86.06882,42.4619,24.1501,75.47026,55.4243,30.047613,0.1000,9,0.00000
259,30.0275,86.04951,42.4848,24.1180,75.41236,55.4014,30.042249,0.1000,9,0.00000
260,30.0275,86.04951,42.4772,24.1609,75.48957,55.4090,30.038227,0.1000,9,0.00000
261,30.0275,86.04951,42.4543,24.1609,75.48957,55.4090,30.036888,0.1000,9,0.00000
262,30.0275,86.04951,42.4772,24.1287,75.43166,55.3937,30.034206,0.1000,9,0.00000
263,30.0168,86.03020,42.4619,24.1609,75.48957,55.4090,30.030185,0.1000,9,0.00000
264,29.9953,85.99159,42.4543,24.1609,75.48957,55.4014,30.023479,0.1000,9,0.00000
265,30.0275,86.04951,42.4543,24.1609,75.48957,55.4090,30.023479,0.1000,9,0.00000
266,30.0168,86.03020,42.4543,24.1501,75.47026,55.4090,30.020797,0.1000,9,0.00000
267,30.0060,86.01089,42.4467,24.1609,75.48957,55.4014,30.018115,0.1000,9,0.00000
268,30.0060,86.01089,42.4390,24.1501,75.47026,55.4014,30.015434,0.1000,9,0.00000
269,29.9846,85.97229,42.4390,24.1501,75.47026,55.4090,30.010074,0.1000,9,0.00000
270,29.9739,85.95298,42.4467,24.1609,75.48957,55.4166,30.003372,0.1000,9,0.00000
271,29.9953,85.99159,42.4390,24.1394,75.45098,55.4243,30.000690,0.1000,9,0.00000
272,29.9953,85.99159,42.4467,24.1394,75.45098,55.4166,30.000686,0.1000,9,0.00000
273,29.9953,85.99159,42.4390,24.1501,75.47026,55.4166,29.996665,0.1067,10,0.00000
274,29.9739,85.95298,42.4314,24.1501,75.47026,55.4090,29.991302,0.2783,27,0.00000
275,29.9739,85.95298,42.4390,24.1716,75.50888,55.3937,29.987281,0.4070,39,0.00000
276,29.9739,85.95298,42.4467,24.1609,75.48957,55.4243,29.983259,0.5357,53,0.00000
277,29.9524,85.91436,42.4467,24.1716,75.50888,55.3937,29.979240,0.6643,65,0.00000
278,29.9524,85.91436,42.4314,24.1609,75.48957,55.4090,29.976558,0.7501,74,0.00000
