time_s,int_temp_c,int_temp_f,int_humid,ext_temp_c,ext_temp_f,ext_humid,ravg_int_temp_c,ext_temp_c+4,amps,pwm,pid_i,pid_d,target_c
103,29.6199,85.31591,43.7208,24.8366,76.70580,53.8221,29.577049,28.8366,1.950,196,0.0000,-0.0480,32.0000
104,29.6414,85.35451,43.7513,24.8151,76.66719,53.8373,29.589113,28.8151,1.950,196,0.0000,-0.0521,32.0000
105,29.6092,85.29660,43.7360,24.8366,76.70580,53.8221,29.597156,28.8366,1.950,196,0.0000,-0.0481,32.0000
106,29.6414,85.35451,43.7284,24.8151,76.66719,53.8145,29.606540,28.8151,1.950,196,0.0000,-0.0477,32.0000
107,29.6414,85.35451,43.7437,24.8258,76.68650,53.8221,29.615924,28.8258,1.950,196,0.0000,-0.0475,32.0000
108,29.6628,85.39313,43.7360,24.8366,76.70580,53.8297,29.625308,28.8366,1.950,196,0.0000,-0.0473,32.0000
109,29.6736,85.41244,43.7360,24.8473,76.72512,53.8373,29.636035,28.8473,1.950,196,0.0000,-0.0494,32.0000
110,29.6628,85.39313,43.7208,24.8366,76.70580,53.8221,29.644079,28.8366,1.950,196,0.0000,-0.0463,32.0000
111,29.7057,85.47035,43.7208,24.8366,76.70580,53.7916,29.654804,28.8366,1.950,196,0.0000,-0.0488,32.0000
112,29.6950,85.45104,43.7131,24.8366,76.70580,53.8068,29.661506,28.8366,1.950,196,0.0000,-0.0437,32.0000
113,29.7057,85.47035,43.7131,24.8366,76.70580,53.8068,29.673572,28.8366,1.950,196,0.0000,-0.0492,32.0000
114,29.7165,85.48966,43.7284,24.8044,76.64789,53.7992,29.682956,28.8044,1.950,196,0.0000,-0.0485,32.0000
115,29.7272,85.50896,43.7208,24.8258,76.68650,53.7992,29.693683,28.8258,1.950,196,0.0000,-0.0502,32.0000
116,29.7272,85.50896,43.7208,24.8258,76.68650,53.8221,29.701728,28.8258,1.950,196,0.0000,-0.0469,32.0000
117,29.7379,85.52826,43.7284,24.8366,76.70580,53.7916,29.709770,28.8366,1.950,196,0.0000,-0.0446,32.0000
118,29.7379,85.52826,43.6902,24.8151,76.66719,53.7763,29.719154,28.8151,1.950,196,0.0000,-0.0454,32.0000
119,29.7701,85.58619,43.7055,24.8258,76.68650,53.7839,29.727199,28.8258,1.950,196,0.0000,-0.0437,32.0000
120,29.7701,85.58619,43.6979,24.8366,76.70580,53.7687,29.736585,28.8366,1.950,196,0.0000,-0.0448,32.0000
121,29.7701,85.58619,43.7131,24.8151,76.66719,53.7687,29.744630,28.8151,1.950,196,0.0000,-0.0433,32.0000
122,29.8023,85.64410,43.6979,24.8044,76.64789,53.7610,29.755355,28.8044,1.950,196,0.0000,-0.0467,32.0000
123,29.8023,85.64410,43.7055,24.8044,76.64789,53.7610,29.764736,28.8044,1.950,196,0.0000,-0.0468,32.0000
124,29.8023,85.64410,43.6979,24.8366,76.70580,53.7687,29.774120,28.8366,1.950,196,0.0000,-0.0468,32.0000
125,29.8130,85.66341,43.6979,24.8258,76.68650,53.7687,29.783508,28.8258,1.950,196,0.0000,-0.0469,32.0000
126,29.8344,85.70201,43.6902,24.8151,76.66719,53.7534,29.795578,28.8151,1.950,196,0.0000,-0.0514,32.0000
127,29.8344,85.70201,43.6979,24.7937,76.62858,53.7610,29.803619,28.7937,1.950,196,0.0000,-0.0476,32.0000
128,29.8559,85.74063,43.6750,24.8044,76.64789,53.7687,29.814342,28.8044,1.950,196,0.0000,-0.0496,32.0000
129,29.8666,85.75993,43.6979,24.8366,76.70580,53.7916,29.826408,28.8366,1.950,196,0.0000,-0.0532,32.0000
130,29.8666,85.75993,43.6979,24.8366,76.70580,53.7763,29.834451,28.8366,1.950,196,0.0000,-0.0489,32.0000
131,29.8881,85.79854,43.6750,24.8366,76.70580,53.7763,29.845174,28.8366,1.950,196,0.0000,-0.0505,32.0000
132,29.8881,85.79854,43.6902,24.8366,76.70580,53.7763,29.855897,28.8366,1.950,196,0.0000,-0.0515,32.0000
133,29.8773,85.77923,43.6597,24.8258,76.68650,53.7839,29.863941,28.8258,1.950,196,0.0000,-0.0477,32.0000
134,29.8773,85.77923,43.6750,24.8151,76.66719,53.7763,29.869304,28.8151,1.950,196,0.0000,-0.0408,32.0000
135,29.9202,85.85646,43.6597,24.8258,76.68650,53.7687,29.880031,28.8258,1.950,196,0.0000,-0.0451,32.0000
136,29.9310,85.87576,43.6597,24.8258,76.68650,53.7687,29.889415,28.8258,1.950,196,0.0000,-0.0457,32.0000
137,29.9310,85.87576,43.6597,24.8151,76.66719,53.7687,29.897459,28.8151,1.950,196,0.0000,-0.0439,32.0000
138,29.9631,85.93367,43.6521,24.8258,76.68650,53.7610,29.909526,28.8258,1.950,196,0.0000,-0.0494,32.0000
139,29.9417,85.89507,43.6597,24.8258,76.68650,53.7610,29.916229,28.8258,1.950,196,0.0000,-0.0441,32.0000
140,29.9524,85.91436,43.6521,24.8044,76.64789,53.7610,29.924274,28.8044,1.950,196,0.0000,-0.0428,32.0000
141,29.9524,85.91436,43.6521,24.8044,76.64789,53.7916,29.933658,28.8044,1.950,196,0.0000,-0.0442,32.0000
142,29.9739,85.95298,43.6521,24.8151,76.66719,53.7839,29.945720,28.8151,1.950,196,0.0000,-0.0495,32.0000
143,29.9739,85.95298,43.6216,24.8258,76.68650,53.7687,29.952426,28.8258,1.950,196,0.0000,-0.0442,32.0000
