timestamp,ltz1000-3-to-4
1514702658.817,17522.9
1514702662.168,17523.7
1514702665.521,17523.3
1514702668.872,17522.9
1514702672.225,17523.1
1514702675.577,17523.2
1514702678.929,17523.2
1514702682.282,17523.9
1514702685.633,17523.1
1514702688.986,17523.1
1514702692.338,17523.6
1514702695.690,17523.1
1514702699.042,17526.6
1514702702.394,17530.2
1514702705.746,17527.9
1514702709.099,17522.8
1514702712.450,17522.8
1514702715.803,17523.2
1514702719.155,17523.8
1514702722.507,17522.8
1514702725.860,17523.0
1514702729.211,17523.0
1514702732.564,17522.9
1514702735.915,17522.8
1514702739.268,17522.8
1514702742.620,17523.1
1514702745.972,17522.9
1514702749.324,17523.3
1514702752.676,17523.2
1514702756.029,17523.5
1514702759.380,17523.5
1514702762.733,17522.9
1514702766.085,17522.8
1514702769.437,17522.8
1514702772.790,17522.8
1514702776.141,17523.0
1514702779.494,17523.0
1514702782.845,17522.9
1514702786.198,17523.0
1514702789.551,17522.9
1514702792.902,17523.3
1514702796.255,17522.9
1514702799.606,17523.0
1514702802.959,17523.1
1514702806.311,17523.2
1514702809.663,17523.3
1514702813.015,17522.8
1514702816.368,17523.1
1514702819.719,17523.3
1514702823.072,17523.1
1514702826.424,17523.2
1514702829.776,17523.1
1514702833.128,17523.1
1514702836.480,17523.0
1514702839.833,17523.4
1514702843.184,17523.2
1514702846.537,17523.2
1514702849.888,17523.3
1514702853.241,17523.2
1514702856.593,17522.9
1514702859.945,17523.3
1514702863.297,17523.5
1514702866.650,17522.9
1514702870.001,17523.3
1514702873.354,17522.8
1514702876.706,17522.9
1514702880.058,17522.6
1514702883.410,17522.7
1514702886.763,17522.8
1514702890.114,17522.9
1514702893.467,17522.9
1514702896.819,17523.0
1514702900.171,17522.8
1514702903.523,17522.8
1514702906.875,17523.0
1514702910.227,17523.2
1514702913.580,17523.1
1514702916.932,17522.8
1514702920.284,17523.1
1514702923.636,17523.1
1514702926.988,17523.1
1514702930.340,17523.0
1514702933.692,17523.0
1514702937.044,17522.8
1514702940.397,17522.9
1514702943.748,17523.0
1514702947.101,17522.9
1514702950.453,17523.1
1514702953.805,17523.0
1514702957.157,17523.1
1514702960.509,17523.2
1514702963.862,17523.1
1514702967.213,17523.2
1514702970.566,17522.8
1514702973.918,17523.0
1514702977.270,17523.1
1514702980.623,17523.2
1514702983.974,17523.2
1514702987.326,17523.0
1514702990.679,17522.8
1514702994.030,17523.2
1514702997.383,17523.1
1514703000.735,17522.8
1514703004.087,17523.1
1514703007.440,17523.1
1514703010.791,17522.9
1514703014.144,17522.6
