timestamp,ltz1000-p17-negcase
1514593555.968,7071501.5
1514593559.319,7071502.0
1514593562.672,7071501.5
1514593566.024,7071501.5
1514593569.376,7071501.2
1514593572.728,7071501.2
1514593576.080,7071502.0
1514593579.433,7071502.0
1514593582.784,7071500.9
1514593586.137,7071501.7
1514593589.488,7071500.2
1514593592.841,7071502.0
1514593596.193,7071501.5
1514593599.545,7071502.2
1514593602.897,7071501.7
1514593606.249,7071501.5
1514593609.602,7071502.5
1514593612.954,7071502.0
1514593616.306,7071503.0
1514593619.657,7071503.0
1514593623.010,7071502.0
1514593626.361,7071501.2
1514593629.714,7071500.9
1514593633.066,7071502.7
1514593636.418,7071501.7
1514593639.770,7071502.0
1514593643.122,7071502.2
1514593646.474,7071502.7
1514593649.827,7071501.2
1514593653.179,7071502.2
1514593656.530,7071503.0
1514593659.883,7071502.8
1514593663.235,7071500.7
1514593666.587,7071502.0
1514593669.939,7071502.5
1514593673.291,7071501.7
1514593676.643,7071502.0
1514593679.996,7071502.0
