timestamp,ltz1000-p19-soldered-leads
1513982414.800,7189856.3
1513982418.152,7189856.9
1513982421.503,7189858.6
1513982424.856,7189859.1
1513982428.208,7189860.6
1513982431.560,7189857.8
1513982434.912,7189855.8
1513982438.264,7189855.8
1513982441.616,7189852.8
1513982444.969,7189852.8
1513982448.320,7189853.8
1513982451.673,7189853.8
1513982455.024,7189854.3
1513982458.377,7189852.0
1513982461.729,7189853.0
1513982465.080,7189852.0
1513982468.433,7189854.5
1513982471.786,7189853.8
1513982475.137,7189852.0
1513982478.490,7189853.5
1513982481.841,7189854.3
1513982485.194,7189854.8
1513982488.545,7189854.0
1513982491.898,7189856.3
1513982495.250,7189855.5
1513982498.601,7189852.5
1513982501.954,7189854.0
1513982505.306,7189855.5
1513982508.658,7189857.1
1513982512.010,7189854.8
1513982515.363,7189853.8
