timestamp,run1-1433x
1516702966.336,99998.653
1516702969.688,99998.620
1516702973.040,99998.625
1516702976.392,99998.643
1516702979.745,99998.630
1516702983.097,99998.643
1516702986.448,99998.620
1516702989.801,99998.620
1516702993.153,99998.643
1516702996.505,99998.635
1516702999.857,99998.634
1516703003.209,99998.647
1516703006.562,99998.653
1516703009.914,99998.653
1516703013.265,99998.640
1516703016.617,99998.653
1516703019.969,99998.630
1516703023.322,99998.656
1516703026.674,99998.645
1516703030.026,99998.628
1516703033.378,99998.640
1516703036.731,99998.623
1516703040.083,99998.625
1516703043.435,99998.633
1516703046.787,99998.625
1516703050.139,99998.643
1516703053.491,99998.663
1516703056.843,99998.612
1516703060.195,99998.630
1516703063.548,99998.630
1516703066.900,99998.640
1516703070.251,99998.656
1516703073.603,99998.643
1516703076.956,99998.635
1516703080.308,99998.638
1516703083.660,99998.650
1516703087.012,99998.630
1516703090.364,99998.650
1516703093.717,99998.666
1516703097.068,99998.645
1516703100.420,99998.628
1516703103.773,99998.643
1516703107.125,99998.648
1516703110.477,99998.640
1516703113.829,99998.671
1516703117.181,99998.630
1516703120.533,99998.653
1516703123.885,99998.640
1516703127.237,99998.653
1516703130.590,99998.658
1516703133.942,99998.653
1516703137.294,99998.668
1516703140.646,99998.658
1516703143.998,99998.620
1516703147.350,99998.609
1516703150.702,99998.656
1516703154.054,99998.650
1516703157.406,99998.650
1516703160.759,99998.653
1516703164.111,99998.650
1516703167.463,99998.658
1516703170.815,99998.656
1516703174.167,99998.656
1516703177.519,99998.656
1516703180.871,99998.648
1516703184.224,99998.643
1516703187.576,99998.661
1516703190.928,99998.640
1516703194.280,99998.635
1516703197.632,99998.633
1516703200.984,99998.645
1516703204.336,99998.615
1516703207.688,99998.630
1516703211.040,99998.658
1516703214.392,99998.638
1516703217.744,99998.661
1516703221.097,99998.645
1516703224.449,99998.650
1516703227.801,99998.650
1516703231.153,99998.656
1516703234.505,99998.633
1516703237.857,99998.643
1516703241.210,99998.640
1516703244.562,99998.638
1516703247.914,99998.633
1516703251.266,99998.643
1516703254.618,99998.643
1516703257.970,99998.630
1516703261.322,99998.605
1516703264.674,99998.630
1516703268.026,99998.623
1516703271.378,99998.650
1516703274.730,99998.668
1516703278.083,99998.643
1516703281.435,99998.650
1516703284.787,99998.648
1516703288.139,99998.658
1516703291.491,99998.650
1516703294.843,99998.658
1516703298.195,99998.658
1516703301.548,99998.643
1516703304.900,99998.643
1516703308.252,99998.656
1516703311.604,99998.628
1516703314.956,99998.645
1516703318.308,99998.640
1516703321.660,99998.653
1516703325.012,99998.638
1516703328.364,99998.643
1516703331.717,99998.663
1516703335.069,99998.668
1516703338.421,99998.650
1516703341.773,99998.661
1516703345.125,99998.671
1516703348.477,99998.645
1516703351.829,99998.673
1516703355.181,99998.653
1516703358.534,99998.673
1516703361.886,99998.648
1516703365.237,99998.663
1516703368.589,99998.653
1516703371.942,99998.653
1516703375.294,99998.663
1516703378.647,99998.640
1516703381.998,99998.668
1516703385.350,99998.663
1516703388.702,99998.673
1516703392.054,99998.681
1516703395.407,99998.673
1516703398.759,99998.689
1516703402.111,99998.676
1516703405.463,99998.653
1516703408.816,99998.643
1516703412.167,99998.643
1516703415.520,99998.663
1516703418.872,99998.663
1516703422.224,99998.673
1516703425.575,99998.663
1516703428.928,99998.661
1516703432.280,99998.683
1516703435.632,99998.668
1516703438.984,99998.689
1516703442.336,99998.691
1516703445.688,99998.681
1516703449.041,99998.673
1516703452.393,99998.666
1516703455.745,99998.663
1516703459.097,99998.676
1516703462.450,99998.650
1516703465.801,99998.658
1516703469.153,99998.645
1516703472.506,99998.645
1516703475.857,99998.645
1516703479.210,99998.638
1516703482.562,99998.666
1516703485.914,99998.661
1516703489.266,99998.666
1516703492.618,99998.696
1516703495.970,99998.676
1516703499.323,99998.678
1516703502.675,99998.661
1516703506.027,99998.668
1516703509.379,99998.686
1516703512.731,99998.656
1516703516.083,99998.648
1516703519.435,99998.656
1516703522.787,99998.666
1516703526.140,99998.661
1516703529.492,99998.666
1516703532.844,99998.676
1516703536.196,99998.681
1516703539.548,99998.663
1516703542.900,99998.676
1516703546.252,99998.683
1516703549.604,99998.678
1516703552.957,99998.671
1516703556.308,99998.653
1516703559.660,99998.691
1516703563.013,99998.666
1516703566.365,99998.671
1516703569.717,99998.676
1516703573.069,99998.678
1516703576.422,99998.673
1516703579.774,99998.678
1516703583.126,99998.668
1516703586.477,99998.673
1516703589.830,99998.696
1516703593.182,99998.678
1516703596.534,99998.681
1516703599.886,99998.668
1516703603.238,99998.676
1516703606.590,99998.676
1516703609.943,99998.681
1516703613.295,99998.689
1516703616.647,99998.661
1516703619.999,99998.653
1516703623.350,99998.673
1516703626.703,99998.673
1516703630.055,99998.673
1516703633.407,99998.658
1516703636.759,99998.676
1516703640.112,99998.678
1516703643.464,99998.668
1516703646.816,99998.678
1516703650.168,99998.676
1516703653.520,99998.681
1516703656.872,99998.668
1516703660.224,99998.663
1516703663.576,99998.676
1516703666.929,99998.673
1516703670.281,99998.671
1516703673.633,99998.678
1516703676.985,99998.689
1516703680.338,99998.658
1516703683.689,99998.661
1516703687.041,99998.678
1516703690.393,99998.691
1516703693.745,99998.689
1516703697.098,99998.683
1516703700.450,99998.686
1516703703.802,99998.689
1516703707.155,99998.678
1516703710.506,99998.683
1516703713.859,99998.683
1516703717.211,99998.681
1516703720.563,99998.691
1516703723.914,99998.696
1516703727.267,99998.689
1516703730.619,99998.673
1516703733.971,99998.681
1516703737.323,99998.676
1516703740.676,99998.678
1516703744.027,99998.706
1516703747.379,99998.686
1516703750.731,99998.676
1516703754.084,99998.661
1516703757.436,99998.696
1516703760.788,99998.689
1516703764.140,99998.704
1516703767.493,99998.704
1516703770.844,99998.676
1516703774.196,99998.681
1516703777.548,99998.704
1516703780.901,99998.694
1516703784.253,99998.689
1516703787.605,99998.709
1516703790.957,99998.699
1516703794.309,99998.696
1516703797.661,99998.699
1516703801.013,99998.704
1516703804.365,99998.676
1516703807.717,99998.689
1516703811.070,99998.676
1516703814.422,99998.691
1516703817.774,99998.683
1516703821.125,99998.689
1516703824.478,99998.683
1516703827.830,99998.686
1516703831.182,99998.681
1516703834.534,99998.661
1516703837.887,99998.678
1516703841.239,99998.668
1516703844.591,99998.683
1516703847.943,99998.689
1516703851.295,99998.701
1516703854.647,99998.671
1516703857.999,99998.676
1516703861.352,99998.678
1516703864.704,99998.676
1516703868.056,99998.673
1516703871.407,99998.681
1516703874.760,99998.671
1516703878.112,99998.681
1516703881.464,99998.686
1516703884.817,99998.691
1516703888.169,99998.673
1516703891.520,99998.704
1516703894.872,99998.691
1516703898.225,99998.681
1516703901.577,99998.673
1516703904.929,99998.696
1516703908.282,99998.676
1516703911.633,99998.671
1516703914.986,99998.686
1516703918.338,99998.678
1516703921.689,99998.678
1516703925.042,99998.671
1516703928.394,99998.691
1516703931.746,99998.686
1516703935.098,99998.681
1516703938.451,99998.673
1516703941.802,99998.681
1516703945.154,99998.678
1516703948.506,99998.681
1516703951.859,99998.666
1516703955.211,99998.663
1516703958.563,99998.663
1516703961.915,99998.673
1516703965.267,99998.668
1516703968.619,99998.650
1516703971.972,99998.678
1516703975.324,99998.683
1516703978.676,99998.686
1516703982.027,99998.683
1516703985.379,99998.666
1516703988.732,99998.676
1516703992.084,99998.686
1516703995.436,99998.673
1516703998.788,99998.694
1516704002.141,99998.666
1516704005.493,99998.694
1516704008.844,99998.668
1516704012.197,99998.681
1516704015.549,99998.671
1516704018.901,99998.668
1516704022.253,99998.676
1516704025.606,99998.691
1516704028.958,99998.694
1516704032.310,99998.676
1516704035.662,99998.661
1516704039.013,99998.681
1516704042.366,99998.653
1516704045.718,99998.650
1516704049.070,99998.653
1516704052.423,99998.671
1516704055.775,99998.666
1516704059.126,99998.671
1516704062.478,99998.663
1516704065.830,99998.678
1516704069.183,99998.658
1516704072.535,99998.658
1516704075.887,99998.676
1516704079.239,99998.661
1516704082.592,99998.656
1516704085.944,99998.658
1516704089.295,99998.681
1516704092.647,99998.661
1516704096.000,99998.653
1516704099.351,99998.673
1516704102.704,99998.673
1516704106.056,99998.666
1516704109.408,99998.638
1516704112.760,99998.650
1516704116.113,99998.650
1516704119.465,99998.666
1516704122.817,99998.666
1516704126.169,99998.668
1516704129.521,99998.678
1516704132.873,99998.643
1516704136.225,99998.666
1516704139.577,99998.658
1516704142.930,99998.676
1516704146.282,99998.673
1516704149.634,99998.676
1516704152.986,99998.668
1516704156.338,99998.683
1516704159.689,99998.673
1516704163.042,99998.666
1516704166.394,99998.681
1516704169.746,99998.691
1516704173.098,99998.666
1516704176.450,99998.663
1516704179.803,99998.687
1516704183.155,99998.681
1516704186.507,99998.701
1516704189.859,99998.668
1516704193.211,99998.694
1516704196.563,99998.678
1516704199.915,99998.673
1516704203.268,99998.691
1516704206.620,99998.671
1516704209.972,99998.686
1516704213.323,99998.676
1516704216.675,99998.676
1516704220.028,99998.699
1516704223.380,99998.686
1516704226.732,99998.681
1516704230.084,99998.681
1516704233.437,99998.683
1516704236.789,99998.706
1516704240.141,99998.689
1516704243.493,99998.683
1516704246.845,99998.694
1516704250.197,99998.676
1516704253.549,99998.694
1516704256.902,99998.711
1516704260.254,99998.689
1516704263.606,99998.709
1516704266.957,99998.683
1516704270.310,99998.676
1516704273.662,99998.690
1516704277.014,99998.681
1516704280.366,99998.686
1516704283.719,99998.696
1516704287.071,99998.691
1516704290.423,99998.686
1516704293.774,99998.676
1516704297.127,99998.694
1516704300.479,99998.699
1516704303.831,99998.711
1516704307.183,99998.689
1516704310.535,99998.691
1516704313.887,99998.691
1516704317.239,99998.683
1516704320.592,99998.699
1516704323.944,99998.683
1516704327.296,99998.696
1516704330.648,99998.681
1516704334.001,99998.704
1516704337.352,99998.706
1516704340.704,99998.699
1516704344.056,99998.691
1516704347.409,99998.701
1516704350.761,99998.696
1516704354.113,99998.701
1516704357.464,99998.716
1516704360.817,99998.689
1516704364.169,99998.704
1516704367.521,99998.704
1516704370.874,99998.699
1516704374.226,99998.706
1516704377.578,99998.689
1516704380.930,99998.694
1516704384.282,99998.681
1516704387.634,99998.689
