timestamp,ltz1000-p17
1513997038.094,7071334.1
1513997041.447,7071337.9
1513997044.798,7071337.4
1513997048.151,7071338.9
1513997051.502,7071337.4
1513997054.855,7071338.4
1513997058.207,7071338.2
1513997061.560,7071340.2
1513997064.911,7071339.9
1513997068.263,7071336.6
1513997071.616,7071339.4
1513997074.967,7071338.9
1513997078.320,7071335.2
1513997081.672,7071337.1
1513997085.023,7071333.8
1513997088.376,7071334.1
1513997091.728,7071331.8
1513997095.080,7071335.1
1513997098.432,7071336.1
1513997101.785,7071332.6
1513997105.136,7071334.1
1513997108.489,7071334.4
1513997111.841,7071334.6
1513997115.192,7071337.4
1513997118.545,7071337.1
1513997121.897,7071334.6
1513997125.249,7071333.1
1513997128.601,7071334.4
1513997131.954,7071335.6
1513997135.305,7071336.4
1513997138.657,7071335.4
1513997142.010,7071334.9
1513997145.361,7071335.1
1513997148.714,7071333.3
1513997152.066,7071333.1
1513997155.417,7071333.1
1513997158.770,7071334.4
1513997162.122,7071333.6
1513997165.474,7071335.1
1513997168.826,7071333.3
1513997172.179,7071333.3
1513997175.530,7071334.4
1513997178.883,7071335.6
1513997182.234,7071333.8
1513997185.587,7071339.9
1513997188.939,7071338.4
1513997192.291,7071338.2
1513997195.643,7071335.9
1513997198.995,7071337.9
1513997202.347,7071334.1
1513997205.700,7071336.9
1513997209.051,7071334.4
1513997212.403,7071330.3
1513997215.756,7071331.8
1513997219.108,7071332.8
1513997222.459,7071332.8
1513997225.812,7071334.9
1513997229.163,7071337.1
1513997232.516,7071334.9
1513997235.868,7071335.1
1513997239.220,7071332.6
1513997242.572,7071332.6
1513997245.924,7071334.6
1513997249.277,7071335.1
1513997252.628,7071337.9
1513997255.981,7071338.4
1513997259.332,7071336.6
1513997262.685,7071337.9
1513997266.036,7071337.9
1513997269.389,7071338.9
1513997272.741,7071335.6
1513997276.093,7071336.9
1513997279.445,7071336.1
1513997282.798,7071336.4
1513997286.149,7071334.1
1513997289.502,7071334.4
1513997292.853,7071332.3
1513997296.206,7071332.1
1513997299.557,7071333.3
1513997302.910,7071334.4
1513997306.262,7071330.0
1513997309.614,7071328.5
1513997312.967,7071333.6
1513997316.318,7071332.8
1513997319.671,7071335.4
1513997323.022,7071331.1
1513997326.375,7071330.6
1513997329.726,7071333.6
1513997333.079,7071336.1
1513997336.430,7071338.2
1513997339.783,7071341.7
1513997343.135,7071342.2
1513997346.487,7071342.5
1513997349.839,7071337.1
1513997353.191,7071340.7
1513997356.543,7071336.9
1513997359.895,7071336.1
1513997363.248,7071335.9
1513997366.599,7071337.4
1513997369.951,7071336.6
1513997373.304,7071339.9
1513997376.655,7071336.6
1513997380.008,7071336.1
1513997383.360,7071336.9
1513997386.713,7071337.7
1513997390.064,7071337.7
1513997393.416,7071336.4
1513997396.769,7071336.1
1513997400.120,7071336.4
1513997403.473,7071336.6
1513997406.824,7071333.6
1513997410.177,7071337.1
1513997413.529,7071334.6
1513997416.881,7071334.4
1513997420.233,7071337.9
1513997423.585,7071336.4
1513997426.937,7071334.1
1513997430.289,7071335.4
1513997433.641,7071335.4
1513997436.994,7071335.6
1513997440.345,7071335.6
1513997443.698,7071335.6
1513997447.050,7071336.1
1513997450.401,7071337.9
1513997453.754,7071336.1
1513997457.106,7071337.9
1513997460.458,7071335.4
1513997463.810,7071334.6
1513997467.163,7071335.6
1513997470.514,7071337.7
1513997473.867,7071334.1
1513997477.218,7071336.1
1513997480.571,7071335.6
1513997483.923,7071338.9
1513997487.274,7071338.9
1513997490.627,7071337.7
1513997493.979,7071338.9
1513997497.331,7071342.5
1513997500.684,7071341.2
1513997504.036,7071340.2
1513997507.387,7071337.9
1513997510.740,7071338.2
1513997514.092,7071336.9
1513997517.443,7071338.4
1513997520.796,7071337.7
1513997524.147,7071339.7
1513997527.500,7071340.2
1513997530.852,7071337.4
1513997534.205,7071340.4
1513997537.556,7071339.2
1513997540.908,7071339.9
1513997544.260,7071339.2
1513997547.613,7071340.2
1513997550.965,7071339.4
1513997554.316,7071340.2
1513997557.669,7071339.4
1513997561.021,7071338.4
1513997564.373,7071338.7
1513997567.725,7071339.2
1513997571.077,7071337.4
1513997574.429,7071338.2
1513997577.782,7071337.4
1513997581.133,7071336.6
1513997584.486,7071338.9
1513997587.838,7071338.4
1513997591.189,7071337.7
1513997594.542,7071338.2
1513997597.894,7071335.1
1513997601.246,7071337.1
1513997604.598,7071336.6
1513997607.951,7071340.9
1513997611.302,7071336.1
1513997614.654,7071336.6
1513997618.006,7071337.7
1513997621.359,7071338.7
1513997624.711,7071339.4
1513997628.063,7071339.7
1513997631.415,7071337.4
1513997634.767,7071336.6
1513997638.119,7071335.4
1513997641.472,7071335.6
1513997644.824,7071336.9
1513997648.175,7071336.1
1513997651.528,7071336.6
1513997654.880,7071337.9
1513997658.232,7071339.2
1513997661.584,7071338.4
1513997664.936,7071341.2
1513997668.289,7071339.2
1513997671.640,7071340.7
1513997674.993,7071339.2
1513997678.344,7071339.4
1513997681.696,7071338.2
1513997685.049,7071340.9
1513997688.401,7071340.7
1513997691.753,7071342.0
1513997695.105,7071340.2
1513997698.457,7071341.5
1513997701.809,7071343.5
1513997705.161,7071340.7
1513997708.513,7071342.2
1513997711.865,7071339.2
1513997715.217,7071340.4
1513997718.570,7071338.4
1513997721.921,7071336.9
1513997725.274,7071337.4
1513997728.625,7071339.9
1513997731.978,7071339.2
1513997735.329,7071340.4
1513997738.682,7071340.2
1513997742.034,7071339.4
1513997745.386,7071339.9
1513997748.739,7071338.7
1513997752.090,7071338.7
1513997755.443,7071337.9
1513997758.794,7071339.2
1513997762.147,7071339.9
1513997765.499,7071342.7
1513997768.851,7071342.0
1513997772.203,7071341.2
1513997775.555,7071340.7
1513997778.907,7071339.4
1513997782.259,7071340.4
1513997785.611,7071339.9
1513997788.964,7071338.7
1513997792.315,7071340.4
1513997795.667,7071339.9
1513997799.020,7071338.9
1513997802.371,7071339.7
1513997805.723,7071338.7
1513997809.076,7071338.9
1513997812.428,7071338.4
1513997815.780,7071336.9
1513997819.132,7071337.9
1513997822.484,7071338.9
1513997825.837,7071334.1
1513997829.189,7071333.8
1513997832.540,7071334.9
1513997835.893,7071336.6
1513997839.245,7071335.6
1513997842.597,7071337.1
1513997845.949,7071341.2
1513997849.301,7071335.1
1513997852.653,7071337.9
1513997856.006,7071337.1
1513997859.357,7071336.1
1513997862.710,7071335.2
1513997866.062,7071335.4
1513997869.414,7071334.9
1513997872.766,7071335.4
1513997876.117,7071337.7
1513997879.470,7071339.2
1513997882.822,7071337.7
1513997886.174,7071338.4
1513997889.526,7071335.2
1513997892.879,7071334.4
1513997896.230,7071333.8
1513997899.582,7071335.1
1513997902.935,7071336.9
1513997906.287,7071334.4
1513997909.638,7071334.6
1513997912.991,7071336.4
1513997916.343,7071336.4
1513997919.695,7071335.4
1513997923.047,7071336.9
1513997926.399,7071336.1
1513997929.751,7071337.1
1513997933.103,7071336.1
1513997936.455,7071336.1
1513997939.808,7071336.4
1513997943.160,7071336.6
1513997946.512,7071336.6
1513997949.864,7071343.7
1513997953.216,7071340.2
1513997956.569,7071340.2
1513997959.920,7071341.2
1513997963.273,7071338.7
1513997966.624,7071340.2
1513997969.977,7071339.2
1513997973.328,7071337.1
1513997976.681,7071338.9
1513997980.032,7071334.6
1513997983.385,7071335.6
1513997986.737,7071334.4
1513997990.089,7071335.4
1513997993.441,7071334.6
1513997996.793,7071334.1
1513998000.145,7071336.9
1513998003.498,7071337.1
1513998006.849,7071339.2
1513998010.202,7071341.2
1513998013.553,7071341.2
1513998016.906,7071340.7
1513998020.257,7071338.7
1513998023.610,7071338.4
1513998026.962,7071338.7
1513998030.314,7071337.4
1513998033.666,7071336.4
1513998037.019,7071335.2
1513998040.371,7071336.9
1513998043.723,7071338.9
1513998047.074,7071340.2
1513998050.427,7071341.7
1513998053.779,7071337.4
1513998057.130,7071336.6
1513998060.483,7071335.1
1513998063.835,7071334.9
1513998067.187,7071335.9
1513998070.539,7071338.9
1513998073.892,7071337.4
1513998077.243,7071340.7
1513998080.596,7071339.9
1513998083.948,7071340.9
1513998087.300,7071339.9
1513998090.652,7071337.4
1513998094.003,7071336.4
1513998097.356,7071338.2
1513998100.708,7071336.6
1513998104.061,7071338.2
1513998107.412,7071341.2
1513998110.765,7071337.7
