set_c,oven_c,output,ambient_c
25.000,25.003,4.17,21.683
25.000,24.996,5.30,21.705
25.000,25.000,4.04,21.694
25.000,24.999,4.62,21.683
25.000,25.004,3.59,21.694
25.000,25.003,4.28,21.694
25.000,24.992,5.98,21.683
25.000,24.999,3.92,21.683
25.000,25.001,4.05,21.705
25.000,24.997,4.96,21.705
25.000,25.003,3.70,21.694
25.000,25.000,4.63,21.683
25.000,25.004,3.71,21.705
25.000,25.001,4.51,21.683
25.000,24.996,5.19,21.705
25.000,24.999,4.27,21.683
25.000,25.005,3.36,21.683
25.000,25.004,4.17,21.683
25.000,24.995,5.64,21.683
25.000,24.999,4.15,21.683
25.000,25.001,4.04,21.705
25.000,24.995,5.42,21.683
25.000,25.007,2.78,21.694
25.000,24.996,5.65,21.705
25.000,25.008,2.67,21.694
25.000,25.003,4.63,21.683
25.000,25.000,4.61,21.694
25.000,24.993,5.52,21.694
25.000,24.993,4.94,21.673
25.000,25.001,3.58,21.683
25.000,24.992,5.87,21.683
25.000,25.003,3.24,21.705
25.000,25.003,4.17,21.694
25.000,25.004,3.94,21.683
25.000,25.007,3.60,21.683
25.000,25.001,4.74,21.683
25.000,24.993,5.64,21.705
25.000,24.996,4.49,21.694
25.000,24.999,4.27,21.694
25.000,25.003,3.82,21.694
25.000,25.004,3.94,21.694
25.000,24.993,5.88,21.683
25.000,25.003,3.35,21.694
25.000,25.000,4.62,21.694
25.000,25.004,3.71,21.683
25.000,25.001,4.51,21.694
25.000,25.003,4.05,21.694
25.000,24.989,6.44,21.705
25.000,24.992,4.82,21.683
25.000,24.996,4.38,21.694
25.000,24.995,4.96,21.705
25.000,25.000,3.94,21.694
25.000,25.001,4.18,21.662
25.000,24.993,5.66,21.673
25.000,25.007,2.69,21.683
25.000,24.997,5.45,21.683
25.000,24.992,5.54,21.694
25.000,24.997,4.17,21.683
25.000,24.996,4.87,21.683
25.000,24.999,4.30,21.705
25.000,24.997,4.76,21.683
25.000,24.996,4.87,21.683
25.000,25.004,3.39,21.673
25.000,25.001,4.55,21.683
25.000,25.003,4.09,21.683
25.000,25.005,3.74,21.705
25.000,25.004,4.20,21.694
25.000,25.003,4.31,21.705
25.000,25.008,3.28,21.694
25.000,24.993,6.25,21.705
25.000,24.997,4.28,21.683
25.000,24.999,4.40,21.683
25.000,24.992,5.66,21.683
25.000,24.993,4.86,21.694
25.000,25.000,3.84,21.683
25.000,25.000,4.43,21.683
25.000,24.996,5.11,21.705
25.000,25.004,3.39,21.705
25.000,25.001,4.55,21.683
25.000,25.001,4.31,21.694
25.000,25.008,3.17,21.683
25.000,25.004,4.44,21.705
25.000,25.004,4.08,21.694
25.000,24.999,4.99,21.683
25.000,24.999,4.52,21.662
25.000,24.995,5.20,21.683
25.000,25.011,2.13,21.705
25.000,25.007,4.21,21.683
25.000,25.004,4.30,21.683
25.000,25.001,4.52,21.705
25.000,25.000,4.51,21.694
25.000,25.004,3.71,21.683
25.000,25.005,3.83,21.683
25.000,24.999,5.08,21.683
25.000,25.005,3.36,21.694
25.000,25.004,4.17,21.683
25.000,24.996,5.42,21.705
25.000,24.992,5.40,21.683
25.000,24.997,4.14,21.694
25.000,24.999,4.39,21.673
25.000,25.008,2.91,21.683
25.000,24.992,6.46,21.694
25.000,25.000,3.69,21.683
25.000,24.988,6.44,21.683
25.000,25.000,3.35,21.694
25.000,24.997,4.86,21.694
25.000,25.000,4.17,21.683
25.000,24.999,4.63,21.683
25.000,25.003,3.84,21.694
25.000,24.996,5.32,21.683
25.000,25.001,3.83,21.705
25.000,24.999,4.75,21.683
25.000,25.001,4.06,21.683
25.000,25.001,4.30,21.694
25.000,25.005,3.61,21.683
25.000,25.000,4.87,21.683
25.000,25.005,3.49,21.694
25.000,24.996,5.55,21.716
25.000,25.000,4.05,21.683
25.000,24.988,6.45,21.705
25.000,25.004,2.67,21.683
25.000,24.986,7.04,21.683
25.000,25.003,2.79,21.673
25.000,24.995,5.56,21.683
25.000,24.995,4.86,21.683
25.000,25.001,3.73,21.683
25.000,24.999,4.77,21.694
25.000,25.000,4.31,21.683
25.000,25.004,3.74,21.716
25.000,24.999,5.00,21.683
25.000,25.003,3.85,21.705
25.000,24.997,5.11,21.683
25.000,25.008,2.82,21.694
25.000,24.995,6.03,21.705
25.000,24.993,5.09,21.694
25.000,24.996,4.52,21.705
25.000,24.989,5.90,21.683
25.000,25.001,3.28,21.683
25.000,24.993,5.69,21.683
25.000,24.999,4.09,21.683
25.000,25.001,4.10,21.694
25.000,25.000,4.56,21.694
25.000,24.999,4.67,21.673
25.000,25.001,4.10,21.673
25.000,25.004,3.88,21.694
25.000,25.001,4.57,21.705
25.000,25.005,3.65,21.694
25.000,25.000,4.90,21.694
25.000,25.003,3.98,21.694
25.000,25.004,3.98,21.705
25.000,25.008,3.41,21.716
25.000,24.996,5.81,21.694
25.000,25.005,3.16,21.716
25.000,24.997,5.35,21.683
25.000,24.995,5.10,21.694
25.000,24.993,5.10,21.705
25.000,24.993,4.99,21.694
25.000,24.984,6.59,21.683
25.000,25.004,2.36,21.683
25.000,25.003,4.35,21.683
25.000,24.996,5.37,21.694
25.000,25.003,3.64,21.683
25.000,25.008,3.32,21.694
25.000,25.004,4.46,21.683
25.000,25.003,4.33,21.683
25.000,25.003,4.22,21.705
25.000,25.005,3.76,21.683
25.000,25.004,4.21,21.683
25.000,25.001,4.55,21.662
25.000,25.005,3.63,21.694
25.000,24.999,5.12,21.683
25.000,24.999,4.53,21.705
25.000,25.005,3.39,21.683
25.000,24.997,5.34,21.683
25.000,24.999,4.41,21.716
25.000,24.988,6.35,21.716
25.000,24.995,4.29,21.694
25.000,25.007,2.83,21.694
25.000,25.004,4.33,21.705
25.000,24.996,5.46,21.705
25.000,24.996,4.76,21.705
25.000,24.996,4.76,21.705
25.000,24.996,4.77,21.694
25.000,24.999,4.32,21.694
25.000,24.999,4.55,21.705
25.000,25.000,4.33,21.683
25.000,25.000,4.44,21.683
25.000,25.000,4.44,21.683
25.000,24.999,4.67,21.673
25.000,24.993,5.47,21.683
25.000,25.000,3.86,21.694
25.000,25.010,2.86,21.683
25.000,25.004,4.58,21.694
25.000,24.996,5.47,21.673
25.000,24.997,4.55,21.683
25.000,25.008,2.84,21.694
25.000,24.999,5.37,21.683
25.000,25.012,2.27,21.694
25.000,25.005,4.57,21.683
25.000,25.005,3.98,21.705
25.000,24.992,6.25,21.673
25.000,24.997,4.18,21.694
25.000,25.003,3.74,21.683
25.000,24.988,6.71,21.683
25.000,24.999,3.61,21.705
25.000,24.989,6.14,21.683
25.000,25.001,3.28,21.705
25.000,24.997,5.02,21.705
25.000,25.004,3.53,21.683
25.000,25.003,4.34,21.694
25.000,25.000,4.68,21.683
25.000,24.997,4.90,21.694
25.000,24.996,4.89,21.694
25.000,25.001,3.87,21.705
25.000,24.999,4.79,21.683
25.000,25.010,2.74,21.694
25.000,25.000,5.26,21.716
25.000,24.997,4.89,21.694
25.000,25.004,3.52,21.683
25.000,24.995,5.70,21.705
25.000,25.007,2.83,21.683
25.000,25.000,5.02,21.705
25.000,24.997,4.89,21.705
25.000,24.997,4.66,21.705
25.000,25.003,3.75,21.694
25.000,24.996,5.36,21.694
25.000,24.999,4.32,21.705
25.000,25.004,3.64,21.683
25.000,24.999,5.02,21.716
25.000,24.996,5.01,21.683
25.000,25.001,3.86,21.705
25.000,25.003,4.10,21.716
25.000,25.005,3.76,21.705
25.000,25.004,4.22,21.705
25.000,24.997,5.24,21.705
25.000,25.004,3.52,21.683
25.000,25.000,4.78,21.694
25.000,24.997,4.89,21.683
25.000,25.004,3.52,21.726
25.000,25.001,4.55,21.694
25.000,24.999,4.77,21.716
25.000,24.999,4.54,21.705
25.000,25.003,3.86,21.716
25.000,25.001,4.43,21.705
25.000,25.008,3.18,21.694
25.000,24.997,5.58,21.705
25.000,25.003,3.73,21.705
