volts,ppm,temp_c
0.99981831,-0.06,26.017
0.99981831,-0.06,26.019
0.99981831,-0.06,26.016
0.99981831,-0.06,26.02
0.99981831,-0.06,26.012
0.99981831,-0.06,26.016
0.99981831,-0.06,26.013
0.99981831,-0.06,26.015
0.99981831,-0.06,26.015
0.99981831,-0.06,26.008
0.99981831,-0.06,26.006
0.99981846,0.09,26.006
0.99981846,0.09,26.011
0.99981846,0.09,26.004
0.99981846,0.09,26.012
0.99981846,0.09,26.011
0.99981846,0.09,26.006
0.99981846,0.09,26.009
0.99981846,0.09,26.012
0.99981846,0.09,26.012
0.99981846,0.09,26.013
0.99981846,0.09,26.015
0.99981846,0.09,26.016
0.99981846,0.09,26.024
0.99981831,-0.06,26.019
0.99981831,-0.06,26.017
0.99981831,-0.06,26.024
0.99981831,-0.06,26.023
0.99981831,-0.06,26.023
0.99981831,-0.06,26.017
0.99981831,-0.06,26.027
0.99981831,-0.06,26.022
0.99981831,-0.06,26.02
0.99981831,-0.06,26.016
0.99981831,-0.06,26.027
0.99981831,-0.06,26.023
0.99981831,-0.06,26.022
0.99981831,-0.06,26.027
0.99981864,0.27,26.019
0.99981864,0.27,26.026
0.99981864,0.27,26.013
0.99981864,0.27,26.013
0.99981864,0.27,26.028
0.99981864,0.27,26.023
0.99981864,0.27,26.022
0.99981864,0.27,26.031
0.99981864,0.27,26.027
0.99981864,0.27,26.022
0.99981864,0.27,26.023
0.99981864,0.27,26.031
0.99981864,0.27,26.022
0.99981834,-0.03,26.019
0.99981834,-0.03,26.03
0.99981834,-0.03,26.023
0.99981834,-0.03,26.02
0.99981834,-0.03,26.022
0.99981834,-0.03,26.031
0.99981834,-0.03,26.024
0.99981834,-0.03,26.022
0.99981834,-0.03,26.023
0.99981834,-0.03,26.023
0.99981834,-0.03,26.03
0.99981834,-0.03,26.024
0.99981834,-0.03,26.019
0.99981834,-0.03,26.02
0.9998184,0.03,26.023
0.9998184,0.03,26.026
0.9998184,0.03,26.024
0.9998184,0.03,26.026
0.9998184,0.03,26.024
0.9998184,0.03,26.023
0.9998184,0.03,26.027
0.9998184,0.03,26.027
0.9998184,0.03,26.027
0.9998184,0.03,26.033
0.9998184,0.03,26.027
0.9998184,0.03,26.034
0.9998184,0.03,26.028
0.99981846,0.09,26.03
0.99981846,0.09,26.023
0.99981846,0.09,26.037
0.99981846,0.09,26.017
0.99981846,0.09,26.031
0.99981846,0.09,26.023
0.99981846,0.09,26.034
0.99981846,0.09,26.026
0.99981846,0.09,26.022
0.99981846,0.09,26.033
0.99981846,0.09,26.026
0.99981846,0.09,26.023
0.99981846,0.09,26.039
0.99981846,0.09,26.026
0.99981844,0.07,26.028
0.99981844,0.07,26.03
0.99981844,0.07,26.039
0.99981844,0.07,26.033
0.99981844,0.07,26.028
0.99981844,0.07,26.024
0.99981844,0.07,26.033
0.99981844,0.07,26.027
0.99981844,0.07,26.026
0.99981844,0.07,26.023
0.99981844,0.07,26.02
0.99981844,0.07,26.027
0.99981844,0.07,26.026
0.99981823,-0.14,26.019
0.99981823,-0.14,26.035
0.99981823,-0.14,26.022
0.99981823,-0.14,26.024
0.99981823,-0.14,26.024
0.99981823,-0.14,26.034
0.99981823,-0.14,26.02
0.99981823,-0.14,26.024
0.99981823,-0.14,26.028
0.99981823,-0.14,26.03
0.99981823,-0.14,26.027
0.99981823,-0.14,26.03
0.99981823,-0.14,26.033
0.99981841,0.04,26.022
0.99981841,0.04,26.024
0.99981841,0.04,26.023
0.99981841,0.04,26.026
0.99981841,0.04,26.026
0.99981841,0.04,26.024
