resistance,ppm,temp_c
19970.114,-0.66,24.992
19970.114,-0.66,25.003
19970.113,-0.71,25.008
19970.113,-0.71,25.01
19970.113,-0.71,25.012
19970.113,-0.71,25.019
19970.113,-0.71,25.001
19970.113,-0.71,24.99
19970.113,-0.71,25.007
19970.113,-0.71,24.995
19970.113,-0.71,25.0
19970.113,-0.71,25.0
19970.113,-0.71,24.977
19970.113,-0.71,24.989
19970.113,-0.71,25.033
19970.116,-0.56,24.993
19970.116,-0.56,24.995
19970.116,-0.56,24.978
19970.116,-0.56,25.008
19970.116,-0.56,24.996
19970.116,-0.56,24.993
19970.116,-0.56,24.999
19970.116,-0.56,24.999
19970.116,-0.56,24.973
19970.116,-0.56,24.995
19970.116,-0.56,25.0
19970.116,-0.56,25.015
19970.116,-0.56,25.005
19970.145,0.89,25.011
19970.145,0.89,25.01
19970.145,0.89,25.012
19970.145,0.89,25.008
19970.145,0.89,24.973
19970.145,0.89,24.993
19970.145,0.89,24.989
19970.145,0.89,24.992
19970.145,0.89,25.03
19970.145,0.89,25.022
19970.145,0.89,25.014
19970.145,0.89,24.999
19970.145,0.89,25.015
19970.145,0.89,25.005
19970.142,0.74,24.978
19970.142,0.74,24.995
19970.142,0.74,25.001
19970.142,0.74,24.985
19970.142,0.74,24.996
19970.142,0.74,24.989
19970.142,0.74,25.008
19970.142,0.74,24.988
19970.142,0.74,24.982
19970.142,0.74,25.026
19970.142,0.74,24.995
19970.142,0.74,24.995
19970.142,0.74,25.01
19970.142,0.74,25.003
19970.142,0.74,24.984
19970.142,0.74,25.01
19970.142,0.74,24.999
19970.142,0.74,25.0
19970.142,0.74,25.0
19970.142,0.74,25.022
19970.142,0.74,25.0
19970.142,0.74,25.038
19970.142,0.74,25.005
19970.142,0.74,24.965
19970.142,0.74,24.996
19970.142,0.74,24.999
19970.142,0.74,25.007
19970.107,-1.01,24.989
19970.107,-1.01,25.027
19970.107,-1.01,24.995
19970.107,-1.01,24.982
19970.107,-1.01,24.96
19970.107,-1.01,25.0
19970.107,-1.01,24.996
19970.107,-1.01,24.984
19970.107,-1.01,24.989
19970.107,-1.01,24.977
19970.107,-1.01,25.004
19970.107,-1.01,24.988
19970.107,-1.01,25.04
19970.131,0.19,24.999
19970.131,0.19,25.005
19970.131,0.19,25.003
19970.131,0.19,24.973
19970.131,0.19,25.005
19970.131,0.19,25.01
19970.131,0.19,24.997
19970.131,0.19,25.004
19970.131,0.19,25.007
19970.131,0.19,24.985
19970.131,0.19,25.014
19970.131,0.19,24.996
19970.131,0.19,25.012
19970.143,0.79,24.999
19970.143,0.79,24.985
19970.143,0.79,24.966
19970.143,0.79,25.025
19970.143,0.79,25.003
19970.143,0.79,24.97
19970.143,0.79,24.989
19970.143,0.79,24.993
19970.143,0.79,24.992
19970.143,0.79,25.004
19970.143,0.79,25.007
19970.143,0.79,25.015
19970.143,0.79,25.011
19970.143,0.79,25.008
19970.124,-0.16,24.978
19970.124,-0.16,25.012
19970.124,-0.16,25.01
19970.124,-0.16,25.005
19970.124,-0.16,25.018
19970.124,-0.16,25.01
19970.124,-0.16,25.019
19970.124,-0.16,25.01
19970.124,-0.16,25.019
19970.124,-0.16,25.008
19970.124,-0.16,24.974
19970.124,-0.16,24.997
19970.124,-0.16,25.003
19970.099,-1.41,24.974
19970.099,-1.41,24.989
19970.099,-1.41,24.963
19970.099,-1.41,25.005
19970.099,-1.41,25.005
19970.099,-1.41,25.025
19970.099,-1.41,24.993
19970.099,-1.41,24.999
19970.099,-1.41,25.041
19970.099,-1.41,25.007
19970.099,-1.41,24.973
19970.099,-1.41,24.993
19970.099,-1.41,25.005
19970.119,-0.41,24.99
19970.119,-0.41,25.041
19970.119,-0.41,24.981
19970.119,-0.41,25.021
19970.119,-0.41,24.984
19970.119,-0.41,24.993
19970.119,-0.41,24.98
19970.119,-0.41,25.004
19970.119,-0.41,24.985
19970.119,-0.41,24.995
19970.119,-0.41,25.021
19970.119,-0.41,25.01
19970.119,-0.41,25.003
19970.119,-0.41,24.985
19970.155,1.39,24.993
19970.155,1.39,24.985
19970.155,1.39,24.999
19970.155,1.39,24.999
