timestamp,LM399-P15-fast6-no-R7
1500849286.694,6890021.2
1500849287.032,6890021.2
1500849287.369,6890026.3
1500849287.707,6890023.7
1500849288.045,6890018.7
1500849288.382,6890026.3
1500849288.720,6890021.2
1500849289.058,6890026.3
1500849289.395,6890026.3
1500849289.733,6890023.7
1500849290.070,6890023.7
1500849290.408,6890026.3
1500849290.746,6890021.2
1500849291.083,6890021.2
1500849291.421,6890023.7
1500849291.759,6890023.7
1500849292.096,6890026.3
1500849292.434,6890026.3
1500849292.772,6890028.8
1500849293.109,6890026.3
1500849293.447,6890026.3
1500849293.785,6890028.8
1500849294.123,6890023.7
1500849294.460,6890026.3
1500849294.798,6890028.8
1500849295.135,6890023.7
1500849295.473,6890023.7
1500849295.811,6890023.7
1500849296.148,6890021.2
1500849296.486,6890026.3
1500849296.824,6890023.7
1500849297.161,6890023.7
1500849297.499,6890026.3
1500849297.837,6890026.3
1500849298.174,6890023.7
1500849298.512,6890026.3
1500849298.850,6890026.3
1500849299.187,6890023.7
1500849299.525,6890028.8
1500849299.863,6890023.7
1500849300.200,6890021.2
1500849300.538,6890026.3
1500849300.876,6890026.3
1500849301.213,6890023.7
1500849301.551,6890026.3
1500849301.889,6890026.3
1500849302.226,6890026.3
1500849302.564,6890028.8
1500849302.902,6890026.3
1500849303.239,6890026.3
1500849303.577,6890023.7
1500849303.914,6890023.7
1500849304.252,6890023.7
1500849304.590,6890028.8
1500849304.927,6890028.8
1500849305.265,6890026.3
1500849305.603,6890026.3
1500849305.940,6890028.8
1500849306.278,6890026.3
1500849306.616,6890026.3
1500849306.954,6890026.3
1500849307.291,6890023.7
1500849307.629,6890026.3
1500849307.966,6890028.8
1500849308.304,6890023.7
1500849308.642,6890023.7
1500849308.979,6890028.8
1500849309.317,6890026.3
1500849309.655,6890023.7
1500849309.992,6890028.8
1500849310.330,6890026.3
1500849310.668,6890026.3
1500849311.006,6890026.3
1500849311.343,6890026.3
1500849311.681,6890026.3
1500849312.018,6890021.2
1500849312.356,6890026.3
1500849312.694,6890023.7
1500849313.031,6890028.8
1500849313.369,6890028.8
1500849313.707,6890026.3
1500849314.044,6890026.3
1500849314.382,6890023.7
1500849314.720,6890023.7
1500849315.057,6890023.7
1500849315.395,6890026.3
1500849315.733,6890026.3
1500849316.070,6890028.8
1500849316.408,6890026.3
1500849316.746,6890023.7
1500849317.084,6890026.3
1500849317.421,6890028.8
1500849317.759,6890023.7
1500849318.096,6890028.8
1500849318.434,6890031.3
1500849318.772,6890026.3
1500849319.109,6890028.8
1500849319.447,6890026.3
1500849319.785,6890026.3
1500849320.122,6890026.3
1500849320.460,6890028.8
1500849320.798,6890023.7
1500849321.135,6890023.7
1500849321.473,6890026.3
1500849321.811,6890028.8
1500849322.153,6890026.3
1500849322.486,6890026.3
1500849322.823,6890023.7
1500849323.161,6890026.3
1500849323.499,6890028.8
1500849323.837,6890026.3
1500849324.174,6890026.3
1500849324.513,6890023.7
