timestamp,svrt-no-tape
1512957394.164,10000206.0
1512957397.516,10000202.0
1512957400.868,10000206.0
1512957404.220,10000205.0
1512957407.572,10000203.0
1512957410.925,10000205.0
1512957414.277,10000206.0
1512957417.628,10000207.0
1512957420.980,10000210.0
1512957424.333,10000198.0
1512957427.685,10000192.0
1512957431.037,10000199.0
1512957434.390,10000197.0
1512957437.741,10000206.0
1512957441.094,10000204.0
1512957444.446,10000203.0
1512957447.797,10000206.0
1512957451.149,10000209.0
1512957454.502,10000210.0
1512957457.854,10000199.0
1512957461.206,10000185.0
1512957464.557,10000187.0
1512957467.910,10000184.0
1512957471.262,10000187.0
1512957474.614,10000166.0
1512957477.966,10000147.0
1512957481.319,10000156.0
1512957484.670,10000172.0
1512957488.022,10000179.0
1512957491.374,10000191.0
1512957494.727,10000185.0
1512957498.079,10000169.0
1512957501.431,10000186.0
1512957504.782,10000189.0
1512957508.135,10000188.0
1512957511.487,10000174.0
1512957514.839,10000176.0
1512957518.191,10000162.0
1512957521.544,10000155.0
1512957524.895,10000173.0
1512957528.247,10000183.0
1512957531.599,10000191.0
1512957534.952,10000185.0
1512957538.304,10000191.0
1512957541.656,10000187.0
1512957545.007,10000189.0
1512957548.360,10000189.0
1512957551.712,10000182.0
1512957555.064,10000180.0
1512957558.416,10000200.0
1512957561.768,10000210.0
1512957565.120,10000213.0
1512957568.473,10000187.0
1512957571.824,10000202.0
1512957575.176,10000191.0
1512957578.529,10000194.0
1512957581.881,10000178.0
1512957585.233,10000165.0
1512957588.584,10000146.0
1512957591.937,10000178.0
1512957595.289,10000184.0
1512957598.641,10000177.0
1512957601.993,10000202.0
1512957605.346,10000187.0
1512957608.697,10000170.0
1512957612.049,10000186.0
1512957615.402,10000189.0
1512957618.754,10000184.0
1512957622.105,10000187.0
1512957625.458,10000190.0
1512957628.810,10000201.0
1512957632.162,10000207.0
1512957635.514,10000190.0
1512957638.866,10000181.0
1512957642.218,10000087.0
1512957645.570,10000125.0
1512957648.922,10000151.0
1512957652.275,10000151.0
1512957655.626,10000138.0
1512957658.978,10000142.0
1512957662.331,10000156.0
1512957665.683,10000131.0
1512957669.035,10000110.0
1512957672.386,10000107.0
1512957675.739,10000125.0
1512957679.091,10000137.0
1512957682.443,10000153.0
1512957685.795,10000150.0
1512957689.147,10000120.0
1512957692.499,10000138.0
1512957695.851,10000159.0
1512957699.203,10000156.0
1512957702.556,10000129.0
1512957705.908,10000110.0
1512957709.259,10000115.0
1512957712.611,10000107.0
1512957715.964,10000060.0
1512957719.316,10000110.0
1512957722.668,10000123.0
1512957726.020,10000120.0
1512957729.372,10000117.0
1512957732.724,10000116.0
1512957736.076,10000108.0
1512957739.429,10000119.0
1512957742.781,10000107.0
1512957746.132,10000106.0
1512957749.484,10000111.0
1512957752.837,10000115.0
1512957756.189,10000120.0
1512957759.541,10000118.0
1512957762.892,10000124.0
1512957766.245,10000122.0
1512957769.597,10000116.0
1512957772.949,10000118.0
1512957776.301,10000108.0
1512957779.654,10000128.0
1512957783.005,10000124.0
1512957786.357,10000121.0
1512957789.710,10000124.0
1512957793.062,10000126.0
1512957796.414,10000086.0
1512957799.766,10000039.0
1512957803.118,10000097.0
1512957806.470,10000149.0
1512957809.822,10000128.0
1512957813.174,10000125.0
1512957816.526,10000129.0
1512957819.878,10000135.0
1512957823.231,10000130.0
1512957826.583,10000124.0
1512957829.934,10000077.0
1512957833.286,10000050.0
1512957836.639,10000063.0
1512957839.991,10000084.0
1512957843.343,10000071.0
1512957846.694,10000052.0
1512957850.047,10000107.0
1512957853.399,10000130.0
1512957856.751,10000131.0
1512957860.103,10000071.0
1512957863.455,10000107.0
1512957866.807,10000126.0
1512957870.159,10000115.0
1512957873.512,10000133.0
1512957876.864,10000130.0
1512957880.215,10000120.0
1512957883.567,10000121.0
1512957886.920,10000116.0
1512957890.272,10000110.0
1512957893.624,10000116.0
1512957896.977,10000107.0
1512957900.328,10000110.0
1512957903.680,10000126.0
1512957907.032,10000135.0
1512957910.385,10000135.0
1512957913.737,10000126.0
1512957917.088,10000124.0
1512957920.441,10000122.0
1512957923.793,10000128.0
1512957927.144,10000129.0
1512957930.497,10000124.0
1512957933.849,10000128.0
1512957937.201,10000117.0
1512957940.554,10000109.0
1512957943.905,10000123.0
1512957947.257,10000132.0
1512957950.609,10000131.0
1512957953.962,10000128.0
1512957957.314,10000113.0
1512957960.666,10000109.0
1512957964.017,10000103.0
1512957967.370,10000109.0
1512957970.722,10000112.0
