temp_c,ppm,resistance
28.022,3.200,10000.434
28.007,3.200,10000.434
28.011,3.200,10000.434
28.015,3.200,10000.434
28.026,3.200,10000.434
28.015,3.200,10000.434
28.021,3.200,10000.434
28.022,3.200,10000.434
28.018,3.200,10000.434
28.017,3.200,10000.434
28.018,3.200,10000.434
28.015,3.200,10000.434
28.014,3.100,10000.433
28.022,3.100,10000.433
28.014,3.100,10000.433
28.019,3.100,10000.433
28.026,3.100,10000.433
28.021,3.100,10000.433
28.021,3.100,10000.433
28.018,3.100,10000.433
28.012,3.100,10000.433
28.014,3.100,10000.433
28.015,3.100,10000.433
28.021,3.100,10000.433
28.012,3.100,10000.433
28.01,3.100,10000.433
28.015,3.100,10000.433
28.007,3.100,10000.433
28.003,3.100,10000.433
28.024,3.100,10000.433
28.026,3.100,10000.433
28.025,3.100,10000.433
28.024,3.100,10000.433
28.011,3.100,10000.433
28.003,3.100,10000.433
28.007,3.100,10000.433
28.011,3.100,10000.433
28.019,3.100,10000.433
28.021,3.100,10000.433
28.017,3.100,10000.433
28.025,3.100,10000.433
28.003,3.100,10000.433
28.014,3.100,10000.433
28.021,3.100,10000.433
28.014,3.100,10000.433
28.031,3.100,10000.433
28.019,3.100,10000.433
28.003,3.100,10000.433
28.003,3.100,10000.433
28.007,3.100,10000.433
28.0,3.100,10000.433
28.003,3.100,10000.433
28.007,3.000,10000.432
28.003,3.000,10000.432
28.01,3.000,10000.432
28.003,3.000,10000.432
28.021,3.000,10000.432
28.012,3.000,10000.432
28.004,3.000,10000.432
28.015,3.000,10000.432
28.01,3.000,10000.432
28.011,3.000,10000.432
28.012,3.000,10000.432
28.022,3.000,10000.432
28.018,3.000,10000.432
28.029,3.000,10000.432
28.01,3.000,10000.432
28.029,3.000,10000.432
28.022,3.000,10000.432
28.024,3.000,10000.432
28.015,3.000,10000.432
28.014,3.000,10000.432
28.015,3.000,10000.432
28.018,3.000,10000.432
