timestamp,ambient_c,ambient_rh
1521232251.66,21.398,64.984
1521232253.27,21.394,65.001
1521232254.88,21.396,65.020
1521232256.49,21.398,65.037
1521232258.11,21.395,65.055
1521232259.71,21.388,65.071
1521232261.32,21.401,65.091
1521232262.93,21.396,65.096
1521232264.54,21.391,65.122
1521232266.16,21.387,65.140
1521232267.77,21.396,65.160
1521232269.38,21.401,65.176
1521232270.99,21.392,65.198
1521232272.60,21.395,65.206
1521232274.21,21.402,65.221
1521232275.82,21.398,65.232
1521232277.43,21.401,65.246
1521232279.04,21.398,65.267
1521232280.65,21.407,65.287
1521232282.26,21.405,65.297
1521232283.87,21.409,65.305
1521232285.48,21.403,65.324
1521232287.09,21.403,65.329
1521232288.70,21.403,65.343
1521232290.31,21.403,65.356
1521232291.93,21.401,65.376
1521232293.54,21.411,65.374
1521232295.15,21.403,65.388
1521232296.76,21.409,65.392
1521232298.37,21.415,65.404
1521232299.98,21.406,65.402
1521232301.59,21.411,65.407
1521232303.20,21.413,65.416
1521232304.81,21.415,65.414
1521232306.42,21.410,65.413
1521232308.03,21.419,65.407
1521232309.64,21.421,65.407
1521232311.26,21.418,65.406
1521232312.86,21.410,65.396
1521232314.47,21.417,65.387
1521232316.08,21.417,65.383
1521232317.70,21.414,65.377
1521232319.31,21.422,65.367
1521232320.92,21.419,65.368
1521232322.53,21.422,65.350
1521232324.14,21.418,65.346
1521232325.75,21.415,65.343
1521232327.36,21.425,65.332
1521232328.97,21.431,65.335
1521232330.58,21.431,65.329
1521232332.19,21.423,65.323
1521232333.80,21.423,65.332
1521232335.41,21.426,65.333
1521232337.03,21.426,65.339
1521232338.63,21.431,65.341
1521232340.25,21.427,65.343
1521232341.85,21.429,65.356
1521232343.46,21.433,65.370
1521232345.08,21.437,65.376
1521232346.69,21.437,65.384
1521232348.30,21.438,65.397
1521232349.91,21.442,65.412
1521232351.52,21.446,65.418
1521232353.13,21.443,65.432
1521232354.74,21.438,65.444
1521232356.35,21.441,65.461
1521232357.96,21.443,65.471
1521232359.57,21.438,65.484
1521232361.19,21.437,65.494
1521232362.79,21.441,65.509
1521232364.40,21.441,65.530
1521232366.01,21.450,65.548
1521232367.62,21.447,65.557
1521232369.23,21.445,65.576
1521232370.85,21.450,65.589
1521232372.46,21.454,65.610
1521232374.07,21.451,65.628
1521232375.68,21.445,65.636
1521232377.29,21.451,65.651
1521232378.90,21.451,65.656
1521232380.51,21.455,65.679
1521232382.12,21.450,65.690
1521232383.73,21.458,65.700
1521232385.34,21.450,65.712
1521232386.95,21.454,65.722
1521232388.56,21.457,65.747
1521232390.18,21.458,65.753
1521232391.78,21.459,65.762
1521232393.39,21.462,65.785
1521232395.00,21.461,65.786
1521232396.62,21.472,65.807
1521232398.23,21.468,65.815
1521232399.84,21.461,65.831
1521232401.45,21.470,65.840
1521232403.06,21.469,65.847
1521232404.67,21.468,65.857
1521232406.28,21.472,65.875
1521232407.89,21.477,65.882
1521232409.50,21.468,65.895
1521232411.11,21.480,65.901
1521232412.72,21.476,65.915
1521232414.33,21.472,65.919
1521232415.95,21.473,65.932
1521232417.55,21.473,65.932
1521232419.17,21.480,65.939
1521232420.78,21.478,65.956
1521232422.39,21.484,65.961
1521232424.00,21.486,65.963
1521232425.61,21.482,65.974
1521232427.22,21.486,65.978
1521232428.83,21.493,65.990
1521232430.44,21.489,65.990
1521232432.05,21.482,65.996
1521232433.66,21.494,66.001
1521232435.27,21.502,66.005
1521232436.88,21.489,66.008
1521232438.49,21.498,66.021
1521232440.11,21.497,66.026
1521232441.72,21.497,66.030
1521232443.32,21.502,66.031
1521232444.94,21.497,66.037
1521232446.54,21.500,66.043
1521232448.16,21.502,66.050
1521232449.77,21.496,66.054
1521232451.38,21.493,66.050
1521232452.99,21.506,66.059
1521232454.60,21.502,66.063
1521232456.21,21.504,66.077
1521232457.82,21.504,66.076
1521232459.43,21.505,66.075
1521232461.04,21.506,66.092
1521232462.65,21.517,66.089
1521232464.26,21.518,66.096
1521232465.88,21.506,66.095
1521232467.48,21.513,66.096
1521232469.10,21.516,66.106
1521232470.70,21.516,66.106
1521232472.31,21.514,66.111
1521232473.93,21.520,66.115
1521232475.54,21.520,66.124
1521232477.15,21.520,66.124
1521232478.76,21.528,66.124
1521232480.37,21.531,66.129
1521232481.98,21.532,66.133
1521232483.59,21.517,66.131
1521232485.20,21.525,66.148
1521232486.81,21.536,66.142
1521232488.42,21.536,66.148
1521232490.03,21.539,66.148
1521232491.65,21.535,66.153
1521232493.25,21.539,66.150
1521232494.87,21.536,66.159
1521232496.47,21.539,66.159
1521232498.08,21.536,66.164
1521232499.70,21.544,66.171
1521232501.31,21.541,66.164
1521232502.92,21.541,66.173
1521232504.53,21.547,66.177
1521232506.14,21.545,66.183
1521232507.75,21.548,66.184
1521232509.36,21.543,66.179
1521232510.97,21.547,66.192
1521232512.58,21.541,66.186
1521232514.19,21.544,66.197
1521232515.80,21.545,66.198
1521232517.42,21.555,66.200
1521232519.03,21.559,66.209
1521232520.64,21.555,66.204
1521232522.24,21.557,66.219
1521232523.86,21.567,66.215
1521232525.47,21.559,66.213
1521232527.08,21.557,66.230
1521232528.69,21.564,66.226
1521232530.30,21.564,66.231
1521232531.91,21.568,66.233
1521232533.52,21.569,66.227
1521232535.13,21.565,66.228
1521232536.74,21.568,66.234
1521232538.35,21.575,66.241
1521232539.96,21.576,66.245
1521232541.57,21.572,66.248
1521232543.19,21.579,66.247
1521232544.80,21.572,66.255
1521232546.41,21.579,66.256
1521232548.02,21.577,66.264
1521232549.63,21.580,66.259
1521232551.24,21.576,66.257
1521232552.85,21.581,66.262
1521232554.46,21.572,66.266
1521232556.07,21.577,66.261
1521232557.68,21.580,66.272
1521232559.29,21.581,66.275
1521232560.90,21.586,66.269
1521232562.51,21.587,66.284
1521232564.12,21.594,66.283
1521232565.73,21.594,66.289
1521232567.34,21.592,66.283
1521232568.96,21.587,66.288
1521232570.57,21.591,66.280
1521232572.17,21.594,66.286
1521232573.79,21.584,66.283
1521232575.39,21.602,66.285
1521232577.00,21.595,66.297
1521232578.62,21.602,66.292
1521232580.23,21.603,66.295
1521232581.84,21.608,66.297
1521232583.45,21.603,66.302
1521232585.06,21.606,66.306
1521232586.67,21.614,66.304
1521232588.28,21.607,66.307
1521232589.89,21.614,66.305
1521232591.50,21.615,66.313
1521232593.11,21.610,66.309
1521232594.73,21.607,66.311
1521232596.34,21.612,66.315
1521232597.95,21.612,66.316
1521232599.56,21.615,66.320
1521232601.16,21.619,66.323
