isothermal_c,isothermal_rh,crc16
1520225253.93,29.870,68.209,e19f
1520225254.53,29.867,68.219,fe95
1520225255.14,29.874,68.196,fcd5
1520225255.74,29.899,68.198,3808
1520225256.35,29.906,68.201,3eb2
1520225256.95,29.917,68.206,e2a5
1520225257.55,29.938,68.193,4e6d
1520225258.16,29.935,68.196,48ac
1520225258.76,29.956,68.188,08ae
1520225259.36,29.967,68.173,c36c
1520225259.97,29.974,68.176,b09f
1520225260.57,29.992,68.188,b2d3
1520225261.18,30.006,68.181,96fb
1520225261.78,30.017,68.165,5980
1520225262.39,30.028,68.170,ce92
1520225262.99,30.031,68.168,ce81
1520225263.60,30.049,68.178,52c1
1520225264.20,30.067,68.160,b88e
1520225264.80,30.078,68.155,8f99
1520225265.41,30.088,68.158,c660
1520225266.01,30.099,68.158,6a90
1520225266.61,30.106,68.153,afa0
1520225267.22,30.120,68.145,bafb
1520225267.82,30.128,68.148,758c
1520225268.43,30.142,68.148,be78
1520225269.03,30.156,68.142,fb7c
1520225269.63,30.167,68.132,087c
1520225270.24,30.174,68.127,48be
1520225270.84,30.181,68.120,e8b3
1520225271.45,30.188,68.104,975c
1520225272.05,30.206,68.122,97d9
1520225272.66,30.221,68.122,96a6
1520225273.26,30.235,68.120,52aa
1520225273.87,30.242,68.120,2419
1520225274.47,30.263,68.114,b07a
1520225275.07,30.260,68.109,9a93
1520225275.68,30.281,68.104,7f9a
1520225276.28,30.296,68.099,0fa4
1520225276.88,30.303,68.104,b686
1520225277.49,30.317,68.092,bfa6
1520225278.09,30.328,68.097,1b85
1520225278.69,30.346,68.094,ef7f
1520225279.30,30.349,68.079,c41f
1520225279.90,30.367,68.081,0d5f
1520225280.51,30.378,68.087,5f78
1520225281.11,30.374,68.079,bf3f
1520225281.72,30.399,68.079,9a2c
1520225282.32,30.410,68.069,c511
1520225282.93,30.414,68.069,ca7c
1520225283.53,30.424,68.064,3695
1520225284.13,30.442,68.053,c962
1520225284.74,30.457,68.059,cbb5
1520225285.34,30.453,68.059,c4d8
1520225285.94,30.471,68.059,8d19
1520225286.55,30.478,68.053,755a
1520225287.15,30.496,68.048,1a66
1520225287.76,30.507,68.051,5234
1520225288.36,30.517,68.041,8a26
1520225288.96,30.539,68.043,f212
1520225289.57,30.539,68.043,f212
1520225290.17,30.549,68.033,da2e
1520225290.78,30.564,68.036,1a88
1520225291.38,30.582,68.028,3bcb
1520225291.99,30.589,68.015,699a
1520225292.59,30.600,68.023,9d36
1520225293.20,30.607,68.020,6a4d
1520225293.80,30.621,68.033,2fb3
1520225294.40,30.635,68.025,980a
1520225295.01,30.639,68.013,bc28
1520225295.61,30.642,68.018,6a47
1520225296.21,30.657,68.005,2b46
1520225296.82,30.682,68.005,3dcb
1520225297.42,30.685,68.005,fad3
1520225298.02,30.707,68.003,5309
1520225298.63,30.707,68.000,636a
1520225299.23,30.725,68.000,2aab
1520225299.84,30.735,67.995,d0dd
1520225300.44,30.739,67.995,c16a
1520225301.05,30.753,68.003,2ba8
1520225301.65,30.764,67.995,e0c2
1520225302.26,30.764,67.982,a314
1520225302.86,30.793,67.992,cf69
1520225303.46,30.796,67.987,e443
1520225304.07,30.807,67.980,471a
1520225304.67,30.825,67.987,7e3c
1520225305.28,30.835,67.980,e5f8
1520225305.88,30.843,67.975,9403
1520225306.48,30.857,67.972,00aa
1520225307.09,30.857,67.967,633e
1520225307.69,30.868,67.964,a7db
1520225308.29,30.886,67.954,1fee
1520225308.90,30.896,67.962,c158
1520225309.50,30.903,67.957,2189
1520225310.11,30.914,67.957,0db2
1520225310.71,30.939,67.947,ae80
1520225311.32,30.943,67.949,6f99
1520225311.92,30.957,67.952,098d
1520225312.53,30.971,67.949,cd7b
1520225313.13,30.975,67.931,da89
1520225313.73,30.996,67.942,c87f
1520225314.34,31.003,67.942,6466
1520225314.94,31.000,67.944,ccd5
1520225315.54,31.029,67.929,28b0
1520225316.15,31.032,67.942,0ef1
1520225316.75,31.043,67.942,f889
1520225317.35,31.050,67.931,722b
1520225317.96,31.068,67.929,f38c
1520225318.56,31.079,67.934,bde0
1520225319.17,31.093,67.926,4c98
1520225319.77,31.104,67.929,d7f6
1520225320.38,31.114,67.906,ab58
1520225320.98,31.111,67.926,8584
1520225321.59,31.132,67.908,0c3a
1520225322.19,31.136,67.911,a14f
1520225322.79,31.157,67.919,3d1c
1520225323.40,31.154,67.908,d679
1520225324.00,31.172,67.906,711b
1520225324.61,31.186,67.908,07ec
1520225325.21,31.193,67.891,b8f0
1520225325.81,31.204,67.903,a111
1520225326.42,31.218,67.896,8688
