si7021_c,setpoint,adc,pwm
24.225,231,337.397,0.00
24.215,231,337.198,0.00
24.204,231,337.389,0.00
24.204,231,336.945,0.00
24.193,231,336.511,0.00
24.204,231,336.556,0.00
24.193,231,336.532,0.00
24.204,231,336.595,0.00
24.182,231,336.753,0.00
24.193,231,336.370,0.00
24.193,231,336.043,0.00
24.193,231,335.801,0.00
24.182,231,335.687,0.00
24.172,231,335.664,0.00
24.161,231,335.199,0.00
24.193,231,335.792,0.00
24.182,231,335.423,0.00
24.172,231,334.809,0.00
24.172,231,334.873,0.00
24.161,231,334.717,0.00
24.161,231,334.841,0.00
24.182,231,334.898,0.00
24.161,231,334.897,0.00
24.161,231,334.706,0.00
24.161,231,334.276,0.00
24.150,231,334.097,0.00
24.150,231,334.174,0.00
24.150,231,334.100,0.00
24.161,231,334.080,0.00
24.161,231,333.994,0.00
24.172,231,334.170,0.00
24.161,231,334.224,0.00
24.182,231,333.762,0.00
24.182,231,333.855,0.00
24.182,231,333.738,0.00
24.172,231,333.314,0.00
24.161,231,333.168,0.00
24.161,231,333.147,0.00
24.161,231,333.015,0.00
24.161,231,332.790,0.00
24.172,231,332.808,0.00
24.161,231,332.712,0.00
24.182,231,332.489,0.00
24.172,231,332.908,0.00
24.193,231,332.817,0.00
24.182,231,332.928,0.00
24.204,231,332.672,0.00
24.172,231,332.640,0.00
24.193,231,332.794,0.00
24.204,231,332.707,0.00
24.172,231,332.679,0.00
24.193,231,332.394,0.00
24.161,231,332.632,0.00
24.150,231,332.425,0.00
24.161,231,332.157,0.00
24.139,231,331.810,0.00
24.161,231,331.647,0.00
24.150,231,331.668,0.00
24.118,231,331.292,0.00
