si7021_c,si7021_h,set,input,output
27.421,48.871,400,619.975,0.00
27.432,48.878,400,619.471,0.00
27.421,48.871,400,619.088,0.00
27.432,48.886,400,619.266,0.00
27.432,48.871,400,618.936,0.00
27.432,48.871,400,619.297,0.00
27.432,48.893,400,619.225,0.00
27.411,48.871,400,618.850,0.00
27.411,48.886,400,618.693,0.00
27.411,48.886,400,618.598,0.00
27.411,48.901,400,618.609,0.00
27.421,48.901,400,618.410,0.00
27.411,48.901,400,618.221,0.00
27.421,48.893,400,618.006,0.00
27.400,48.893,400,617.953,0.00
27.400,48.901,400,618.016,0.00
27.411,48.901,400,618.693,0.00
27.400,48.893,400,617.963,0.00
27.411,48.916,400,617.545,0.00
27.400,48.916,400,617.877,0.00
27.400,48.893,400,617.768,0.00
27.400,48.924,400,617.643,0.00
27.400,48.909,400,617.477,0.00
27.411,48.901,400,617.445,0.00
27.400,48.916,400,617.242,0.00
27.400,48.932,400,617.283,0.00
27.400,48.916,400,617.221,0.00
27.400,48.909,400,617.070,0.00
27.400,48.932,400,616.973,0.00
27.400,48.932,400,617.082,0.00
27.368,48.916,400,616.648,0.00
27.400,48.932,400,616.627,0.00
27.378,48.932,400,616.402,0.00
27.389,48.924,400,616.371,0.00
27.400,48.932,400,615.811,0.00
27.400,48.924,400,616.061,0.00
27.378,48.932,400,616.217,0.00
27.400,48.932,400,616.256,0.00
27.368,48.947,400,616.211,0.00
27.378,48.939,400,615.545,0.00
27.357,48.932,400,615.549,0.00
27.400,48.955,400,615.187,0.00
27.368,48.947,400,615.469,0.00
27.389,48.932,400,615.100,0.00
27.389,48.955,400,615.064,0.00
27.378,48.932,400,615.162,0.00
27.378,48.962,400,614.891,0.00
27.378,48.947,400,615.189,0.00
27.378,48.970,400,614.621,0.00
27.357,48.970,400,614.863,0.00
27.368,48.962,400,614.432,0.00
27.378,48.985,400,614.174,0.00
27.346,48.977,400,614.256,0.00
27.368,48.985,400,614.031,0.00
27.336,48.985,400,613.480,0.00
27.357,48.985,400,613.719,0.00
27.368,48.985,400,614.051,0.00
27.357,48.962,400,613.953,0.00
27.357,48.985,400,613.561,0.00
27.357,48.977,400,613.740,0.00
27.357,48.985,400,613.193,0.00
27.378,48.985,400,613.189,0.00
27.346,48.985,400,613.193,0.00
27.368,48.993,400,612.670,0.00
27.336,49.008,400,612.818,0.00
27.346,49.000,400,612.801,0.00
27.346,49.008,400,612.678,0.00
27.346,48.993,400,612.715,0.00
27.368,49.000,400,612.143,0.00
27.336,48.985,400,612.326,0.00
27.336,49.008,400,612.084,0.00
27.357,49.008,400,612.252,0.00
27.325,48.993,400,612.139,0.00
27.346,49.031,400,611.846,0.00
27.336,49.023,400,611.693,0.00
27.325,49.008,400,611.416,0.00
27.346,49.016,400,611.547,0.00
27.336,49.031,400,611.412,0.00
27.325,49.008,400,611.498,0.00
27.314,49.031,400,611.439,0.00
27.314,49.023,400,611.158,0.00
27.336,49.016,400,611.088,0.00
27.325,49.023,400,611.150,0.00
27.314,49.038,400,611.236,0.00
27.325,49.023,400,611.012,0.00
27.314,49.031,400,611.037,0.00
27.325,49.031,400,610.408,0.00
27.314,49.031,400,610.625,0.00
27.314,49.031,400,610.430,0.00
27.314,49.023,400,610.527,0.00
27.336,49.038,400,610.014,0.00
27.314,49.046,400,609.787,0.00
27.336,49.031,400,610.018,0.00
27.325,49.038,400,609.922,0.00
27.314,49.046,400,609.627,0.00
27.325,49.046,400,609.822,0.00
27.303,49.038,400,609.518,0.00
27.336,49.061,400,609.773,0.00
27.303,49.038,400,609.486,0.00
27.336,49.038,400,608.725,0.00
27.303,49.046,400,609.465,0.00
27.314,49.084,400,609.158,0.00
27.303,49.061,400,609.006,0.00
27.293,49.077,400,609.016,0.00
27.293,49.069,400,609.598,0.00
27.314,49.061,400,608.580,0.00
27.314,49.054,400,609.109,0.00
27.293,49.077,400,608.656,0.00
27.293,49.061,400,608.408,0.00
27.303,49.069,400,608.545,0.00
27.293,49.061,400,608.689,0.00
27.303,49.069,400,608.406,0.00
27.293,49.069,400,607.937,0.00
27.303,49.069,400,607.680,0.00
27.282,49.077,400,608.211,0.00
27.293,49.084,400,607.787,0.00
27.293,49.077,400,607.443,0.00
27.303,49.077,400,607.207,0.00
27.303,49.084,400,607.256,0.00
27.293,49.099,400,607.461,0.00
27.293,49.077,400,607.391,0.00
27.260,49.084,400,607.234,0.00
27.293,49.099,400,607.268,0.00
27.293,49.084,400,606.814,0.00
27.293,49.092,400,606.607,0.00
27.271,49.099,400,606.680,0.00
27.282,49.092,400,606.223,0.00
27.282,49.099,400,606.658,0.00
27.293,49.107,400,606.479,0.00
27.271,49.107,400,606.174,0.00
27.271,49.115,400,606.180,0.00
27.282,49.092,400,606.164,0.00
27.293,49.115,400,605.609,0.00
27.271,49.099,400,605.562,0.00
27.282,49.115,400,605.670,0.00
27.250,49.115,400,605.793,0.00
27.260,49.115,400,605.650,0.00
27.260,49.122,400,605.539,0.00
27.282,49.115,400,605.385,0.00
27.271,49.115,400,605.445,0.00
27.282,49.138,400,605.506,0.00
27.250,49.130,400,605.457,0.00
27.282,49.122,400,605.187,0.00
27.271,49.130,400,605.137,0.00
27.260,49.138,400,605.207,0.00
27.260,49.122,400,604.854,0.00
27.271,49.130,400,604.855,0.00
27.271,49.138,400,604.635,0.00
27.260,49.145,400,604.572,0.00
27.250,49.138,400,604.418,0.00
27.239,49.130,400,604.551,0.00
27.250,49.145,400,604.004,0.00
27.271,49.145,400,604.291,0.00
27.250,49.153,400,604.150,0.00
27.271,49.153,400,603.686,0.00
27.239,49.161,400,603.676,0.00
27.260,49.168,400,603.482,0.00
27.260,49.161,400,603.584,0.00
27.250,49.161,400,603.316,0.00
27.228,49.161,400,603.418,0.00
27.260,49.176,400,604.219,0.00
27.250,49.168,400,603.342,0.00
27.250,49.161,400,603.354,0.00
