Date,Volts,Farenheit
2017-04-29 10:38:13.424982,1.108,97.35
2017-04-29 10:38:13.775455,1.108,97.35
2017-04-29 10:38:14.125257,1.108,97.35
2017-04-29 10:38:14.475133,1.107,97.26
2017-04-29 10:38:14.825681,1.107,97.26
2017-04-29 10:38:15.175446,1.107,97.26
2017-04-29 10:38:15.525688,1.107,97.26
2017-04-29 10:38:15.875435,1.106,97.17
2017-04-29 10:38:16.225362,1.106,97.17
2017-04-29 10:38:16.575096,1.106,97.17
2017-04-29 10:38:16.925400,1.106,97.17
2017-04-29 10:38:17.275543,1.106,97.17
2017-04-29 10:38:17.625413,1.106,97.17
2017-04-29 10:38:17.975166,1.105,97.08
2017-04-29 10:38:18.325322,1.105,97.08
2017-04-29 10:38:18.675581,1.105,97.08
2017-04-29 10:38:19.025286,1.104,96.98
2017-04-29 10:38:19.375174,1.104,96.98
2017-04-29 10:38:19.725392,1.104,96.98
2017-04-29 10:38:20.075278,1.104,96.98
2017-04-29 10:38:20.425092,1.104,96.98
2017-04-29 10:38:20.775326,1.104,96.98
2017-04-29 10:38:21.125119,1.103,96.89
2017-04-29 10:38:21.475267,1.103,96.89
2017-04-29 10:38:21.825120,1.103,96.89
2017-04-29 10:38:22.175261,1.102,96.80
2017-04-29 10:38:22.525541,1.102,96.80
2017-04-29 10:38:22.875287,1.102,96.80
2017-04-29 10:38:23.225451,1.102,96.80
2017-04-29 10:38:23.575330,1.102,96.80
2017-04-29 10:38:23.925270,1.101,96.71
2017-04-29 10:38:24.275372,1.101,96.71
2017-04-29 10:38:24.625182,1.100,96.62
2017-04-29 10:38:24.975415,1.100,96.62
2017-04-29 10:38:25.325184,1.100,96.62
2017-04-29 10:38:25.675449,1.100,96.62
2017-04-29 10:38:26.025246,1.100,96.62
2017-04-29 10:38:26.375131,1.099,96.52
2017-04-29 10:38:26.725278,1.099,96.52
2017-04-29 10:38:27.075171,1.098,96.43
2017-04-29 10:38:27.424907,1.098,96.43
2017-04-29 10:38:27.775460,1.098,96.43
2017-04-29 10:38:28.125344,1.098,96.43
2017-04-29 10:38:28.475084,1.097,96.34
2017-04-29 10:38:28.825350,1.097,96.34
2017-04-29 10:38:29.175128,1.096,96.25
2017-04-29 10:38:29.525007,1.096,96.25
2017-04-29 10:38:29.875157,1.096,96.25
2017-04-29 10:38:30.225039,1.096,96.25
2017-04-29 10:38:30.575178,1.095,96.15
2017-04-29 10:38:30.925100,1.095,96.15
2017-04-29 10:38:31.275249,1.095,96.15
2017-04-29 10:38:31.624995,1.094,96.06
2017-04-29 10:38:31.974843,1.094,96.06
2017-04-29 10:38:32.324725,1.094,96.06
2017-04-29 10:38:32.675464,1.093,95.97
2017-04-29 10:38:33.025368,1.093,95.97
2017-04-29 10:38:33.375500,1.093,95.97
2017-04-29 10:38:33.725453,1.092,95.88
2017-04-29 10:38:34.075615,1.092,95.88
2017-04-29 10:38:34.425495,1.092,95.88
2017-04-29 10:38:34.776025,1.093,95.97
2017-04-29 10:38:35.125435,1.093,95.97
2017-04-29 10:38:35.474931,1.094,96.06
2017-04-29 10:38:35.825188,1.095,96.15
2017-04-29 10:38:36.174972,1.096,96.25
2017-04-29 10:38:36.525105,1.097,96.34
2017-04-29 10:38:36.874994,1.098,96.43
2017-04-29 10:38:37.225147,1.100,96.62
2017-04-29 10:38:37.575031,1.101,96.71
2017-04-29 10:38:37.925174,1.102,96.80
2017-04-29 10:38:38.275055,1.103,96.89
2017-04-29 10:38:38.625207,1.104,96.98
2017-04-29 10:38:38.975129,1.105,97.08
2017-04-29 10:38:39.325239,1.106,97.17
2017-04-29 10:38:39.675391,1.107,97.26
2017-04-29 10:38:40.025271,1.108,97.35
2017-04-29 10:38:40.374997,1.108,97.35
2017-04-29 10:38:40.725320,1.108,97.35
2017-04-29 10:38:41.075119,1.108,97.35
2017-04-29 10:38:41.425362,1.108,97.35
2017-04-29 10:38:41.775102,1.108,97.35
2017-04-29 10:38:42.125250,1.108,97.35
2017-04-29 10:38:42.475153,1.108,97.35
2017-04-29 10:38:42.825245,1.108,97.35
2017-04-29 10:38:43.175161,1.108,97.35
2017-04-29 10:38:43.525105,1.108,97.35
2017-04-29 10:38:43.874865,1.107,97.26
2017-04-29 10:38:44.225102,1.107,97.26
2017-04-29 10:38:44.575283,1.107,97.26
2017-04-29 10:38:44.925399,1.107,97.26
2017-04-29 10:38:45.275184,1.107,97.26
2017-04-29 10:38:45.625416,1.106,97.17
2017-04-29 10:38:45.975200,1.106,97.17
2017-04-29 10:38:46.325093,1.106,97.17
2017-04-29 10:38:46.674884,1.106,97.17
2017-04-29 10:38:47.025087,1.106,97.17
2017-04-29 10:38:47.375213,1.106,97.17
2017-04-29 10:38:47.725156,1.105,97.08
2017-04-29 10:38:48.074911,1.105,97.08
2017-04-29 10:38:48.425007,1.105,97.08
2017-04-29 10:38:48.775337,1.105,97.08
2017-04-29 10:38:49.125007,1.104,96.98
2017-04-29 10:38:49.474968,1.104,96.98
2017-04-29 10:38:49.825112,1.104,96.98
2017-04-29 10:38:50.175028,1.104,96.98
2017-04-29 10:38:50.525104,1.104,96.98
2017-04-29 10:38:50.875070,1.103,96.89
2017-04-29 10:38:51.224802,1.103,96.89
2017-04-29 10:38:51.574732,1.103,96.89
2017-04-29 10:38:51.925226,1.102,96.80
2017-04-29 10:38:52.274991,1.102,96.80
2017-04-29 10:38:52.625242,1.102,96.80
2017-04-29 10:38:52.975017,1.102,96.80
2017-04-29 10:38:53.324913,1.102,96.80
2017-04-29 10:38:53.675018,1.101,96.71
2017-04-29 10:38:54.024934,1.101,96.71
2017-04-29 10:38:54.375059,1.101,96.71
2017-04-29 10:38:54.724967,1.100,96.62
2017-04-29 10:38:55.075047,1.100,96.62
2017-04-29 10:38:55.424776,1.100,96.62
2017-04-29 10:38:55.774772,1.100,96.62
2017-04-29 10:38:56.124848,1.099,96.52
2017-04-29 10:38:56.474815,1.099,96.52
2017-04-29 10:38:56.824931,1.098,96.43
2017-04-29 10:38:57.174992,1.098,96.43
2017-04-29 10:38:57.524974,1.098,96.43
2017-04-29 10:38:57.874888,1.098,96.43
2017-04-29 10:38:58.224952,1.097,96.34
2017-04-29 10:38:58.574805,1.097,96.34
2017-04-29 10:38:58.925024,1.097,96.34
2017-04-29 10:38:59.274848,1.096,96.25
2017-04-29 10:38:59.624689,1.096,96.25
2017-04-29 10:38:59.974836,1.096,96.25
2017-04-29 10:39:00.324723,1.095,96.15
2017-04-29 10:39:00.674887,1.095,96.15
2017-04-29 10:39:01.024746,1.095,96.15
2017-04-29 10:39:01.374589,1.094,96.06
2017-04-29 10:39:01.724583,1.094,96.06
2017-04-29 10:39:02.075184,1.094,96.06
2017-04-29 10:39:02.425226,1.093,95.97
2017-04-29 10:39:02.775193,1.093,95.97
2017-04-29 10:39:03.125095,1.093,95.97
2017-04-29 10:39:03.475237,1.092,95.88
2017-04-29 10:39:03.825140,1.092,95.88
2017-04-29 10:39:04.175311,1.092,95.88
2017-04-29 10:39:04.525175,1.092,95.88
2017-04-29 10:39:04.875296,1.093,95.97
2017-04-29 10:39:05.225070,1.093,95.97
2017-04-29 10:39:05.574636,1.094,96.06
2017-04-29 10:39:05.924476,1.095,96.15
2017-04-29 10:39:06.274667,1.096,96.25
2017-04-29 10:39:06.624725,1.098,96.43
2017-04-29 10:39:06.974642,1.098,96.43
2017-04-29 10:39:07.324756,1.100,96.62
2017-04-29 10:39:07.674738,1.101,96.71
2017-04-29 10:39:08.024762,1.102,96.80
2017-04-29 10:39:08.374742,1.104,96.98
2017-04-29 10:39:08.724425,1.104,96.98
2017-04-29 10:39:09.074763,1.106,97.17
2017-04-29 10:39:09.424887,1.106,97.17
2017-04-29 10:39:09.775056,1.107,97.26
2017-04-29 10:39:10.124926,1.108,97.35
2017-04-29 10:39:10.474704,1.108,97.35
2017-04-29 10:39:10.824936,1.108,97.35
2017-04-29 10:39:11.174733,1.108,97.35
2017-04-29 10:39:11.524934,1.108,97.35
2017-04-29 10:39:11.874773,1.108,97.35
2017-04-29 10:39:12.224582,1.108,97.35
2017-04-29 10:39:12.574823,1.108,97.35
2017-04-29 10:39:12.924859,1.108,97.35
2017-04-29 10:39:13.274835,1.108,97.35
2017-04-29 10:39:13.624534,1.108,97.35
2017-04-29 10:39:13.974470,1.107,97.26
2017-04-29 10:39:14.324544,1.107,97.26
2017-04-29 10:39:14.674866,1.107,97.26
