volts,ppm,temp_c,ambient_c
1517900196.48,69997.053,0.01,24.999,21.244
1517900197.49,69997.056,0.05,24.996,21.244
1517900198.48,69997.056,0.05,24.996,21.244
1517900199.48,69997.056,0.05,24.993,21.254
1517900200.48,69997.081,0.41,24.996,21.233
1517900201.48,69997.081,0.41,24.996,21.265
1517900202.48,69997.081,0.41,25.0,21.244
1517900203.48,69997.081,0.41,24.999,21.244
1517900204.49,69997.023,-0.42,25.002,21.254
1517900205.49,69997.023,-0.42,24.998,21.244
1517900206.48,69997.023,-0.42,24.998,21.233
1517900207.48,69997.071,0.26,24.996,21.265
1517900208.48,69997.071,0.26,24.997,21.265
1517900209.49,69997.071,0.26,24.996,21.233
1517900210.49,69997.048,-0.07,25.002,21.254
1517900211.49,69997.048,-0.07,25.0,21.244
1517900212.49,69997.048,-0.07,25.002,21.265
1517900213.49,69997.048,-0.07,24.998,21.244
1517900214.49,69997.063,0.15,24.999,21.265
1517900215.49,69997.063,0.15,24.996,21.254
1517900216.49,69997.063,0.15,24.998,21.233
1517900217.49,69997.079,0.38,24.996,21.265
1517900218.49,69997.079,0.38,24.999,21.233
1517900219.49,69997.079,0.38,24.998,21.244
1517900220.49,69997.033,-0.28,25.002,21.244
1517900221.49,69997.033,-0.28,25.001,21.244
1517900222.49,69997.033,-0.28,25.003,21.222
1517900223.49,69997.033,-0.28,24.999,21.244
1517900224.49,69997.035,-0.25,25.0,21.254
1517900225.49,69997.035,-0.25,24.995,21.244
1517900226.49,69997.035,-0.25,24.996,21.265
1517900227.49,69997.063,0.15,24.994,21.244
1517900228.49,69997.063,0.15,24.997,21.265
1517900229.49,69997.063,0.15,24.997,21.244
1517900230.49,69997.033,-0.28,25.001,21.254
1517900231.49,69997.033,-0.28,25.0,21.254
1517900232.49,69997.033,-0.28,25.002,21.244
1517900233.49,69997.033,-0.28,24.999,21.265
1517900234.49,69997.071,0.26,25.0,21.233
1517900235.49,69997.071,0.26,24.998,21.244
1517900236.49,69997.071,0.26,25.0,21.244
1517900237.49,69997.091,0.55,24.998,21.265
1517900238.49,69997.091,0.55,24.999,21.254
1517900239.49,69997.091,0.55,24.996,21.244
1517900240.49,69997.056,0.05,24.999,21.265
1517900241.49,69997.056,0.05,24.998,21.233
1517900242.49,69997.056,0.05,25.001,21.233
1517900243.49,69997.056,0.05,25.0,21.265
1517900244.49,69997.025,-0.39,25.003,21.222
